編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLMJJIHFFAA98CA,木柵段三小段,16.40,都市：住,10000,78,持分移轉,05570000
RPSNMLMJJIHFFBA66CA,玉泉段二小段,8.15,都市：商,10000,443,持分移轉,02640000
RPSNMLMJJIHFFBA66CA,玉泉段二小段,2.88,都市：商,10000,443,持分移轉,02640001
RPSNMLMJJIHFFBA66CA,玉泉段二小段,6.78,都市：商,10000,443,持分移轉,02640002
RPPOMLMJJIHFFBA09CA,青年段一小段,26.49,都市：住,85319,141,持分移轉,00570000
RPQNMLPJJIHFFBA76CA,臨沂段三小段,11.28,都市：住,100000,1567,持分移轉,05350000
RPUNMLPJJIHFFBA17CA,雙園段二小段,13.00,都市：其他:道路用地,1,1,全筆移轉,02850000
RPUNMLPJJIHFFBA17CA,雙園段二小段,3.88,都市：其他:道路用地,8,1,持分移轉,04350001
RPUNMLPJJIHFFBA17CA,華中段一小段,22.54,都市：其他:道路用地,414,15,持分移轉,03660008
RPUNMLPJJIHFFBA17CA,華中段一小段,1.30,都市：其他:道路用地,414,15,持分移轉,03660009
RPSNMLMJJIHFFAA56CA,政大段二小段,52.66,都市：住,577833,11367,持分移轉,06020000
RPVOMLRJJIHFFBA57CA,城中段三小段,137.99,都市：商,10000,1273,持分移轉,00270000
RPWRMLTJJIHFFBA18CA,圓環段三小段,12.85,都市：商,10000,81,持分移轉,07090000
RPQQMLMJJIHFFAA66CA,興隆段四小段,.97,都市：其他:道路地,10000,180,持分移轉,02530002
RPQQMLMJJIHFFAA66CA,興隆段四小段,.02,都市：商,10000,180,持分移轉,02560001
RPQQMLMJJIHFFAA66CA,興隆段四小段,.05,都市：商,10000,180,持分移轉,02530000
RPXNMLRJJIHFFAA57CA,興泰段二小段,53.00,都市：其他:,2,1,持分移轉,01280000
RPQNMLNJJIHFFAA09CA,木柵段四小段,23.67,都市：住,12,1,持分移轉,04540000
RPQNMLTJJIHFFBA17CA,青年段二小段,16.40,都市：住,5,1,持分移轉,04660000
RPSPMLMJJIHFFCA96CA,石潭段四小段,12.52,都市：商,10000,86,持分移轉,03330000
RPWPMLMJJIHFFCA37CA,碧湖段三小段,13.90,都市：住,10000,21,持分移轉,01540000
RPWPMLMJJIHFFCA37CA,碧湖段三小段,.01,都市：其他:道路用地(公共設施用地)(取得方式：征購及其他)。【64/10/20】,10000,21,持分移轉,01540006
RPPQMLMJJIHFFCA76CA,正義段二小段,10.02,都市：商,10000,84,持分移轉,05450000
RPPQMLMJJIHFFCA76CA,正義段二小段,10.42,都市：商,10000,84,持分移轉,05570000
RPTQMLMJJIHFFCA17CA,長安段三小段,4.29,都市：住,10000,66,持分移轉,00080000
RPXOMLPJJIHFFCA67CA,中山段一小段,23.56,都市：商,10000,292,持分移轉,03530000
RPOPMLPJJIHFFCA86CA,長安段三小段,2.51,都市：其他:聯合開發區(捷),100000,215,持分移轉,03970000
RPOPMLPJJIHFFCA86CA,長安段三小段,.15,都市：商,100000,215,持分移轉,04030000
RPOPMLPJJIHFFCA86CA,長安段三小段,.51,都市：商,100000,215,持分移轉,04030001
RPPPMLPJJIHFFCA96CA,榮星段六小段,5.00,都市：其他:道路用地,4,1,持分移轉,02040000
RPPPMLPJJIHFFCA96CA,文德段三小段,4.05,都市：其他:道路用地,20,1,持分移轉,02640002
RPPPMLPJJIHFFCA96CA,文德段三小段,6.60,都市：其他:道路用地,20,1,持分移轉,02760001
RPPPMLPJJIHFFCA96CA,文德段三小段,1.42,都市：其他:道路用地,24,1,持分移轉,02770001
RPPPMLPJJIHFFCA96CA,文德段三小段,7.38,都市：其他:道路用地,24,1,持分移轉,02820001
RPSRMLPJJIHFFCA47CA,中山段一小段,19.13,都市：商,100000,1062,持分移轉,04080000
RPQNMLQJJIHFFCA96CA,長安段三小段,.02,都市：商,100000,2,持分移轉,00270000
RPQNMLQJJIHFFCA96CA,長安段三小段,.01,都市：商,100000,2,持分移轉,00430000
RPPQMLQJJIHFFCA17CA,長安段三小段,6.76,都市：住,10000,104,持分移轉,00080000
RPTQMLQJJIHFFCA57CA,西湖段二小段,35.75,都市：住,10000,327,持分移轉,03270000
RPWQMLQJJIHFFCA87CA,德惠段三小段,4.33,都市：住,10000,18,持分移轉,02820000
RPWQMLQJJIHFFCA87CA,德惠段三小段,.00,都市：其他:道路用地(公共設施用地),100000,180,持分移轉,02820001
RPWQMLQJJIHFFCA87CA,德惠段三小段,.22,都市：其他:道路用地(公共設施用地),100000,180,持分移轉,05200000
RPWQMLQJJIHFFCA87CA,德惠段三小段,.00,都市：住,100000,180,持分移轉,05200001
RPWPMLRJJIHFFCA87CA,潭美段四小段,1.10,都市：其他:,10000,162,持分移轉,04190000
RPWPMLRJJIHFFCA87CA,潭美段四小段,32.69,都市：住,10000,162,持分移轉,04200000
RPWPMLRJJIHFFCA87CA,潭美段四小段,.03,都市：其他:,10000,162,持分移轉,04200001
RPPNMLTJJIHFFCA17CA,榮星段七小段,19.20,都市：住,10000,177,持分移轉,00060000
RPXOMLNKJIHFFBA47CA,城中段二小段,23.95,都市：商,100000,771,持分移轉,02460000
RPXRMLTJJIHFFBA28CA,圓環段三小段,19.19,都市：商,10000,121,持分移轉,07090000
RPVRMLQKJIHFFCA97CA,康寧段三小段,15.66,都市：住,10000,213,持分移轉,02620000
RPOSMLTJJIHFFBA47CA,圓環段三小段,59.16,都市：商,10000,373,持分移轉,07090000
RPPNMLLLJIHFFCA56CA,正義段一小段,14.10,都市：住,10000,246,持分移轉,02220000
RPOOMLOKLHIFFAA76CA,興隆段三小段,30.90,都市：住,6,1,持分移轉,05290000
RPTRMLMJJIHFFDA37CA,南港段一小段,28.13,都市：住,10000,197,持分移轉,05040000
RPTOMLPJJIHFFDA37CA,永吉段三小段,7.00,都市：其他:道路用地,4,1,持分移轉,04010000
RPQPMLMJJIHFFCA76CA,潭美段五小段,8.00,都市：其他:辦公服務區(一)。(已公告為容積移轉接受基地 ),50000,118,持分移轉,00500000
RPXOMLQJJIHFFAA57CA,興隆段一小段,5.43,都市：住,10000,266,持分移轉,02030000
RPXOMLQJJIHFFAA57CA,興隆段一小段,8.83,都市：住,10000,266,持分移轉,02040001
RPRWMLNKJIHFFDA87CA,經貿段,49.90,都市：住,50000,552,持分移轉,00250000
RPRSMLTKJIHFFDA08CA,寶清段一小段,12.67,都市：住,10000,254,持分移轉,06050001
