編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUOMLLJJIHFFCA17CC,碧湖段二小段,608.00,非都市： ; 非都市編定：,,,,00380000
RPSNMLLJJIHFFBA76CC,雙連段二小段,25.18,都市：商,,,,07820000
RPOOMLLJJIHFFBA09CC,城中段二小段,.00,都市：商,,,,03630000
RPOPMLLJJIHFFCA66CC,康寧段四小段,.00,都市：商,,,,04840000
RPSPMLLJJIHFFDA17CC,祥和段三小段,.00,都市：住,,,,04870000
RPXNMLLJJIHFFEA57CC,三玉段三小段,167.00,都市：住,,,,01540000
RPUNMLLJJIHFFCA07CC,正義段三小段,16.76,都市：商,,,,05420000
RPRNMLLJJIHFFFA07CC,仁愛段四小段,.00,都市：住,,,,03330000
RPRNMLLJJIHFFFA07CC,仁愛段四小段,.00,都市：其他:道路用地(公共設施用地)(取得方式：未明文規定),,,,03340000
RPPOMLLJJIHFFFA96CC,仁愛段五小段,3.72,都市：商,,,,04910000
RPPOMLLJJIHFFFA96CC,仁愛段五小段,3.65,都市：商,,,,04960000
RPPOMLLJJIHFFFA96CC,仁愛段五小段,3.65,都市：商,,,,04970000
RPOPMLLJJIHFFFA96CC,辛亥段四小段,.00,都市：住,,,,04880000
RPVOMLLJJIHFFFA57CC,懷生段三小段,.00,都市：住,,,,03080001
RPWOMLLJJIHFFFA67CC,復興段三小段,.00,都市：其他:敦化南北路特定專用區(原屬第肆之壹種住宅區),,,,00060000
RPWNMLMJJIHFFAA17CC,興隆段二小段,497.00,都市：住,,,,01750000
RPQRMLLJJIHFFDA27DC,信義段四小段,.00,都市：商,,,,00130000
RPQNMLMJJIHFFFA17DC,懷生段一小段,155.00,都市：住,,,,05440000
RPQNMLMJJIHFFFA17DC,懷生段一小段,3.00,都市：其他:,,,,05440001
RPQNMLMJJIHFFFA17DC,懷生段一小段,115.00,都市：住,,,,05430000
RPXQMLMJJIHFFAA57CC,興安段三小段,.00,都市：住,,,,00300000
RPXNMLMJJIHFFFA77CC,仁愛段四小段,.00,都市：住,,,,00100000
RPPPMLMJJIHFFEA07CC,文林段五小段,.00,都市：住,,,,05580000
RPQPMLMJJIHFFEA17CC,芝蘭段一小段,14.24,都市：住,,,,01660000
RPQPMLMJJIHFFEA17CC,芝蘭段一小段,.06,都市：住,,,,01670000
RPQPMLMJJIHFFEA17CC,芝蘭段一小段,11.86,都市：住,,,,01680000
RPQPMLMJJIHFFEA17CC,芝蘭段一小段,.95,都市：住,,,,01690000
RPUPMLMJJIHFFDA47CC,美仁段二小段,.00,都市：住,,,,05010000
RPUPMLMJJIHFFDA47CC,美仁段二小段,.00,都市：商,,,,05010001
RPPQMLMJJIHFFDA07CC,雅祥段一小段,.00,都市：商,,,,05220000
RPQNMLMJJIHFFBA66CC,臨沂段四小段,.00,都市：住,,,,03020000
RPQNMLMJJIHFFBA66CC,臨沂段四小段,.00,都市：住,,,,03150000
RPOOMLMJJIHFFBA56CC,迪化段一小段,.00,都市：商,,,,01870000
RPUSMLMJJIHFFDA77CC,南港段一小段,.00,都市：商,,,,12420000
RPOOMLMJJIHFFCA66CC,長春段二小段,.00,都市：住,,,,07870001
RPXNMLMJJIHFFCA47CC,吉林段三小段,.00,都市：商,,,,10270000
RPQSMLLJJIHFFDA27CC,逸仙段三小段,.00,都市：其他:第參種商業區,,,,09000000
RPQSMLLJJIHFFDA27CC,逸仙段三小段,.00,都市：其他:第參種商業區,,,,08970000
RPQSMLLJJIHFFDA27CC,逸仙段三小段,.00,都市：其他:第參種商業區,,,,08990000
RPQOMLMJJIHFFFA17CC,仁愛段五小段,.00,都市：住,,,,00210000
RPWOMLMJJIHFFCA47CC,正義段四小段,.00,都市：商,,,,00820000
RPQOMLMJJIHFFCA86CC,中山段二小段,.00,都市：商,,,,01770000
RPXOMLMJJIHFFCA57CC,正義段二小段,.00,都市：商,,,,01190000
RPVOMLMJJIHFFCA37CC,中山段一小段,.00,都市：商,,,,02450000
RPUOMLMJJIHFFCA27CC,長安段四小段,190.00,都市：住,,,,05130000
RPTOMLMJJIHFFCA17CC,中山段一小段,.00,都市：商,,,,07150000
RPPOMLMJJIHFFCA76CC,中山段三小段,.00,都市：商,,,,05950000
RPPTMLMJJIHFFDA37CC,雅祥段四小段,.00,都市：商,,,,02790000
RPPTMLMJJIHFFDA37CC,雅祥段四小段,.00,都市：住,,,,02790001
RPWQMLMJJIHFFCA67CC,長安段一小段,.00,都市：住,,,,07570000
RPVQMLMJJIHFFCA57CC,康寧段四小段,38.10,都市：住,,,,02840000
RPPNMLNJJIHFFCA76CC,中山段三小段,5.98,都市：住,,,,03120000
RPPRMLMJJIHFFCA07CC,榮星段六小段,33.00,都市：商,,,,03870000
RPXPMLMJJIHFFCA67CC,長春段二小段,.00,都市：住,,,,07870000
RPQNMLNJJIHFFCA86CC,中山段一小段,.00,都市：商,,,,05730000
RPXQMLMJJIHFFCA77CC,康寧段三小段,.00,都市：商,,,,07930000
RPSQMLMJJIHFFCA27CC,長安段三小段,.00,都市：其他:聯合開發區(捷)(依都市計畫說明書圖規定辦理)。,,,,03970000
RPPNMLNJJIHFFFA07CC,金華段三小段,.00,都市：商,,,,04680000
RPPNMLNJJIHFFFA07CC,金華段三小段,.00,都市：住,,,,04680005
RPQNMLNJJIHFFFA17CC,學府段一小段,.00,都市：其他:敦化南北路特定專用區,,,,03110000
RPTNMLNJJIHFFDA27CC,信義段五小段,6.14,都市：住,,,,00420001
RPPNMLNJJIHFFAA56CC,河堤段四小段,.00,非都市： ; 非都市編定：,,,,00440000
RPTNMLNJJIHFFFA47CC,通化段五小段,.00,都市：住,,,,01590001
RPUNMLNJJIHFFFA57CC,復興段三小段,.00,都市：住,,,,02680000
RPRNMLNJJIHFFFA27CC,學府段一小段,.00,都市：其他:敦化南北路特定專用區,,,,03110000
RPPNMLOJJIHFFBA76CC,城中段一小段,.00,都市：商,,,,00040000
RPVPMLMJJIHFFCA47CC,大湖段二小段,218.77,都市：住,,,,01900000
RPWSMLPJJIHFFCA18CC,中山段一小段,.00,都市：商,,,,04470000
RPXRMLPJJIHFFCA18CC,長春段三小段,.00,都市：商,,,,02910001
RPRNMLNJJIHFFCA96CC,長春段二小段,.00,都市：住,,,,06350000
RPWRMLPJJIHFFCA08CC,長春段三小段,.00,都市：商,,,,02910000
RPWRMLPJJIHFFCA08CC,長春段三小段,.00,都市：商,,,,02910001
RPXOMLPJJIHFFBA77CC,臨沂段二小段,.00,非都市： ; 非都市編定：,,,,03330000
RPQNMLOJJIHFFCA96CC,潭美段五小段,.00,都市：商,,,,00240000
RPPSMLPJJIHFFCA47CC,長春段三小段,.00,都市：商,,,,02910001
RPTQMLPJJIHFFCA67CC,中山段三小段,.00,都市：商,,,,04910000
RPTQMLPJJIHFFCA67CC,中山段三小段,.00,都市：商,,,,04930000
