鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西區,建物,台中市西區英才路445號11樓之2,45.09,住,,,1011101,土地0建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0990812,45.09,1,1,1,有,有,有,28000,621,,0.0,0,,RPUOMLLJJIHFFAB07CC
東區,房地(土地+建物),台中市東區十甲路235號,95.0,住,,,1011003,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0840321,250.1,8,3,5,有,無,有,22500,90,,0.0,0,,RPRPMLLJJIHFFAB86CC
北區,建物,台中市北區忠明路139號一樓,0.0,,,,1011101,土地0建物1車位0,一層,8,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0780613,42.64,0,0,0,無,有,無,12000,281,,0.0,0,,RPVOMLLJJIHFFBB27CC
北區,建物,台中市北區大雅路454號14樓之3,5.0,住,,,1011019,土地0建物1車位0,十四層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880616,42.32,2,1,1,有,有,有,10000,236,,0.0,0,,RPRPMLLJJIHFFBB96CC
北區,房地(土地+建物),台中市北區西屯路一段329號,74.0,住,,,1011016,土地1建物1車位0,全,2,透天厝,商業用,鋼筋混凝土加強磚造,0570523,108.14,0,0,1,無,無,無,25000,231,,0.0,0,本戶1.2樓後方及3樓有加建為所有權人自行加建無保存登記,RPTQMLLJJIHFFBB27CC
南屯區,房地(土地+建物),台中市南屯區大墩十街300號4樓,77.65,住,,,1011201,土地1建物2車位0,四層,12,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0880914,605.73,0,0,0,無,有,有,99800,165,,0.0,0,,RPSQMLLJJIHFFCB27CC
西屯區,房地(土地+建物),台中市西屯區惠來路三段74巷5號,98.0,住,,,1011101,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0761022,149.66,4,2,4,有,無,無,27000,180,,0.0,0,,RPTQMLLJJIHFFCB37CC
北屯區,房地(土地+建物),台中市北屯區旅順路二段359號3樓-1,17.34,住,,,1011010,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790216,109.36,3,2,2,有,有,有,10500,96,,0.0,0,,RPOQMLLJJIHFFBB86DC
北屯區,房地(土地+建物),台中市北屯區敦化路491巷10號6樓,8.69,住,,,1011010,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840807,90.02000000000001,2,2,2,有,有,有,9000,100,,0.0,0,,RPPQMLLJJIHFFBB96DC
太平區,房地(土地+建物),台中市太平區新平路二段395號3樓,5.5,住,,,1011031,土地1建物1車位0,三層,7,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0820215,32.78,1,1,1,有,無,有,2500,76,,0.0,0,,RPUNMLLJJIHFFHL68CC
豐原區,房地(土地+建物),台中市豐原區水源路６１１巷２２號,73.53,其他,,,1011029,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0700804,181.52,4,2,2,有,無,有,14500,80,,0.0,0,,RPOOMLMJJIHFFAL67DC
潭子區,房地(土地+建物)+車位,台中市潭子區潭興路二段273號五樓之3,18.77,住,,,1011111,土地1建物0車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810830,106.2,3,2,2,有,有,無,8300,78,升降機械,0.0,0,,RPTPMLMJJIHFFFL68CC
西屯區,房地(土地+建物),台中市西屯區寶慶街50巷17號2樓之5,7.7,商,,,1011020,土地2建物1車位0,二層,10,辦公商業大樓,住家用,鋼筋混凝土造,0811120,51.76,1,0,2,有,有,有,6720,130,,0.0,0,,RPXQMLMJJIHFFCB87CC
北區,房地(土地+建物)+車位,台中市北區學士路296之2號5樓,10.28,商,,,1011004,土地1建物1車位1,五層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980805,164.19,3,2,2,有,有,無,23000,140,坡道平面,17.0,0,,RPRNMLMJJIHFFBB86CC
北區,建物,台中市北區五常街380號九樓之9,2.67,住,,,1011101,土地0建物1車位0,九層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,30.12,1,1,1,有,有,有,8000,266,,0.0,0,,RPSNMLMJJIHFFBB96CC
北屯區,建物,台中市北屯區崇德二路一段１５７巷３４號,0.0,住,,,1011005,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0830825,35.41,1,1,1,有,有,無,6000,169,,0.0,0,,RPQPMLMJJIHFFBB96CC
西區,房地(土地+建物),台中市西區忠明南路110號15樓之6,1.44,住,,,1011101,土地1建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0630411,66.72,2,2,1,有,無,有,31000,465,,0.0,0,,RPOOMLMJJIHFFAB56CC
東區,房地(土地+建物),台中市東區大興街177巷91號,90.0,住,,,1011115,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0800612,181.82,0,0,0,無,無,無,15000,82,,0.0,0,,RPVOMLMJJIHFFAB27CC
西區,房地(土地+建物)+車位,台中市西區大忠南街78號二樓之一,9.42,住,,,1011020,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960705,104.13,2,2,1,有,有,有,14000,134,坡道機械,16.78,0,,RPWNMLNJJIHFFAB37CC
北屯區,房地(土地+建物)+車位,台中市北屯區瀋陽路三段100號3樓之2,18.84,住,,,1011020,土地1建物1車位1,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880422,133.54,3,2,2,有,有,有,15000,112,坡道機械,0.0,0,車位:機械式車位先到先停租金內含車位租金,RPWNMLNJJIHFFBB47CC
北區,建物,台中市北區進化北路396號5樓之8,0.0,,,,1011110,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840601,143.1,4,2,2,有,有,有,13000,91,,0.0,0,1.含一個車位2.租金含管理費為15000元，租金實際為13000元,RPXNMLNJJIHFFBB57CC
南屯區,房地(土地+建物),台中市南屯區嶺東路862號,30.08,住,,,1011023,土地1建物1車位0,一層,11,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0830425,166.05,3,2,2,有,有,無,18000,108,,0.0,0,,RPPNMLNJJIHFFCB86CC
北屯區,房地(土地+建物),台中市北屯區松竹路二段305巷6號8樓,21.45,住,,,1011102,土地1建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821018,93.3,2,2,1,有,有,無,9000,96,,0.0,0,,RPSNMLOJJIHFFBB27DC
北區,房地(土地+建物),台中市北區五常街380號十四樓之07,2.67,住,,,1011005,土地1建物1車位0,十四層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,30.119999999999997,1,1,1,有,有,有,7500,249,,0.0,0,套房挑高4米2,RPWNMLPJJIHFFBB77DC
神岡區,土地,福隆段579地號,677.36,住,,,1011031,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,22000,32,,0.0,0,,RPUOMLPJJIHFFAL48CC
西屯區,房地(土地+建物),台中市西屯區河南路二段509號,80.0,住,,,1011120,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0740417,141.24,4,3,3,有,無,無,32000,227,,0.0,0,,RPRSMLPJJIHFFCB77CC
西屯區,建物,台中市西屯區文心路三段６之６號八樓之１,0.0,商,,,1011008,土地0建物1車位1,八層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,92.02,3,2,1,有,有,有,20000,217,坡道平面,41.43,0,,RPSTMLPJJIHFFCB97CC
西屯區,建物,台中市西屯區文心路三段６號十四樓之２,0.0,商,,,1011007,土地0建物1車位0,十四層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,63.05,1,1,1,有,有,有,14500,230,,0.0,0,,RPTTMLPJJIHFFCB08CC
西屯區,建物,台中市西屯區弘孝路１９號十一樓之２,0.0,住,,,1011007,土地0建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900704,113.31,2,2,2,有,有,有,18000,159,,0.0,0,,RPXTMLPJJIHFFCB48CC
