編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLRJJIHFFAE37CA,29,84.26,,鋼筋混凝土造,72年5月24日,五層,二層
RPVOMLMJJIHFFAE37CA,32,99.51,,鋼筋混凝土造,69年10月21日,七層,一層 二層 騎樓
RPVNMLRJJIHFFAE77CA,4,225.09,住家用,鋼筋混凝土造,97年10月1日,二十四層,十二層 陽台
RPVNMLRJJIHFFAE77CA,4,149.27,共有部份,鋼筋混凝土造,97年10月1日,二十四層,
RPQOMLRJJIHFFAE37CA,7,82.25,住家用,鋼筋混凝土造,95年2月20日,十五層,十二層 陽台 雨遮
RPQOMLRJJIHFFAE37CA,7,18.21,共有部份,鋼筋混凝土造,95年2月20日,十五層,
RPQOMLRJJIHFFAE37CA,7,36.86,共有部份,鋼筋混凝土造,95年2月20日,十五層,
RPSQMLLJJIHFFAE17CA,44,72.36,,加強磚造,58年4月7日,二層,一層 二層
RPUOMLMJJIHFFAE27CA,32,111.87,,鋼筋混凝土造,69年10月21日,七層,一層 二層 騎樓
RPTNMLKKJIHFFAE96CA,16,94.67,,鋼筋混凝土造,85年11月20日,十三層,五層 陽台 花台
RPTNMLKKJIHFFAE96CA,16,56.11,見使用執照,鋼筋混凝土造,85年11月20日,十三層,
RPVNMLOKJIHFFAE57CA,16,29.07,住家用,鋼筋混凝土造,85年5月6日,十二層,四層 陽台 花台
RPVNMLOKJIHFFAE57CA,16,10.78,見使用執照,鋼筋混凝土造,85年5月6日,十二層,
RPRNMLPKJIHFFAE27CA,51,189.00,住商用,加強磚造,50年11月12日,三層,一層 二層 三層 騎樓
RPWNMLPJJIHFFAE67CA,6,121.99,住家用,鋼筋混凝土造,95年8月25日,十五層,四層 陽台 雨遮
RPWNMLPJJIHFFAE67CA,6,53.90,共有部份,鋼筋混凝土造,95年8月25日,十五層,
RPSNMLKKJIHFFAE86CA,32,121.94,,鋼筋混凝土造,69年9月26日,五層,五層
RPVNMLRKJIHFFAE87CA,6,155.27,商業用,鋼筋混凝土造,95年8月21日,十四層,五層 陽台 雨遮
RPVNMLRKJIHFFAE87CA,6,112.59,共有部份,鋼筋混凝土造,95年8月21日,十四層,
RPTOMLSJJIHFFBE87CA,9,92.91,住家用,鋼筋混凝土造,92年11月28日,十四層,七層 陽台 雨遮
RPTOMLSJJIHFFBE87CA,9,48.04,防空避難室，停車空間，樓梯間，機械室，水箱，社區服務中心等,鋼筋混凝土造,92年11月28日,十四層,
RPTNMLQKJIHFFAE57CA,8,90.74,住家用,鋼筋混凝土造,93年12月8日,十四層,十一層 陽台
RPTNMLQKJIHFFAE57CA,8,69.86,共有部份,鋼筋混凝土造,93年12月8日,十四層,
RPUNMLKKJIHFFAE07CA,4,83.76,住家用,鋼筋混凝土造,98年3月25日,十五層,十四層 陽台 雨遮
RPQPMLKMJIHFFBE17CA,6,90.98,住家用,鋼筋混凝土造,95年11月24日,十九層,四層 陽台 雨遮
RPQPMLKMJIHFFBE17CA,6,63.12,防空避難室兼停車空間、電信室、門廳、梯間及排煙室、防災中心等,鋼筋混凝土造,95年11月24日,十九層,
RPQNMLMJJIHFFCE96CA,8,148.73,住家用,鋼筋混凝土造,94年2月2日,四層,一層 二層 三層 四層 陽台
RPSNMLOKJIHFFBE37CA,39,111.98,,加強磚造,62年5月11日,三層,一層 二層 三層
RPVNMLMJJIHFFBE37CA,,122.34,住家用,鋼筋混凝土造,101年4月9日,十五層,八層 陽台 雨遮
RPVNMLMJJIHFFBE37CA,,87.67,見其他登記事項,鋼筋混凝土造,101年4月9日,十五層,
RPSNMLPJJIHFFCE47CA,33,46.45,,加強磚造,68年10月22日,五層,一層 騎樓
RPSNMLPJJIHFFCE47CA,33,46.45,,鋼筋混凝土造,68年10月22日,五層,二層
RPTOMLQJJIHFFCE77CA,24,99.10,住商用,鋼筋混凝土造,77年11月7日,二層,一層 二層 陽台 平台 屋頂突出物 夾層
RPXNMLNJJIHFFBE67CA,,75.53,住家用,鋼筋混凝土造,101年5月9日,十四層,四層 陽台 雨遮
RPXNMLNJJIHFFBE67CA,,43.46,見其他登記事項,鋼筋混凝土造,101年5月9日,十四層,
RPUOMLQJJIHFFCE87CA,36,117.45,,鋼筋混凝土造,65年10月5日,三層,一層 二層 三層
RPQOMLMJJIHFFCE07CA,31,79.21,,鋼筋混凝土造,71年3月9日,五層,一層 二層 騎樓
RPVPMLMJJIHFFDE77CA,16,7.99,見使用執照,鋼筋混凝土造,85年7月12日,十六層,
RPRNMLQJJIHFFCE47CA,37,90.69,,鋼筋混凝土造,64年5月5日,四層,四層
RPPNMLTJJIHFFCE57CA,16,132.46,住家用,鋼筋混凝土造,86年3月12日,三層,一層 二層 三層 陽台 屋頂突出物
RPSNMLPJJIHFFDE57CA,18,26.34,住家用,鋼筋混凝土造,83年10月12日,七層,五層 花台
RPSNMLPJJIHFFDE57CA,18,14.25,見使用執照,鋼筋混凝土造,83年10月12日,七層,
RPWNMLQJJIHFFCE97CA,14,28.26,住家用,鋼骨造,88年2月9日,三十九層,七層 陽台
RPWNMLQJJIHFFCE97CA,14,12.99,共有部份,鋼骨造,88年2月9日,三十九層,
RPWPMLMJJIHFFDE87CA,16,100.67,住家用,鋼筋混凝土造,85年7月12日,十六層,十層 陽台 花台
RPWPMLMJJIHFFDE87CA,16,31.96,見使用執照,鋼筋混凝土造,85年7月12日,十六層,
RPRNMLMKJIHFFCE17CA,6,154.67,住家用,鋼筋混凝土造,95年12月11日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮
RPPOMLPJJIHFFDE37CA,16,69.18,住家用,鋼筋混凝土造,85年7月19日,二十四層,十三層 陽台 花台
RPPOMLPJJIHFFDE37CA,16,20.25,見使用執照,鋼筋混凝土造,85年7月19日,二十四層,
RPVNMLRJJIHFFDE08CA,24,128.91,,鋼筋混凝土造,77年5月6日,二層,一層 二層 陽台 屋頂突出物 夾層
RPSNMLSJJIHFFDE87CA,22,119.60,,鋼筋混凝土造,80年2月25日,二十層,十六層 陽台 花台
RPSNMLSJJIHFFDE87CA,22,59.27,,鋼筋混凝土造,80年2月25日,二十層,
RPSNMLKKJIHFFDE17CA,38,98.26,,加強磚造,63年10月31日,二層,一層 二層 騎樓
RPOPMLPJJIHFFDE37CA,37,165.60,,加強磚造,64年7月20日,三層,一層 二層 三層 騎樓 地下層
RPWNMLRJJIHFFDE18CA,31,89.25,,鋼筋混凝土造,70年12月10日,十二層,十二層 陽台
RPWNMLRJJIHFFDE18CA,31,12.15,,鋼筋混凝土造,70年12月10日,十二層,
RPUPMLQJJIHFFDE08CA,29,89.55,,鋼筋混凝土造,72年12月1日,五層,二層 陽台
RPUPMLQJJIHFFDE08CA,29,12.17,,鋼筋混凝土造,72年12月1日,五層,
RPUNMLKKJIHFFDE37CA,19,91.32,住家用,鋼筋混凝土造,82年9月27日,十四層,三層 陽台 電梯樓梯間
RPUNMLKKJIHFFDE37CA,19,31.01,見使用執照,鋼筋混凝土造,82年9月27日,十四層,
RPVOMLRJJIHFFDE18CA,45,313.98,住商用,加強磚造,56年6月19日,三層,一層 二層 三層 騎樓
RPTPMLMKJIHFFDE67CA,15,121.08,住家用,鋼筋混凝土造,86年12月20日,十四層,十四層 陽台 夾層
RPTPMLMKJIHFFDE67CA,15,109.37,見使用執照,鋼筋混凝土造,86年12月20日,十四層,
RPQNMLOJJIHFFEE37CA,,94.21,住家用,鋼筋混凝土造,101年7月10日,十二層,五層 陽台 雨遮
RPQNMLOJJIHFFEE37CA,,62.90,本共有部分之項目包括防空避難室兼停車空間、停車空間、門廳、管委會使用空間、昇降機道、車道、走廊兼梯廳、機械室、水箱、門廊、外廊、樓梯間、設備空間及安全梯間等１４項。,鋼筋混凝土造,101年7月10日,十二層,
RPVNMLLLJIHFFBE47CA,27,75.51,,鋼筋混凝土造,74年3月7日,七層,三層
RPVNMLLLJIHFFBE47CA,34,31.99,,鋼筋混凝土造,67年7月12日,十二層,九層
RPPPMLPJJIHFFEE57CA,10,86.02,住家用,鋼筋混凝土造,91年8月21日,十四層,六層 陽台 雨遮
RPPPMLPJJIHFFEE57CA,10,47.08,見使用執照,見使用執照,91年8月21日,十四層,
RPQPMLPJJIHFFEE67CA,,94.21,住家用,鋼筋混凝土造,101年7月10日,十二層,二層 陽台 雨遮
RPQPMLPJJIHFFEE67CA,,76.18,本共有部分之項目包括防空避難室兼停車空間、停車空間、門廳、管委會使用空間、昇降機道、車道、走廊兼梯廳、機械室、水箱、門廊、外廊、樓梯間、設備空間及安全梯間等１４項。,鋼筋混凝土造,101年7月10日,十二層,
RPXOMLTJJIHFFDE58CA,18,133.63,住家用,鋼筋混凝土造,83年11月14日,二十三層,二十層 陽台 花台
RPXOMLTJJIHFFDE58CA,18,25.24,見使用執照,鋼筋混凝土造,83年11月14日,二十三層,
RPXOMLTJJIHFFDE58CA,18,17.10,見使用執照,鋼筋混凝土造,83年11月14日,二十三層,
RPXOMLTJJIHFFDE58CA,18,13.81,見使用執照,鋼筋混凝土造,83年11月14日,二十三層,
RPSPMLPJJIHFFEE87CA,,104.09,住家用,鋼筋混凝土造,101年7月10日,十二層,七層 陽台 雨遮
RPSPMLPJJIHFFEE87CA,,84.62,本共有部分之項目包括防空避難室兼停車空間、停車空間、門廳、管委會使用空間、昇降機道、車道、走廊兼梯廳、機械室、水箱、門廊、外廊、樓梯間、設備空間及安全梯間等１４項。,鋼筋混凝土造,101年7月10日,十二層,
RPUOMLMJJIHFFEE67CA,1,119.99,住家用,鋼筋混凝土結構造,100年12月2日,十五層,八層 陽台 雨遮
RPUOMLMJJIHFFEE67CA,1,70.23,本共有部份之項目有停車空間、台電配電室、防空避難室兼停車空間、樓梯間、管理員室、門廊、娛樂休閒室、機械室、水箱共９項。,鋼筋混凝土結構造,100年12月2日,十五層,
RPWOMLMJJIHFFEE87CA,1,119.99,住家用,鋼筋混凝土結構造,100年12月2日,十五層,十四層 陽台 雨遮
RPWOMLMJJIHFFEE87CA,1,68.17,本共有部份之項目有停車空間、台電配電室、防空避難室兼停車空間、樓梯間、管理員室、門廊、娛樂休閒室、機械室、水箱共９項。,鋼筋混凝土結構造,100年12月2日,十五層,
RPUOMLOKJIHFFCE77CA,16,89.54,國民住宅,鋼筋混凝土造,86年4月18日,七層,四層 陽台
RPUOMLOKJIHFFCE77CA,16,41.37,共有部份,鋼筋混凝土造,86年4月18日,七層,
RPWNMLSJJIHFFEE38CA,1,104.40,住家用,鋼筋混凝土造,100年5月26日,十五層,四層 陽台 雨遮
RPWNMLSJJIHFFEE38CA,1,72.24,本共有部分之項目有防空避難室兼停車空間、停車空間、梯廳、車道、門廊、基地內通路、廣場式頂蓋型開放空間、供管委會使用空間、樓梯間、機械室、水箱等１１項。,鋼筋混凝土造,100年5月26日,十五層,
RPXNMLSJJIHFFEE48CA,1,77.27,住家用,鋼筋混凝土造,100年5月26日,十五層,十三層 陽台 雨遮
