編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLRJJIHFFAG87CA,,214.17,住家用,鋼筋混凝土造,101年7月5日,三層,一層 二層 三層 陽台
RPTNMLPJJIHFFBG67CA,19,114.02,住家用,鋼筋混凝土造,83年1月12日,七層,六層 陽台
RPTNMLPJJIHFFBG67CA,19,25.86,共有部份,鋼筋混凝土造,83年1月12日,七層,
RPTNMLPJJIHFFBG67CA,19,25.35,共有部份,鋼筋混凝土造,83年1月12日,七層,
RPRNMLQJJIHFFBG57CA,31,126.88,住家用,鋼筋混凝土加強磚造,70年9月14日,二層,一層 二層
RPPOMLQKJIHFFBG57CA,17,61.55,住家用,鋼筋混凝土造,84年11月2日,八層,七層 陽台
RPPOMLQKJIHFFBG57CA,17,39.53,共有部份,鋼筋混凝土造,84年11月2日,,
RPSNMLQJJIHFFBG67CA,6,32.95,集合住宅,鋼筋混凝土造,95年5月1日,八層,六層 陽台
RPSNMLQJJIHFFBG67CA,6,27.63,共有部份,鋼筋混凝土造,95年5月1日,八層,
RPVOMLTJJIHFFBG38CA,18,86.55,住家用,鋼筋混凝土造,83年6月8日,七層,
RPVOMLTJJIHFFBG38CA,18,11.17,共有部份,鋼筋混凝土造,83年6月8日,七層,
RPVOMLTJJIHFFBG38CA,18,14.13,共有部份,鋼筋混凝土造,83年6月8日,七層,
RPUNMLQJJIHFFAG97EA,31,106.22,住家用,鋼筋混凝土加強磚造,70年12月31日,二層,一層 二層
RPQNMLQJJIHFFAG57EA,38,94.70,住家用,鋼筋混凝土加強磚造,63年7月1日,二層,一層 二層
RPUNMLRJJIHFFAG08EA,31,112.34,住家用,鋼筋混凝土加強磚造,70年12月30日,二層,一層 二層
RPWNMLMJJIHFFBG87EA,17,159.55,住家用,鋼筋混凝土造,84年12月16日,四層,一層 二層 三層 四層 陽台 平台
RPWNMLLJJIHFFBG77EA,18,138.71,住家用,鋼筋混凝土加強磚造,83年9月8日,二層,一層 二層 陽台 見其他登記事項
RPPNMLMJJIHFFBG17EA,29,145.60,住家用,鋼筋混凝土加強磚造,73年1月28日,二層,一層 二層
RPXNMLQJJIHFFBG38EA,33,119.00,住家用,鋼筋混凝土加強磚造,68年9月5日,二層,一層 二層
RPWNMLQJJIHFFBG28EA,15,80.94,住家用,鋼筋混凝土造,86年12月12日,八層,七層 陽台
RPWNMLQJJIHFFBG28EA,15,9.43,共有部份,鋼筋混凝土造,86年12月12日,八層,
RPWNMLQJJIHFFBG28EA,15,24.42,共有部份,鋼筋混凝土造,86年12月12日,八層,
RPUPMLQJJIHFFBG28EA,15,11.80,共有部份,鋼筋混凝土造,86年12月26日,十三層,
RPQPMLQJJIHFFBG87EA,29,107.80,住家用,鋼筋混凝土加強磚造,73年2月24日,二層,一層 二層 騎樓
