編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLPJJIHFFBJ67CA,1,130.31,住家用,鋼筋混凝土造,100年10月11日,十五層,九層 陽台 雨遮
RPQNMLPJJIHFFBJ67CA,1,22.79,本共有部分之項目有梯間、機械室、水箱等三項,鋼筋混凝土造,100年10月11日,十五層,
RPQNMLPJJIHFFBJ67CA,1,83.63,本共有部分之項目有防空避難室、停車空間、頂蓋型廣場室開放空間、管委會使用空間、車道等５項,鋼筋混凝土造,100年10月11日,十五層,
RPPPMLPJJIHFFBJ77CA,,57.07,本共有部分之項目有防空避難室，停車空間，廣場式開放空間，垃圾儲藏空間，沿街式開放空間等五項。,鋼筋混凝土造,101年5月31日,十四層,
RPPPMLPJJIHFFBJ77CA,,15.40,本共有部分之項目有樓梯間、水箱、機械室等三項。,鋼筋混凝土造,101年5月31日,十三層,
RPPPMLPJJIHFFBJ77CA,,97.63,住家用,鋼筋混凝土造,101年5月31日,十三層,十層 陽台 雨遮
RPWOMLRJJIHFFBJ58CA,4,32.51,共用部分,鋼筋混凝土造,98年1月13日,十四層,
RPVPMLRJJIHFFBJ58CA,,92.12,住家用,鋼筋混凝土造,101年8月27日,十五層,四層 陽台 雨遮
RPVPMLRJJIHFFBJ58CA,,53.20,本共有部分之項目有停車空間、防空避難室等二項。,鋼筋混凝土造,101年8月27日,十五層,
RPVPMLRJJIHFFBJ58CA,,22.86,本共有部分之項目有樓梯間、機械室、水箱等三項。,鋼筋混凝土造,101年8月27日,十五層,
RPWPMLRJJIHFFBJ68CA,,112.35,住家用,鋼筋混凝土造,101年8月27日,十五層,六層 陽台 雨遮
RPWPMLRJJIHFFBJ68CA,,89.60,本共有部分之項目有停車空間、防空避難室等二項。,鋼筋混凝土造,101年8月27日,十五層,
RPWPMLRJJIHFFBJ68CA,,27.98,本共有部分之項目有樓梯間、機械室、水箱等三項。,鋼筋混凝土造,101年8月27日,十五層,
RPVNMLSJJIHFFBJ48CA,,92.12,住家用,鋼筋混凝土造,101年8月27日,十五層,三層 陽台 雨遮
RPVNMLSJJIHFFBJ48CA,,53.20,本共有部分之項目有停車空間、防空避難室等二項。,鋼筋混凝土造,101年8月27日,十五層,
RPVNMLSJJIHFFBJ48CA,,20.55,本共有部分之項目有樓梯間、機械室、水箱等三項。,鋼筋混凝土造,101年8月27日,十五層,
RPRPMLMJJIHFFBJ67CA,,109.84,住家用,鋼筋混凝土造,101年7月6日,十三層,四層 陽台 雨遮
RPRPMLMJJIHFFBJ67CA,,20.33,本共有部份之項目有樓梯間、機械室、水箱等三項,鋼筋混凝土造,101年7月6日,十三層,
RPRPMLMJJIHFFBJ67CA,,23.32,本共有部份之項目有防空避難室兼停車空間等一項,鋼筋混凝土造,101年7月6日,十三層,
RPSPMLMJJIHFFBJ77CA,,109.90,住家用,鋼筋混凝土造,101年7月6日,十三層,二層 陽台 雨遮
RPSPMLMJJIHFFBJ77CA,,20.33,本共有部份之項目有樓梯間、機械室、水箱等三項,鋼筋混凝土造,101年7月6日,十三層,
RPSPMLMJJIHFFBJ77CA,,23.35,本共有部份之項目有防空避難室兼停車空間等一項,鋼筋混凝土造,101年7月6日,十三層,
RPWNMLMJJIHFFCJ08CA,,136.10,住商用,加強磚造,,二層,一層 二層
RPXNMLQKJIHFFCJ68CA,4,91.82,住家用,鋼筋混凝土造,97年6月30日,六層,二層 陽台
RPXNMLQKJIHFFCJ68CA,4,20.35,共用部分,鋼筋混凝土造,97年6月30日,六層,
RPXNMLQKJIHFFCJ68CA,4,7.64,共用部分,鋼筋混凝土造,97年6月30日,六層,
RPXPMLMJJIHFFBJ28CA,1,96.21,住家用,鋼筋混凝土造,100年12月2日,十四層,八層 陽台 雨遮
RPXPMLMJJIHFFBJ28CA,1,18.23,梯間,鋼筋混凝土造,100年12月2日,十四層,
RPXPMLMJJIHFFBJ28CA,1,25.93,本共有部分之項目有防空避難室、停車空間、管理員室、車道、垃圾集中處、頂蓋型開放空間、公共服務空間等７項,鋼筋混凝土造,100年12月2日,十四層,
RPROMLNKJIHFFBJ77CA,32,66.82,住家用,加強磚造,69年12月22日,二層,一層 二層 騎樓
RPROMLNKJIHFFBJ77CA,32,66.82,住家用,加強磚造,69年12月22日,二層,一層 二層 騎樓
RPVTMLPKJIHFFBJ88CA,91,180.25,住家用,鋼筋混凝土造,101年8月30日,十四層,十層 陽台 雨遮
RPVTMLPKJIHFFBJ88CA,91,134.85,本共有部分之項目有防空避難室兼停車空間、管委會、頂蓋型開放空間、樓梯間、瞭望台、梯間、水箱、機械室房等八項。,鋼筋混凝土造,101年8月30日,十四層,
RPUNMLOKJIHFFCJ28DA,7,231.50,住家用,鋼筋混凝土造,94年12月12日,四層,一層 二層 三層 四層 陽台 雨遮 地下一層
RPUNMLOKJIHFFCJ28DA,7,27.77,共用部分,鋼筋混凝土造,94年12月12日,四層,
RPVNMLPJJIHFFCJ38DA,36,74.70,住家用,加強磚造,65年11月4日,二層,一層 二層
RPPNMLNJJIHFFBJ47DA,10,97.95,住家用,鋼筋混凝土造,91年12月23日,十層,八層 陽台
RPPNMLNJJIHFFBJ47DA,10,12.79,共用部分,鋼筋混凝土造,91年12月23日,十層,
RPPNMLNJJIHFFBJ47DA,10,34.62,共用部分,鋼筋混凝土造,91年12月23日,十層,
RPPNMLNJJIHFFBJ47DA,10,.08,守衛室,鋼筋混凝土造,91年12月23日,十層,
RPPNMLNJJIHFFBJ47DA,10,.01,共用部分,鋼筋混凝土造,91年12月23日,十層,
RPPNMLNJJIHFFBJ47DA,10,26.47,共用部分,鋼筋混凝土造,91年12月23日,十層,
RPQNMLNJJIHFFBJ57DA,10,95.07,住家用,鋼筋混凝土造,91年12月23日,十層,八層 陽台
RPQNMLNJJIHFFBJ57DA,10,12.96,共用部分,鋼筋混凝土造,91年12月23日,十層,
RPQNMLNJJIHFFBJ57DA,10,33.16,共用部分,鋼筋混凝土造,91年12月23日,十層,
RPQNMLNJJIHFFBJ57DA,10,.08,守衛室,鋼筋混凝土造,91年12月23日,十層,
RPQNMLNJJIHFFBJ57DA,10,.01,共用部分,鋼筋混凝土造,91年12月23日,十層,
RPQNMLNJJIHFFBJ57DA,10,26.47,共用部分,鋼筋混凝土造,91年12月23日,十層,
RPRNMLLLJIHFFDJ77CA,32,86.80,住家用,加強磚造,69年6月18日,二層,一層 二層
RPTNMLPLJIHFFCJ28CA,20,108.49,住家用,鋼筋混凝土造,81年5月29日,十一層,七層 陽台 花台
RPTNMLPLJIHFFCJ28CA,20,13.60,共用部分,鋼筋混凝土造,81年5月29日,十一層,
RPTNMLSJJIHFFDJ48CA,,63.45,住家用,加強磚造,,一層,一層 騎樓
RPRNMLNJKIHFFCJ77CA,,155.25,住商用,加強磚造,,三層,一層 二層 三層 騎樓
RPUNMLPLJIHFFCJ38CA,14,178.92,住家用,鋼筋混凝土造,87年7月1日,四層,一層 二層 三層 四層 見其他登記事項
RPTNMLPKJIHFFCJ18CA,20,84.55,住家用,鋼筋混凝土造,82年1月6日,六層,六層 陽台 花台
RPTNMLPKJIHFFCJ18CA,20,25.50,共用部分,鋼筋混凝土造,82年1月6日,六層,
RPWOMLMKJIHFFCJ28CA,,94.68,住家用,加強磚造,,二層,一層 二層
