編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLQJJIHFFBK87CA,1,261.37,住宅，停車空間,鋼筋混凝土造,100年7月19日,四層,一層 二層 三層 四層 雨遮 地下一層
RPQNMLRJJIHFFBK97CA,,240.41,農舍,鋼筋混凝土造,101年9月13日,三層,一層 二層 三層 陽台
RPSNMLKLJIHFFBK67CA,6,675.90,飲食店，住宅，樓梯間,鋼筋混凝土造,95年10月19日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓
RPWNMLMLJIHFFBK28CA,5,34.04,住家用,鋼筋混凝土造,96年7月16日,十層,四層 陽台
RPWNMLMLJIHFFBK28CA,5,15.45,共有部分,鋼筋混凝土造,96年7月16日,十層,
RPRNMLRJJIHFFDK28CA,,201.39,見使用執照,鋼筋混凝土造,101年7月6日,三層,一層 二層 三層 陽台 雨遮 見其他登記事項
RPUOMLSJJIHFFBK58CA,18,96.58,住家用,鋼筋混凝土造,83年6月1日,十層,九層 陽台
RPTNMLRJJIHFFBK28CA,20,37.45,住商用,鋼筋混凝土造,82年3月10日,,四層 陽台
RPPNMLMJJIHFFDK57CA,18,198.71,住家用,鋼筋混凝土造,83年6月7日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物 儲藏室
RPQNMLMJJIHFFDK67CA,4,200.20,住家用,鋼筋混凝土造,98年1月5日,四層,一層 二層 三層 四層
RPSNMLRJJIHFFDK38CA,,201.39,見使用執照,鋼筋混凝土造,101年7月6日,三層,一層 二層 三層 陽台 雨遮 屋簷 見其他登記事項
RPTNMLRJJIHFFDK48CA,,211.53,見使用執照,鋼筋混凝土造,101年7月6日,三層,一層 二層 三層 陽台 雨遮 見其他登記事項
RPUNMLRJJIHFFDK58CA,,201.39,見使用執照,鋼筋混凝土造,101年7月6日,三層,一層 二層 三層 陽台 雨遮 見其他登記事項
RPRNMLMJJIHFFFK97CA,31,90.87,住家用,鋼筋混凝土造,71年2月23日,四層,
RPRNMLMJJIHFFFK97CA,31,4.95,見其他登記事項,鋼筋混凝土造,71年2月23日,,
RPSNMLPJJIHFFFK38CA,15,141.71,住家用,鋼筋混凝土造,86年8月27日,三層,一層 二層 三層 地下層 見其他登記事項
RPROMLQKJIHFFFK58CA,28,120.28,住家用,加強磚造,73年4月13日,二層,一層 二層 陽台 平台 電梯樓梯間
RPSNMLMKJIHFFFK18CA,20,504.04,廠房，辦公室，宿舍,鋼筋混凝土造,81年4月23日,三層,一層 二層 三層 陽台
RPQNMLRJJIHFFFK38CA,18,65.00,住家用,鋼筋混凝土造,84年3月31日,十三層,
RPQNMLRJJIHFFFK38CA,18,6.59,見其他登記事項,鋼筋混凝土造,84年3月31日,十三層,
RPQNMLRJJIHFFFK38CA,18,10.55,見其他登記事項,鋼筋混凝土造,84年3月31日,十三層,
RPVNMLRJJIHFFFK88CA,10,192.39,住家用,鋼筋混凝土造,91年6月18日,四層,
RPROMLNKJIHFFBK87CA,32,110.20,住家用,加強磚造,69年11月20日,二層,一層 二層
RPUOMLNKJIHFFBK18CA,31,89.40,住家用,鋼筋混凝土造,70年10月15日,四層,一層 陽台
RPRNMLSJJIHFFBK18CA,18,229.44,住家用,鋼筋混凝土造,83年8月15日,五層,地下層
RPVNMLRJJIHFFDK68CA,,211.53,見使用執照,鋼筋混凝土造,101年7月6日,三層,一層 二層 三層 陽台 雨遮 見其他登記事項
RPQNMLMJJIHFFBK47CA,18,238.22,農舍,鋼筋混凝土造,83年5月7日,,一層 二層 陽台 平台 屋頂突出物
RPPOMLMLJIHFFBK67CA,24,103.25,住家用,鋼筋混凝土造,77年12月7日,,一層 二層 陽台 屋頂突出物
RPVOMLMLJIHFFBK28CA,,120.27,住家用,鋼筋混凝土造,101年6月26日,六層,
RPVOMLMLJIHFFBK28CA,,32.91,共有部分,鋼筋混凝土造,101年6月26日,六層,
RPUOMLMLJIHFFBK18CA,,109.25,住家用,鋼筋混凝土造,101年6月26日,六層,
RPUOMLMLJIHFFBK18CA,,32.91,共有部分,鋼筋混凝土造,101年6月26日,六層,
RPXOMLMLJIHFFBK48CA,,120.27,住家用,鋼筋混凝土造,101年6月26日,六層,
RPXOMLMLJIHFFBK48CA,,32.91,共有部分,鋼筋混凝土造,101年6月26日,六層,
RPTNMLSJJIHFFAK28CA,36,152.84,住家用,加強磚造,65年11月16日,二層,一層 二層 騎樓
RPTOMLMLJIHFFBK08CA,,109.25,住家用,鋼筋混凝土造,101年6月26日,六層,
RPTOMLMLJIHFFBK08CA,,32.91,共有部分,鋼筋混凝土造,101年6月26日,六層,
RPRNMLMKJIHFFCK77CA,19,291.50,工廠，員工宿舍,加強磚造,83年2月8日,二層,一層 二層
