編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQOMLQJJIHFFAN18CA,南郭段南郭小段,6.66,都市：,10000,29,持分移轉,01540027
RPQOMLQJJIHFFAN18CA,南郭段南郭小段,2.54,都市：,10000,29,持分移轉,01540529
RPQOMLSJJIHFFAN38CA,華南段,181.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,16,1,持分移轉,05580000
RPTNMLRJJIHFFAN48CA,金馬段,10.21,都市：住,10000,32,持分移轉,08790000
RPQNMLMJJIHFFBN77CA,和北段,116.17,都市：住,1,1,全筆移轉,12210002
RPPOMLMKJIHFFAN77CA,大埔段,58.00,都市：住,1,1,全筆移轉,05540016
RPVOMLNKJIHFFAN48CA,延平段,21.46,都市：住,10000,92,持分移轉,11120000
RPQNMLNKJIHFFAN87CA,三村段,1274.62,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11810000
RPQNMLNKJIHFFAN87CA,三村段,682.42,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11820000
RPPNMLOJJIHFFCN97CA,振興段,2200.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,20460000
RPWNMLNKJIHFFDN78CA,仁愛段,98.00,都市：住,1,1,全筆移轉,00300000
RPOOMLMKJIHFFDN97CA,福興段,114.85,都市：住,1,1,全筆移轉,15020000
RPQNMLTLJIHFFBN68CA,福安段,55.90,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03470000
RPXNMLTJJIHFFDN76CA,靜修段,12.28,都市：住,100,40,持分移轉,04190002
RPUNMLQKJIHFFDN88CA,豐年段,69.00,都市：住,1,1,全筆移轉,03610000
RPUNMLQKJIHFFDN88CA,豐年段,10.00,都市：其他:,1,1,全筆移轉,03610001
RPUNMLQLJIHFFDN98CA,新員水段,737.01,都市：農,1,1,全筆移轉,00110000
RPXNMLLLJIHFFDN78CA,南潭段,3020.30,都市：農,1,1,全筆移轉,00290001
RPPNMLOJJIHFFHN48CA,大發段,91.26,都市：住,2,1,持分移轉,11820001
RPPNMLOJJIHFFHN48CA,大發段,91.26,都市：住,2,1,持分移轉,11820001
RPXNMLQLJIHFFDN66CA,新員水段,36.22,都市：農,1208,620,持分移轉,00070000
RPXNMLQLJIHFFDN66CA,新員水段,82.43,都市：農,1208,620,持分移轉,00070003
RPXNMLQLJIHFFDN66CA,新員水段,20.61,都市：農,1208,620,持分移轉,00070004
RPXNMLQLJIHFFDN66CA,新員水段,23.73,都市：農,1208,620,持分移轉,00070005
RPXNMLQLJIHFFDN66CA,新員水段,20.61,都市：農,1208,620,持分移轉,00070006
RPQNMLTJJIHFFHN09CA,弘農段,241.00,都市：住,1,1,全筆移轉,03080000
RPSNMLTJJIHFFEN98CA,社中段,5.76,都市：住,1,1,全筆移轉,00580005
RPSNMLTJJIHFFEN98CA,社中段,76.14,都市：住,1,1,全筆移轉,02390005
RPTNMLQLJIHFFDN88CA,新員水段,318.22,都市：農,1,1,全筆移轉,00070002
RPTNMLQLJIHFFDN88CA,新員水段,58.98,都市：農,1,1,全筆移轉,00070007
RPSNMLPJJIHFFHN88CA,新水段,636.14,非都市：特定農業區 ; 非都市編定：農牧用地,21,3,持分移轉,05910000
RPUNMLRJJIHFFHN66CA,北勢段,90.00,都市：住,1,1,全筆移轉,04550019
RPSOMLMLJIHFFAN28DA,西勢子段西勢子小段,95.00,都市：住,1,1,全筆移轉,00400044
RPSOMLMLJIHFFAN28DA,西勢子段西勢子小段,8.00,都市：住,1,1,全筆移轉,00400045
RPPNMLMJJIHFFAN67DA,中山段,614.00,都市：住,1,1,全筆移轉,00130002
RPWNMLOKJIHFFAN68DA,西勢子段過溝子小段,162.00,都市：工,1,1,全筆移轉,00120021
RPWNMLOKJIHFFAN68DA,西勢子段過溝子小段,116.00,都市：其他:道路用地,1,1,全筆移轉,00120036
RPPOMLMLJIHFFAN97DA,西勢子段西勢子小段,93.00,都市：住,1,1,全筆移轉,00400059
RPPNMLPLJIHFFHN78CA,東門段,37.55,都市：住,8,1,持分移轉,10270004
RPPNMLPLJIHFFHN78CA,東門段,86.93,都市：住,1,1,全筆移轉,10270014
RPRNMLNKJIHFFDN38DA,永發段,112.11,都市：住,1,1,全筆移轉,09320000
RPUNMLQKJIHFFFN09CA,湄洲段,35.76,都市：住,25,3,持分移轉,06310009
RPUNMLQKJIHFFFN09CA,湄洲段,72.00,都市：住,1,1,全筆移轉,06310012
RPUNMLQKJIHFFFN09CA,湄洲段,15.00,都市：住,1,1,全筆移轉,06310016
RPUNMLQKJIHFFFN09CA,湄洲段,1.10,都市：住,10,1,持分移轉,06420015
RPQNMLSJJIHFFBN48DA,忠明段,96.00,都市：住,1,1,全筆移轉,08250002
RPWNMLTJJIHFFFN96DA,下霸段,1251.39,都市：其他:,999,129,持分移轉,03900000
RPRNMLPJJIHFFGN78DA,萬興段萬興小段,33.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,03170001
RPRNMLPJJIHFFGN78DA,萬興段萬興小段,370.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03170004
RPUNMLNKJIHFFGN98DA,芳草段,70.46,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05690000
RPQNMLMKJIHFFEN28DA,東興段,25.57,都市：住,8,1,持分移轉,07010004
RPQNMLMKJIHFFEN28DA,東興段,98.43,都市：住,7,3,持分移轉,07010007
RPQNMLPJJIHFFAN18EA,口庄段,2549.00,都市：農,1,1,全筆移轉,02020000
RPPNMLQKJIHFFEN58DA,中新段,90.00,都市：住,1,1,全筆移轉,07060000
RPSNMLTJJIHFFCN88DA,新生段,122.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,18660002
RPUNMLTJJIHFFCN09DA,外中段,2024.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03050000
RPRNMLRJJIHFFGN98DA,竹政段,75.25,都市：住,1,1,全筆移轉,12350000
RPRNMLRJJIHFFGN98DA,竹政段,12.29,都市：其他:,1,1,全筆移轉,12360000
RPVNMLQJJIHFFAN68DA,馬鳴段,119.00,都市：其他:,2,1,持分移轉,08980007
RPUOMLRJJIHFFAN78DA,嘉興段,2685.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,15650000
RPSNMLTJJIHFFFN09CA,大松段,34.50,都市：住,1,1,全筆移轉,07250009
RPSNMLTJJIHFFFN09CA,大松段,38.59,都市：其他:,11090,8916,持分移轉,07240002
RPTNMLTJJIHFFFN56CA,海豐崙段,2405.00,都市：,1,1,全筆移轉,08120000
RPVNMLTJJIHFFFN76CA,舜耕段,388.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04130003
RPUNMLOKJIHFFFN88CA,新興段,1061.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,26140000
RPRNMLNKJIHFFEN38CA,中央段,74.00,都市：住,1,1,全筆移轉,00920000
RPRNMLTJJIHFFEN88CA,新山清段,59.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02730000
RPRNMLTJJIHFFEN88CA,新山清段,88.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02980000
RPSOMLMLJIHFFDN48CA,貢旗段,6.39,都市：住,1,1,全筆移轉,03030005
RPRNMLTJJIHFFDN78CA,貢旗段,15.96,都市：住,1,1,全筆移轉,03030004
RPWNMLNLJIHFFDN88CA,橋愛段,95.70,都市：住,1,1,全筆移轉,03900000
RPUNMLTJJIHFFDN09CA,新員水段,65.42,都市：其他:,1,1,全筆移轉,08740003
RPUNMLTJJIHFFDN09CA,新員水段,65.42,都市：其他:,1,1,全筆移轉,08740004
RPUNMLTJJIHFFDN09CA,新員水段,25.36,都市：其他:,47169,2536,持分移轉,08740006
RPUNMLTJJIHFFDN09CA,新員水段,42.30,都市：其他:,36,4,持分移轉,08830000
RPVNMLTJJIHFFCN09CA,洛津段,74.02,都市：住,1,1,全筆移轉,07580000
RPSNMLNKJIHFFDN38CA,地政段,27.87,都市：住,100000,1126,持分移轉,02900000
RPWNMLRLJIHFFDN66CA,永美段,14.13,非都市：特定農業區 ; 非都市編定：甲種建築用地,265,16,持分移轉,00790000
RPWNMLRLJIHFFDN66CA,永美段,1.03,非都市：特定農業區 ; 非都市編定：甲種建築用地,116,7,持分移轉,00800000
RPWNMLRLJIHFFDN66CA,永美段,104.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,00900000
RPPNMLKKJIHFFCN67CA,鹿崙段,1424.32,都市：其他:一般農業區，農牧用地,1,1,全筆移轉,06680000
RPPNMLKKJIHFFCN67CA,鹿崙段,1424.32,都市：其他:一般農業區，農牧用地,1,1,全筆移轉,06680001
RPSOMLQKJIHFFDN78CA,上美段,1688.11,都市：其他:,1,1,全筆移轉,01050000
RPSOMLQKJIHFFDN78CA,上美段,4274.77,都市：其他:,1,1,全筆移轉,01400000
