編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLNKJIHFFGN56CC,22,138.58,住家用,鋼筋混凝土造,80年1月11日,七層,
RPPNMLQKJIHFFAN28CC,8,168.63,停車空間、住宅,鋼筋混凝土造,93年7月29日,三層,
RPSOMLTJJIHFFAN88CC,40,127.90,住商用,鋼筋混凝土加強磚造,62年3月9日,三層,
RPWOMLTKJIHFFBN86CC,3,39.56,人行道，店舖，住宅,鋼筋混凝土造,98年5月26日,四層,
RPQOMLMKJIHFFAN18DC,16,236.75,農舍,有牆鋼架造,85年5月24日,二層,
RPPNMLMLJIHFFHN68CC,38,209.76,住商用,鋼筋混凝土加強磚造,64年3月26日,三層,
RPSNMLPKJIHFFGN09CC,21,129.44,住家用,鋼筋混凝土造,80年6月3日,三層,
RPTOMLSLJIHFFAN56DC,11,184.10,住商用,鋼筋混凝土造,91年1月29日,四層,
RPUNMLSLJIHFFBN56CC,1,186.38,住宅、停車空間,鋼骨造,101年2月22日,四層,
RPUNMLSLJIHFFBN56CC,1,20.18,共用部份,鋼骨造,101年2月22日,四層,
RPROMLSLJIHFFAN98DC,11,184.10,住商用,鋼筋混凝土造,91年1月29日,四層,
RPWNMLSLJIHFFBN76CC,1,391.88,住宅、停車空間,鋼骨造,101年2月22日,四層,
RPWNMLSLJIHFFBN76CC,1,186.38,住宅、停車空間,鋼骨造,101年2月22日,四層,
RPWNMLSLJIHFFBN76CC,1,42.44,共用部份,鋼骨造,101年2月22日,四層,
RPWNMLSLJIHFFBN76CC,1,20.18,共用部份,鋼骨造,101年2月22日,四層,
RPQNMLKMJIHFFBN08CC,21,104.74,住商用,鋼筋混凝土造,80年7月2日,五層,
RPPNMLNJKIHFFFN48CC,15,145.94,住家用,鋼筋混凝土造,87年1月8日,三層,
RPRNMLKKKIHFFBN18DC,2,116.55,住家用,鋼筋混凝土造,100年4月28日,三層,
RPQNMLRJKIHFFBN58CC,8,130.84,住家用,鋼筋混凝土造,94年1月25日,三層,
RPSNMLKKKIHFFBN28DC,33,176.79,住商用,鋼筋混凝土加強磚造,68年12月12日,三層,
RPTNMLOKKIHFFCN78CC,30,125.00,住商用,鋼筋混凝土造,72年1月26日,三層,
RPPNMLLKKIHFFCN08CC,16,154.67,農舍,鋼筋混凝土造,85年8月10日,三層,
RPQNMLOKKIHFFBN38CC,5,181.36,住家用,鋼筋混凝土造,96年7月2日,三層,
RPPNMLRKKIHFFHN56CC,28,1.00,住商用,加強磚造,73年10月27日,二層,
RPQNMLTKKIHFFHN86CC,31,184.97,工業用,鋼筋混凝土造,71年5月5日,三層,
RPTNMLLLJIHFFDN68DC,14,121.55,住家用,鋼筋混凝土造,87年7月23日,三層,
RPTNMLKLKIHFFAN38DC,34,91.56,住家用,鋼筋混凝土加強磚造,67年8月14日,二層,
RPUNMLKLKIHFFAN48DC,24,161.48,住商用,鋼筋混凝土造,78年5月10日,三層,
RPPOMLKLKIHFFAN08DC,17,70.26,住家用,鋼筋混凝土造,85年5月17日,三層,
RPSNMLSLKIHFFDN76DC,24,552.06,工業用,鋼造,77年11月26日,一層,
RPRNMLMJJHIFFCN18CC,28,49.82,住商用,鋼筋混凝土造,74年1月4日,五層,
RPSOMLSLJIHFFAN09DC,11,184.10,住商用,鋼筋混凝土造,91年1月29日,四層,
RPPPMLOJJHIFFDN58DC,47,99.66,住商用,鋼筋混凝土加強磚造,54年10月20日,三層,
RPSNMLLKJHIFFCN38DC,6,96.82,人行道、辦公室、住宅、停車空間,鋼筋混凝土造,96年3月9日,四層,
RPQNMLMKJHIFFCN18CC,27,187.48,農業用,加強磚造,74年7月15日,二層,
RPWNMLKKJHIFFAN58EC,33,127.60,住商用,加強磚造,69年6月10日,二層,
RPUNMLNLJHIFFAN58CC,19,391.04,辦公室,鋼筋混凝土造,82年7月7日,十二層,
RPUNMLNLJHIFFAN58CC,19,38.61,防空避難室、停車空間、電錶集中室、台電變電室、汽車昇降機孔,鋼筋混凝土造,82年7月7日,十二層,
RPUNMLNLJHIFFAN58CC,19,75.50,梯間,鋼筋混凝土造,82年7月7日,十二層,
RPUNMLNLJHIFFAN58CC,19,320.93,辦公室,鋼筋混凝土造,82年7月7日,十二層,
RPUNMLNLJHIFFAN58CC,19,37.28,防空避難室、停車空間、電錶集中室、台電變電室、汽車昇降機孔,鋼筋混凝土造,82年7月7日,十二層,
RPUNMLNLJHIFFAN58CC,19,75.50,梯間,鋼筋混凝土造,82年7月7日,十二層,
RPVNMLQLJIHFFDN66CC,18,191.93,住家用,鋼筋混凝土造,83年5月30日,五層,
RPTNMLPLKIHFFHN86CC,32,118.08,工業用,加強磚造,70年5月5日,二層,
RPRNMLTKKIHFFHN96CC,31,184.97,工業用,鋼筋混凝土造,71年5月5日,三層,
RPUNMLSLJIHFFDN76CC,34,92.19,住家用,鋼筋混凝土加強磚造,67年8月31日,二層,
RPTNMLRKJHIFFHN86CC,34,62.74,住家用,磚造,67年8月25日,一層,
RPTNMLNJJHIFFHN98CC,8,1053.50,農業用,鋼骨造,93年12月16日,二層,
RPPNMLOKJHIFFBN18CC,16,97.93,住家用,鋼筋混凝土造,85年9月23日,十三層,
RPWNMLPLJHIFFAN09DC,23,488.48,住商用,鋼造,79年6月8日,二層,
