編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOPMLPJJIHFFAO08CA,坡道平面,0,22.31,
RPQNMLRJJIHFFAO28CA,坡道平面,0,,
RPXOMLPJJIHFFAO88CA,坡道機械,500000,,
RPORMLPJJIHFFAO28CA,坡道機械,0,,
RPORMLPJJIHFFAO28CA,坡道機械,0,,
RPVNMLTJJIHFFAO98CA,坡道平面,1200000,22.19,
RPTPMLTJJIHFFAO98CA,一樓平面,0,,
RPVNMLNJJIHFFAO48DA,坡道平面,0,,
RPVNMLNJJIHFFAO48DA,坡道平面,0,,
RPWNMLRJJIHFFAO88CA,坡道平面,0,43.03,
RPUNMLRJJIHFFAO68CA,坡道平面,0,,
RPUNMLRJJIHFFAO68CA,坡道平面,0,,
RPRQMLNLJIHFFAO48CA,坡道平面,0,,
RPRPMLQKJIHFFAO68DA,坡道平面,0,,
RPORMLOKJIHFFAO28CA,坡道平面,1075000,28.53,
RPORMLOKJIHFFAO28CA,坡道平面,1075000,28.53,
RPOSMLNKJIHFFAO28CA,坡道平面,0,,
RPOSMLNKJIHFFAO28CA,坡道機械,0,,
RPOSMLNKJIHFFAO28CA,坡道平面,0,,
RPOSMLNKJIHFFAO28CA,坡道機械,0,,
RPOSMLNKJIHFFAO28CA,坡道機械,0,,
RPOSMLNKJIHFFAO28CA,坡道機械,0,,
RPSNMLTJJIHFFAO68CA,坡道平面,1450000,34.81,
RPQSMLTJJIHFFAO98CA,坡道平面,0,,
RPVNMLPLJIHFFAO78CA,坡道平面,500000,21.50,
RPPQMLRLJIHFFAO68CA,坡道平面,0,,
RPWNMLLLJIHFFAO48CA,坡道平面,0,,
SPVRMLTKJIHFFAO96CA,坡道平面,0,,
RPOQMLTJJIHFFAO58CA,坡道機械,0,15.72,
RPSSMLTJJIHFFAO56CA,一樓平面,0,,
RPVNMLNKJIHFFAO48CA,坡道機械,0,,
RPPQMLNKJIHFFAO18CA,坡道平面,0,,
RPQRMLOKJIHFFAO48CA,坡道平面,1100000,28.53,
RPQRMLOKJIHFFAO48CA,坡道平面,1100000,28.53,
RPRNMLRKJIHFFAO48CA,坡道平面,0,11.18,
RPWRMLPKJIHFFAO56CA,坡道平面,0,29.40,
RPRNMLLLJIHFFAO97CA,坡道平面,0,,
RPOPMLRLJIHFFAO48CA,坡道平面,0,,
RPXRMLTJJIHFFAO07DA,其他,0,,
RPOPMLPKJIHFFAO28DA,坡道平面,0,,
RPROMLKLJIHFFAO08DA,坡道平面,0,36.89,
RPRPMLOKJIHFFAO38CA,坡道機械,0,,
RPXQMLNLJIHFFAO09CA,坡道平面,0,,
RPQRMLKLKHJFFAO58EA,坡道平面,0,,
RPOQMLTLJIHFFAO78CA,坡道機械,0,,
RPOQMLTLJIHFFAO78CA,坡道機械,0,,
RPPPMLQKJIHFFAO38CA,坡道平面,0,,
RPPPMLQKJIHFFAO38CA,坡道平面,0,,
RPPPMLMKJIHFFAO08DA,坡道機械,0,,
RPSOMLTKJIHFFAO98DA,坡道平面,0,,
RPUPMLPJKIHFFAO78CA,坡道平面,0,,
RPVPMLQLJIHFFAO09CA,坡道平面,0,,
RPQNMLRKJIHFFAO38CA,坡道平面,0,,
RPVOMLTKJIHFFAO56CA,升降機械,0,,
RPQTMLOKJIHFFAO68CA,坡道平面,1000000,27.30,
RPQTMLOKJIHFFAO68CA,坡道平面,1000000,27.30,
RPUOMLPKJIHFFAO68CA,坡道平面,0,,
RPSPMLNJKIHFFAO38CA,一樓平面,0,23.43,
RPQPMLTKJIHFFAO78CA,坡道平面,0,,
SPTNMLTKJIHFFAO98CA,坡道平面,1200000,38.36,
SPTNMLTKJIHFFAO98CA,坡道平面,1200000,38.36,
RPQPMLLLJIHFFAO08CA,坡道平面,0,29.44,
RPQNMLPLJIHFFAO28CA,其他,0,33.89,
RPXNMLPJKIHFFAO88CA,坡道平面,0,,
RPTQMLRJKIHFFAO98CA,坡道機械,500000,24.99,
RPPQMLRJKIHFFAO58CA,坡道機械,630000,24.99,
RPVQMLRJKIHFFAO56CA,坡道機械,500000,24.99,
RPWQMLRJKIHFFAO66CA,坡道機械,550000,24.99,
RPUQMLRJKIHFFAO09CA,坡道機械,500000,24.99,
RPPRMLRJKIHFFAO68CA,坡道平面,1100000,35.26,
RPORMLRJKIHFFAO58CA,坡道平面,950000,28.26,
RPXQMLRJKIHFFAO76CA,坡道機械,550000,24.99,
RPRQMLRJKIHFFAO78CA,坡道機械,550000,24.99,
RPVNMLQKJIHFFAO88DA,坡道平面,0,,
RPRRMLPKJIHFFAO78DA,坡道平面,0,,
RPSSMLPKJIHFFAO98DA,坡道機械,0,,
RPOOMLPJKIHFFAO08CA,坡道平面,0,32.60,
RPPOMLPJKIHFFAO18CA,坡道平面,0,32.60,
RPROMLPJKIHFFAO38CA,坡道平面,0,,
RPVPMLRLJIHFFAO56CA,升降機械,750000,7.42,
RPTPMLTLJIHFFAO56CA,坡道機械,0,,
RPQNMLSLJIHFFAO58CA,坡道平面,0,,
RPXOMLMLJIHFFAO78CA,坡道機械,0,,
RPWOMLMLJIHFFAO68CA,坡道平面,0,,
RPOPMLMLJIHFFAO97CA,坡道平面,0,,
RPRPMLMLJIHFFAO28CA,坡道平面,0,,
RPWNMLMLJIHFFAO58CA,坡道平面,0,,
RPQNMLQKJIHFFAO28CA,坡道平面,0,,
RPQNMLQKJIHFFAO28CA,坡道平面,0,,
RPQNMLQKJIHFFAO28CA,坡道平面,0,,
RPSQMLPKJIHFFAO68CA,升降機械,650000,7.42,
RPUQMLPKJIHFFAO88CA,升降機械,650000,7.42,
RPVQMLPKJIHFFAO98CA,升降機械,700000,7.42,
RPTQMLPKJIHFFAO78CA,升降機械,700000,7.42,
RPWQMLPKJIHFFAO09CA,升降機械,800000,7.42,
RPORMLPKJIHFFAO38CA,升降機械,750000,7.42,
RPSOMLKLJIHFFAO08CA,一樓平面,0,,
RPVPMLKLJIHFFAO48CA,坡道平面,0,,
RPVPMLKLJIHFFAO48CA,坡道平面,0,,
RPVOMLMLJIHFFAO58CA,坡道平面,0,25.24,
RPVOMLMLJIHFFAO58CA,坡道平面,0,25.24,
RPVQMLNLJIHFFAO88CA,坡道機械,0,,
RPUOMLNLJIHFFAO58CA,坡道機械,0,,
RPTPMLNLJIHFFAO58CA,坡道機械,0,10.11,
RPORMLNLJIHFFAO28CA,坡道機械,0,,
RPORMLNLJIHFFAO28CA,坡道機械,0,,
RPORMLNLJIHFFAO28CA,坡道機械,0,,
RPORMLNLJIHFFAO28CA,坡道機械,0,,
RPSPMLTLJIHFFAO09CA,坡道平面,0,,
RPURMLLKKIHFFAO68CA,坡道機械,0,,
RPPPMLRLJIHFFAO58CA,升降平面,0,,
RPUNMLTLJIHFFAO09CA,坡道平面,0,,
RPPQMLQKJIHFFAO58DA,坡道平面,0,,
RPTOMLMLJIHFFAO38CA,坡道平面,0,,
RPRPMLTKJIHFFAO98DA,坡道機械,0,,
RPVOMLRLJIHFFAO56DA,坡道平面,0,,
RPSNMLKLJIHFFAO08DA,坡道機械,0,,
RPXPMLTLJIHFFAO96CA,坡道平面,0,,
RPUNMLSLJIHFFAO09DA,坡道平面,0,,
RPXNMLMLJIHFFAO68CA,坡道平面,0,,
RPVOMLKLJIHFFAO38CA,坡道平面,0,,
RPTNMLRLJIHFFAO78CA,坡道平面,1125000,28.53,
RPTNMLRLJIHFFAO78CA,坡道平面,1125000,28.53,
SPVOMLKLJIHFFAO48CA,坡道平面,0,,
RPPRMLNLJIHFFAO38CA,坡道機械,0,,
RPTOMLLLJIHFFAO38DA,坡道平面,0,,
RPQNMLTLJIHFFAO68CA,坡道平面,0,,
RPSOMLPJKIHFFAO48CA,坡道平面,0,,
RPSOMLPJKIHFFAO48CA,坡道平面,0,,
RPTNMLOJKIHFFAO38CA,升降機械,0,,
RPQOMLRJKIHFFAO48CA,坡道平面,0,,
RPQNMLMLJIHFFAO08DA,坡道平面,0,,
RPTNMLMLJIHFFAO38DA,坡道機械,0,,
RPRSMLNLJIHFFAO78DA,坡道平面,0,,
RPTNMLPJKIHFFAO48CA,升降機械,0,,
RPTNMLPJKIHFFAO48CA,升降機械,0,,
RPXPMLSLJIHFFAO86CA,坡道平面,0,,
RPUNMLRLJIHFFAO88CA,坡道平面,0,33.78,
RPWPMLMKKIHFFAO78CA,坡道平面,0,,
RPQSMLNLJIHFFAO58CA,坡道平面,0,30.16,
RPPPMLMLJIHFFAO08CA,坡道平面,0,,
RPVOMLLLJIHFFAO48CA,坡道平面,0,,
RPQPMLMLJIHFFAO18CA,坡道平面,0,,
RPQPMLMLJIHFFAO18CA,坡道平面,0,,
RPXQMLSJKIJFFAO27EA,坡道機械,0,,
RPSUMLTKKIHFFAO96CA,坡道平面,0,,
RPXOMLNKKIHFFAO88CA,坡道平面,0,,
RPWPMLNKKIHFFAO88CA,坡道平面,0,,
RPUPMLNKKIHFFAO68CA,坡道平面,0,,
RPVOMLRKKIHFFAO09CA,坡道平面,1100000,35.26,
RPPPMLRKKIHFFAO58CA,坡道平面,1100000,35.26,
RPTNMLSKKIHFFAO88CA,坡道機械,550000,24.99,
RPVNMLRJKIHFFAO88CA,坡道平面,0,,
RPTNMLRKKIHFFAO78CA,坡道機械,550000,25.01,
RPUNNLTKKIHFFAO56CA,坡道機械,500000,24.99,
RPTPMLRKKIHFFAO98CA,坡道機械,480000,25.01,
RPTSMLKLKIHFFAO68CA,坡道機械,550000,24.99,
RPTOMLRLJIHFFAO98DA,坡道平面,0,,
RPXWMLKLKIHFFAO86CA,坡道平面,1000000,35.26,
RPSPMLMLJIHFFAO48DA,坡道平面,0,,
RPQONLKLKIHFFAO08CA,坡道平面,1000000,35.26,
RPWPMLKKKIHFFAO68DA,升降機械,0,,
RPSPNLKLKIHFFAO38CA,坡道平面,1160000,31.52,
RPSPNLKLKIHFFAO38CA,坡道平面,1160000,31.52,
RPXPMLSKKIHFFAO86CA,坡道平面,0,,
RPRNMLRJKIHFFAO58DA,坡道平面,0,,
RPTONLTKKIHFFAO56CA,坡道機械,500000,24.99,
RPUONLTKKIHFFAO66CA,坡道機械,500000,24.99,
RPVPNLKLKIHFFAO68CA,坡道平面,1160000,31.52,
RPVPNLKLKIHFFAO68CA,坡道平面,1100000,31.52,
