編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLQJKIHFFAP78CA,1,241.68,住家用,鋼筋混凝土造,100年11月30日,四層,一層 二層 三層 四層 陽台
RPOOMLRJJIHFFDP58CA,22,145.76,住家用,加強磚造,79年7月20日,二層,一層 二層 陽台 電梯樓梯間
RPPNMLQJJIHFFEP58CA,12,220.74,住家用,鋼筋混凝土造,89年12月14日,三層,一層 二層 三層
RPPOMLPJJIHFFAP18CA,,105.82,住家用,鋼筋混凝土造,83年9月1日,八層,二層 陽台
RPWOMLMJJIHFFAP68DA,2,183.83,住宅、停車空間,鋼筋混凝土造,99年10月20日,四層,一層 二層 三層 四層 陽台
RPPNMLQJJIHFFCP38CA,37,188.21,商業用,加強磚造,64年9月22日,三層,一層 二層 三層 騎樓
RPXOMLMJJIHFFAP78DA,2,183.83,住宅、停車空間,鋼筋混凝土造,99年10月20日,四層,一層 二層 三層 四層 陽台
RPSNMLPJJIHFFAP48DA,17,89.90,住家用,鋼筋混凝土造,84年12月29日,七層,七層 陽台
RPSNMLPJJIHFFAP48DA,17,25.80,共有部份,鋼筋混凝土造,84年12月29日,七層,
RPTNMLMLJIHFFAP48DA,15,38.00,住家用,鋼筋混凝土造,86年10月31日,五層,五層 陽台
RPTNMLMLJIHFFAP48DA,15,25.51,共有部份,鋼筋混凝土造,86年10月31日,五層,
RPTNMLPJJIHFFCP88EA,1,244.70,住商用,鋼筋混凝土造,101年1月17日,四層,一層 二層 三層 四層 陽台 騎樓 見其他登記事項
RPSNMLQJJIHFFDP88DA,6,20.00,集合住宅,鋼筋混凝土造,96年2月5日,十三層,十三層 陽台
RPSNMLQJJIHFFDP88DA,6,7.79,防空避難室、停車空間、管理委員會使用空間、門廳、門廊、車道、樓梯間、機械室、水箱,鋼筋混凝土造,96年2月5日,十三層,
RPQNMLQJJIHFFDP68DA,1,147.23,住宅、樓梯間,鋼筋混凝土造,100年12月5日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPQNMLMJJIHFFCP18DA,34,130.40,住商用,ＲＣ　磚造,67年7月21日,二層,一層 二層 騎樓
RPRNMLQJJIHFFAP48DA,30,241.98,住商用,加強磚造,71年8月4日,三層,一層 二層 三層 騎樓 電梯樓梯間 地下層
RPRNMLRJJIHFFAP58DA,1,191.24,店舖,鋼筋混凝土造,100年6月28日,三層,一層 二層 三層 陽台 電梯樓梯間
RPRNMLRJJIHFFCP68CA,32,135.62,住商用,加強磚造,69年4月17日,二層,一層 二層 騎樓
RPQNMLRJJIHFFDP68CA,16,92.43,商業用,鋼筋混凝土造,85年9月26日,八層,一層 平台
RPQNMLSJJIHFFBP58CA,31,154.86,住家用,加強磚造,71年3月20日,二層,一層 二層 騎樓 電梯樓梯間
RPPNMLRJJIHFFAP28CA,5,199.90,住商用,鋼筋混凝土造,97年1月22日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPQNMLRJJIHFFAP38CA,5,199.90,住商用,鋼筋混凝土造,97年1月22日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPPOMLRJJIHFFAP38CA,18,170.18,住商用,鋼筋混凝土造,83年8月25日,三層,
RPPNMLRJJIHFFBP38CA,19,177.14,住家用,鋼筋混凝土造,82年9月30日,三層,一層 二層 三層 陽台 電梯樓梯間
RPQOMLRJJIHFFAP48CA,34,106.62,住家用,加強磚造,67年12月1日,二層,一層 二層
RPRNMLRJJIHFFDP78CA,19,80.34,住家用,鋼筋混凝土造,83年2月8日,七層,六層 陽台 花台
RPPNMLTKJIHFFAP58CA,18,82.38,住家用,鋼筋混凝土造,83年8月19日,七層,二層 陽台
RPWNMLRJJIHFFDP66CA,,232.77,住宅、樓梯間,鋼筋混凝土造,101年7月26日,三層,一層 二層 三層 陽台 屋頂突出物
RPSOMLRJJIHFFAP78DA,35,97.54,住家用,磚石造,66年9月1日,一層,一層
RPRNMLNKJIHFFDP48CA,36,219.15,住商用,加強磚造,65年9月18日,三層,一層 二層 三層 騎樓
RPUNMLSJJIHFFAP98DA,15,85.98,住家用,鋼筋混凝土造,86年5月15日,十六層,十三層
RPUNMLSJJIHFFAP98DA,15,31.04,共有部份,鋼筋混凝土造,86年5月15日,十六層,
RPUNMLSJJIHFFAP98DA,15,14.77,共有部份,鋼筋混凝土造,86年5月15日,十六層,
RPTNMLRJJIHFFDP98CA,19,88.99,住家用,鋼筋混凝土造,83年2月17日,八層,三層 陽台 花台
RPTNMLRJJIHFFDP98CA,19,16.79,共有部份,鋼筋混凝土造,83年2月17日,八層,
RPTNMLRJJIHFFDP98CA,19,3.60,共有部份,鋼筋混凝土造,83年2月17日,八層,
RPTNMLRJJIHFFDP98CA,19,3.77,共有部份,鋼筋混凝土造,83年2月17日,八層,
RPTNMLRJJIHFFDP98CA,19,2.96,共有部份,鋼筋混凝土造,83年2月17日,八層,
RPTNMLRJJIHFFDP98CA,19,1.57,共有部份,鋼筋混凝土造,83年2月17日,八層,
