編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLQJKIHFFAP78CA,保庄段,136.96,都市：住,1,1,全筆移轉,01030029
RPOOMLRJJIHFFDP58CA,立仁段,104.75,都市：住,1,1,全筆移轉,06290000
RPOOMLRJJIHFFDP58CA,立仁段,35.65,都市：住,5,1,持分移轉,06450000
RPPNMLPJJIHFFCP28CA,公館段,2104.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02200001
RPPNMLPJJIHFFCP28CA,公館段,2630.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02210000
RPPNMLQJJIHFFEP58CA,大北段,310.00,都市：住,1,1,全筆移轉,03270026
RPPNMLQJJIHFFEP58CA,大北段,53.75,都市：住,4,1,持分移轉,03270031
RPPOMLPJJIHFFAP18CA,海豐崙段朱丹灣小段,15.55,都市：,10000,111,持分移轉,00620081
RPWOMLMJJIHFFAP68DA,北環段,24.41,都市：商,20,1,持分移轉,02330002
RPWOMLMJJIHFFAP68DA,北環段,71.50,都市：商,1,1,全筆移轉,02330015
RPPNMLQJJIHFFCP38CA,西螺段,73.00,都市：商,1,1,全筆移轉,09340020
RPSNMLOJJIHFFAP38DA,榴中段,81.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01290000
RPTNMLOJJIHFFAP48DA,榴中段,45.39,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01330000
RPXOMLMJJIHFFAP78DA,北環段,24.41,都市：商,20,1,持分移轉,02330002
RPXOMLMJJIHFFAP78DA,北環段,71.74,都市：商,1,1,全筆移轉,02330026
RPPNMLOJJIHFFAP08DA,榴中段,27.56,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01340000
RPVNMLTJJIHFFAP56DA,番子段,3471.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,21360000
RPQNMLOJJIHFFAP18DA,榴中段,63.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01300000
RPRNMLOJJIHFFAP28DA,榴中段,9.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01370000
RPSNMLPJJIHFFAP48DA,斗六段,5.15,都市：住,10000,536,持分移轉,05000005
RPSNMLPJJIHFFAP48DA,斗六段,8.31,都市：住,10000,536,持分移轉,05000007
RPSNMLPJJIHFFAP48DA,斗六段,5.20,都市：住,10000,536,持分移轉,05000008
RPUNMLQJJIHFFDP09DA,延平段,98.16,都市：住,1,1,全筆移轉,12110004
RPUNMLQJJIHFFDP09DA,延平段,20.75,都市：住,16,1,持分移轉,12110000
RPWNMLTJJIHFFAP66DA,番子段,3194.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,21370000
RPSNMLRJJIHFFFP56DA,新美段,1559.16,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05140000
RPTNMLMLJIHFFAP48DA,大潭段社口小段,16.17,都市：住,10000,294,持分移轉,01760020
RPPNMLQJJIHFFDP58DA,惠來厝段,992.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,12590000
RPTNMLPJJIHFFCP88EA,崙南段,143.02,都市：住,1,1,全筆移轉,11520007
RPPNMLQJJIHFFFP78DA,萬興段,53.89,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,1,持分移轉,05200000
RPSNMLQJJIHFFDP88DA,五間段,3.65,都市：住,10000,24,持分移轉,02880000
RPTNMLSJJIHFFEP66DA,劉厝段,9.16,都市：其他:,20,2,持分移轉,05900000
RPTNMLSJJIHFFEP66DA,劉厝段,177.09,都市：其他:,1,1,全筆移轉,05940000
RPTNMLSJJIHFFEP66DA,劉厝段,19.03,都市：其他:,20,2,持分移轉,06000000
RPQNMLPJJIHFFCP48DA,三塊厝段三塊厝小段,2630.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09830001
RPPNMLTJJIHFFEP98DA,福安段,974.14,都市：其他:,1,1,全筆移轉,07500000
RPQNMLQJJIHFFDP68DA,埔崙段,77.00,都市：住,1,1,全筆移轉,03850027
RPQNMLQJJIHFFDP68DA,埔崙段,32.62,都市：住,8,1,持分移轉,03850033
RPQNMLQJJIHFFDP68DA,埔崙段,19.31,都市：其他:,16,1,持分移轉,03780000
RPQNMLMJJIHFFCP18DA,大同段,76.47,都市：住,1,1,全筆移轉,09340000
RPQNMLMJJIHFFCP18DA,大同段,6.37,都市：住,1,1,全筆移轉,09350000
RPRNMLPJJIHFFCP58DA,下湳段,3082.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03680000
RPPNMLRJJIHFFCP58DA,西螺段,180.00,都市：商,1,1,全筆移轉,07540041
RPPNMLPKJIHFFAP28DA,水碓段,41.81,非都市：一般農業區 ; 非都市編定：甲種建築用地,16,3,持分移轉,06280118
