鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
台東市,房地(土地+建物),台東縣台東巿新社三街１０１號,93.0,住,,,1011019,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0590915,68.82,3,2,1,有,無,2750000,39959,,0.0,0,,RPPNMLNJJIHFFAV48CA,68.82,0.0,0.0,,
台東市,房地(土地+建物),台東縣台東巿新站二街８８號,139.55,住,,,1011016,土地1建物1車位0,一層，二層，三層,三層,辦公商業大樓,住家用,見其他登記事項,1010829,218.63,4,2,5,有,無,7000000,32018,,0.0,0,,RPPNMLRJJIHFFAV88CA,204.38,14.25,0.0,,
台東市,房地(土地+建物),台東縣台東巿新站二街８６號,134.95,住,,,1011016,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1010829,215.44,4,2,5,有,無,7000000,32492,,0.0,0,,RPQNMLRJJIHFFAV98CA,201.19,14.25,0.0,,
台東市,房地(土地+建物),台東縣台東巿文山路８５號,100.3,住,,,1011015,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0910131,223.7,6,0,6,有,無,6680000,29861,,0.0,0,,RPSNMLRJJIHFFAV56CA,195.91,27.79,0.0,,
台東市,房地(土地+建物),台東縣台東巿新興路１巷３１弄５號,124.11,住,,,1011015,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0960404,147.84,3,2,3,有,無,4100000,27733,,0.0,0,,RPTOMLNKJIHFFAV09CA,128.04,19.8,0.0,,
台東市,土地,豐源段1039地號,2593.26,農,特定農業區,農牧用地,1011019,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,270000,104,,0.0,0,,RPSOMLQKJIHFFAV66CA,0.0,0.0,0.0,,
台東市,房地(土地+建物),台東縣台東巿新社三街３７號,84.0,住,,,1011022,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0750106,102.57,3,3,2,有,無,4100000,39973,,0.0,0,,RPPNMLMLJIHFFAV58CA,94.42,0.0,8.15,,
台東市,房地(土地+建物),台東縣台東巿康樂路１３１巷２６號一樓,25.61,住,,,1011012,土地4建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0840601,67.81,2,2,1,有,無,850000,12535,,0.0,0,,RPQNMLNJKIHFFAV68CA,59.05,8.76,0.0,,
台東市,房地(土地+建物),台東縣台東巿知本路二段５５０巷５９弄１５號,93.6,住,,,1011022,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0920917,159.59,3,2,3,有,無,2200000,13785,,0.0,0,,RPSOMLPJKIHFFAV56CA,139.19,20.4,0.0,,
台東市,土地,大業段438地號,5200.0,農,特定農業區,農牧用地,1010509,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,1442,,0.0,0,,RPVNMLQJKIHFFAV86CA,0.0,0.0,0.0,,
台東市,房地(土地+建物),台東縣台東巿新站二街８２號,134.95,住,,,1011016,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1010829,195.53,2,2,4,有,無,6350000,32476,,0.0,0,,RPWNMLQJKIHFFAV96CA,179.04,16.48,0.0,,
池上鄉,房地(土地+建物),台東縣池上鄉信義路37號6樓,66.94,其他,,,1010926,土地1建物3車位0,六層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0940121,288.8,3,2,2,有,有,1683000,5828,,0.0,0,,RPUNMLKMJIHFFCV56CA,246.99,0.0,41.81,,
池上鄉,房地(土地+建物),台東縣池上鄉信義路39號3樓,101.15,其他,,,1010926,土地1建物4車位0,三層,三層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0940121,431.0,3,2,2,有,有,2512000,5828,,0.0,0,,RPVNMLKMJIHFFCV66CA,378.0,0.0,53.0,,
池上鄉,房地(土地+建物),台東縣池上鄉信義路39號7樓,50.57,其他,,,1010926,土地1建物2車位0,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0940121,215.5,3,2,2,有,有,1256000,5828,,0.0,0,,RPWNMLKMJIHFFCV76CA,189.0,0.0,26.5,,
太麻里鄉,房地(土地+建物),台東縣太麻里鄉龍泉路５５號二樓之１４,8.65,其他,,,1011025,土地2建物1車位0,二層,八層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0840110,26.4,1,1,1,有,有,550000,20833,,0.0,0,,RPRNMLMJJIHFFDV88CA,0.0,0.0,0.0,,
太麻里鄉,土地,荒野段935地號,2870.29,,一般農業區,農牧用地,1011023,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,732,,0.0,0,,RPPNMLPJJIHFFDV98CA,0.0,0.0,0.0,,
台東市,土地,新園段334-3地號,3701.0,農,特定農業區,農牧用地,1011011,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2590000,700,,0.0,0,,RPRNMLMJJIHFFAV68DA,0.0,0.0,0.0,,
台東市,土地,知本段7489-1地號,992.0,,特定農業區,農牧用地,1011023,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1050000,1058,,0.0,0,,RPXNMLMJJIHFFAV66DA,0.0,0.0,0.0,,
台東市,房地(土地+建物),台東縣台東巿鐵花路98號,108.0,住,,,1010918,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1000513,189.42,4,2,4,有,無,7450000,39331,,0.0,0,,RPPOMLMJJIHFFAV58DA,0.0,0.0,0.0,,
成功鎮,房地(土地+建物),台東縣成功鎮北平街32之1號,149.48,住,,,1011019,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0730721,143.34,5,2,2,有,無,2500000,17441,,0.0,0,,RPPNMLTJJIHFFBV66DA,143.34,0.0,0.0,,
成功鎮,房地(土地+建物),台東縣成功鎮中山東路4號,67.53,住,,,1011023,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680830,83.16,3,1,1,有,無,1000000,12025,,0.0,0,,RPPNMLPKJIHFFBV98DA,83.16,0.0,0.0,,
鹿野鄉,土地,大原段2044地號,4535.0,農,特定農業區,農牧用地,1011023,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4150000,915,,0.0,0,,RPQNMLMJJIHFFCV78DA,0.0,0.0,0.0,,
太麻里鄉,土地,德其段89地號,3079.53,農,,,1011023,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,357,,0.0,0,,RPPNMLMJJIHFFDV78DA,0.0,0.0,0.0,,
太麻里鄉,土地,荖花段486地號,976.88,農,一般農業區,農牧用地,1011025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,819,,0.0,0,,RPPNMLSJJIHFFDV76DA,0.0,0.0,0.0,,
成功鎮,房地(土地+建物),台東縣成功鎮大同路63號之1,111.87,住,,,1011025,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0820302,152.15,3,2,2,有,無,4600000,30233,,0.0,0,,RPPNMLRLJIHFFBV66DA,152.15,0.0,0.0,,
成功鎮,土地,高台段477地號,2099.44,,鄉村區,乙種建築用地,1011030,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,2858,,0.0,0,,RPPNMLPJJIHFFBV88DA,0.0,0.0,0.0,,
台東市,土地,康樂段737地號,1646.0,,特定農業區,農牧用地,1011102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1234500,750,,0.0,0,,RPOOMLNKJIHFFAV68DA,0.0,0.0,0.0,,
台東市,房地(土地+建物),台東縣台東巿仁昌街113號三樓之4,12.53,住,,,1011017,土地1建物1車位0,三層,十三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0830516,76.56,3,2,2,有,無,2150000,28083,,0.0,0,,RPWNMLPKJIHFFAV96DA,0.0,0.0,0.0,,
延平鄉,土地,武陵段498-1地號,236.0,,鄉村區,乙種建築用地,1011026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,106200,450,,0.0,0,,RPPNMLNKJIHFFCV78CA,0.0,0.0,0.0,,
成功鎮,土地,南都歷段366地號,2826.46,,風景區,農牧用地,1011017,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1757000,622,,0.0,0,,RPRNMLMJJIHFFBV68CA,0.0,0.0,0.0,,
台東市,房地(土地+建物),台東縣台東巿新成街１３６號與99號,160.73,住,,,1011006,土地2建物2車位0,全,三層,透天厝,住家用,見其他登記事項,0950815,235.9,4,2,4,有,有,6600000,27978,,0.0,0,,RPQOMLOKJIHFFAV88CA,200.49,34.83,0.0,,
台東市,房地(土地+建物),台東縣台東巿新成街１２８號與99號,160.77,住,,,1011015,土地2建物2車位0,全,三層,透天厝,住家用,見其他登記事項,0950815,235.9,4,2,4,有,有,6700000,28402,,0.0,0,,RPSOMLOKJIHFFAV09CA,200.49,34.83,0.0,,
台東市,土地,豐樂段3104地號,99.0,住,,,1011026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1820000,18384,,0.0,0,,RPPNMLMKJIHFFAV48CA,0.0,0.0,0.0,,
台東市,房地(土地+建物),台東縣台東巿北安路１１１巷２４號,170.03,住,,,1011019,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0691014,83.6,2,1,1,有,無,2350000,28110,,0.0,0,,RPRNMLNKJIHFFAV78CA,83.6,0.0,0.0,,
台東市,土地,豐里段389地號,5005.67,農,特定農業區,農牧用地,1011018,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5950000,1189,,0.0,0,,RPTNMLNKJIHFFAV98CA,0.0,0.0,0.0,,
台東市,房地(土地+建物),台東縣台東巿仁八街２號,122.0,住,,,1011011,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1010706,214.0,5,2,4,有,無,7200000,33645,,0.0,0,,RPUNMLNKJIHFFAV09CA,180.67,33.33,0.0,,
台東市,房地(土地+建物),台東縣台東巿漢中街２４７巷２３號,125.3,住,,,1011002,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0811228,177.31,4,3,4,有,無,6000000,33839,,0.0,0,,RPVNMLOKJIHFFAV66CA,177.31,0.0,0.0,,
台東市,房地(土地+建物),台東縣台東巿卑南里22鄰更生北路257巷18弄2號,193.31,住,,,1011012,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0690612,158.17,5,2,2,有,無,5200000,32876,,0.0,0,,RPROMLKLJIHFFAV78DA,149.66,8.51,0.0,,
延平鄉,土地,康源段1009地號,220.0,,鄉村區,乙種建築用地,1011025,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,227000,1032,,0.0,0,,RPPNMLRJKIHFFCV66DA,0.0,0.0,0.0,,
太麻里鄉,土地,金星段516地號,1990.0,,山坡地保育區,農牧用地,1011015,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,50,,0.0,0,,RPQNMLNJKIHFFDV56EA,0.0,0.0,0.0,,
台東市,房地(土地+建物),台東縣台東巿中正路306號,958.0,住,,,1010823,土地5建物1車位0,一層，二層，騎樓,二層,店面(店鋪),住商用,見其他登記事項,,986.72,8,3,6,有,無,40343583,40887,,0.0,0,,RPOOMLQKJIHFFAV98DA,0.0,0.0,0.0,,
台東市,土地,台東段51地號,572.0,住,,,1010823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24088235,42112,,0.0,0,,RPPOMLQKJIHFFAV09DA,0.0,0.0,0.0,,
台東市,土地,台東段81地號,393.0,住,,,1010823,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16550134,42112,,0.0,0,,RPQOMLQKJIHFFAV56DA,0.0,0.0,0.0,,
卑南鄉,土地,初鹿段1379地號,1390.0,農,,,1011016,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,895000,644,,0.0,0,,RPWNMLOKJIHFFAV86DA,0.0,0.0,0.0,,
台東市,房地(土地+建物),台東縣台東巿正氣北路339巷25號,93.15,住,,,1011022,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0691004,111.98,2,1,1,有,無,2500000,22325,,0.0,0,,RPPNMLNKJIHFFAV68DA,111.98,0.0,0.0,,
台東市,房地(土地+建物),台東縣台東巿中山路227巷1號,321.0,住,,,1010823,土地2建物1車位0,全,二層,透天厝,見其他登記事項,見其他登記事項,0580814,636.42,6,3,3,有,無,13518048,21241,,0.0,0,,RPRNMLQJKIHFFAV56DA,636.42,0.0,0.0,,
