鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
台東市,房地(土地+建物),台東縣台東巿大同路231號,149.0,商,,,1011110,土地2建物1車位0,見使用執照,3,店面(店鋪),住商用,鋼筋混凝土造,0690124,282.38,5,4,3,有,無,無,22000,78,,0.0,0,,RPPNMLLJJIHFFAV58DC
卑南鄉,房地(土地+建物),台東縣卑南鄉太平路504巷6號,105.0,住,特定農業區,甲種建築用地,1011110,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0811218,133.67,3,2,2,有,無,無,9000,67,,0.0,0,,RPQNMLPJJIHFFAV09DC
卑南鄉,房地(土地+建物),台東縣卑南鄉東成路366號,3117.0,農,特定農業區,農牧用地,1011101,土地1建物1車位0,一層,1,農舍,農舍,見其他登記事項,0870313,310.2,0,0,0,無,無,無,24000,,,0.0,0,,RPSNMLPJJIHFFAV56CC
台東市,房地(土地+建物),台東縣台東巿傳廣路388巷106號三樓之1,16.72,住,,,1011111,土地1建物1車位0,三層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850326,94.73,3,2,1,有,有,有,10000,106,,0.0,0,,RPTNMLPJJIHFFAV66CC
台東市,房地(土地+建物),台東縣台東巿仁二街160號,157.0,住,,,1011110,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0771230,166.45,3,3,2,有,無,有,13000,78,,0.0,0,,RPPNMLTJJIHFFAV76DC
台東市,房地(土地+建物),台東縣台東巿康樂路131巷28號一樓,23.13,住,,,1011110,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0840601,79.65,1,1,1,有,無,無,6000,75,,0.0,0,,RPSNMLNLJIHFFAV56CC
太麻里鄉,房地(土地+建物),台東縣卑南鄉溫泉村26鄰龍泉路208號,176.35,其他,,,1011120,土地3建物1車位0,全,1,透天厝,住商用,見其他登記事項,0730820,128.1,18,2,18,有,無,有,60000,468,,0.0,0,,RPRNMLNLJIHFFDV76CC
台東市,房地(土地+建物),台東縣台東巿中華路一段865巷30之2號4樓,45.83,住,,,1011120,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,見其他登記事項,0620111,72.0,2,1,1,有,無,有,5500,76,,0.0,0,,RPRNMLQLJIHFFAV76CC
台東市,房地(土地+建物),台東縣台東巿泰安路66號,139.0,住,,,1011101,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0800518,211.92,6,2,3,有,無,無,15000,71,,0.0,0,,RPPNMLQLJIHFFAV66DC
