編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLLJJIHFFAV58DC,台東段,110.00,都市：商,,,,03500005
RPPNMLLJJIHFFAV58DC,台東段,39.00,都市：商,,,,03500006
RPPNMLTJJIHFFAV76DC,馬蘭段,157.00,都市：住,,,,15260002
RPSNMLPJJIHFFAV56CC,初鹿段,3117.00,都市：農,,,,37770000
RPQNMLPJJIHFFAV09DC,利家段,105.00,都市：住,,,,75380007
RPTNMLPJJIHFFAV66CC,台東段,16.72,都市：住,,,,18050000
RPSNMLNLJIHFFAV56CC,德安段,23.13,都市：住,,,,00630000
RPTNMLRJKIHFFAV96CC,中山段,127.00,都市：住,,,,05880000
RPUNMLRJKIHFFAV07CC,豐谷段,126.00,都市：住,,,,05420000
RPRNMLQLJIHFFAV76CC,台東段,45.83,都市：住,,,,06540218
RPRNMLNLJIHFFDV76CC,秀山段,64.48,都市：其他:保護區,,,,10880000
RPRNMLNLJIHFFDV76CC,秀山段,101.81,都市：其他:保護區,,,,10880001
RPRNMLNLJIHFFDV76CC,秀山段,10.06,都市：其他:保護區,,,,10880002
RPVNMLRJKIHFFAV17CC,豐年段,4.99,都市：住,,,,00270000
RPPNMLQLJIHFFAV66DC,馬蘭段,139.00,都市：住,,,,16720003
RPOOMLMLKIHFFAV88CC,台東段,112.00,都市：住,,,,00030700
RPSNMLSLKIHFFAV17CC,豐年段,11.49,都市：住,,,,00270000
RPQNMLSJJHIFFAV66CC,利家段,2515.00,都市：農,,,,72990000
RPRNMLSLJHIFFAV96CC,南清段,129.94,都市：住,,,,08270010
RPSNMLSLJHIFFAV07CC,台東段,12.68,都市：住,,,,00040009
RPUNMLSKKIHFFAV37DC,台東段,125.00,都市：住,,,,04650008
RPQNMLQLJIHFFAV76DC,自強段,128.84,都市：住,,,,10430000
RPOOMLOKKIHFFAV09DC,台東段,58.76,都市：住,,,,25420000
RPRNMLTKKIHFFAV17DC,馬蘭段,47.30,都市：住,,,,14590000
RPUNMLOLJHIFFAV96DC,馬蘭段,165.00,都市：住,,,,18350000
RPQNMLMLKIHFFAV09DC,豐康段,121.22,都市：住,,,,09320018
RPTOMLOJJHIFFAV76DC,台東段,56.00,都市：住,,,,01170008
RPTNMLSJJHIFFAV07DC,常德段,3.25,都市：住,,,,09630000
RPTNMLSJJHIFFAV07DC,常德段,111.60,都市：住,,,,09640023
RPWNMLRKJHIFFAV37DC,豐年段,4.90,都市：住,,,,00270000
RPRNMLLMJHIFFAV98CC,建成段,99.40,都市：住,,,,02110000
RPTNMLSLJHIFFAV17CC,下賓朗段,119.53,都市：其他:一般農業區甲種建築用地,,,,14180000
