編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLPJJIHFFAW09CA,3,145.36,集合住宅,鋼筋混凝土造,98年11月12日,三層,一層 二層 三層 陽台 雨遮
RPTNMLOKJIHFFAW56CA,37,243.19,住商用,鋼筋混凝土造,64年10月15日,二層,一層 二層 陽台
RPPNMLPJJIHFFAW88DA,,68.19,見其他登記事項,鋼筋混凝土造,101年8月9日,三層,三層
RPPNMLPJJIHFFAW88DA,,5.14,見其他登記事項,鋼筋混凝土造,101年8月9日,三層,
RPTNMLRJJIHFFAW86DA,,157.05,見其他登記事項,鋼筋混凝土造,101年5月1日,三層,
RPPNMLKMJIHFFAW58CA,,153.73,見其他登記事項,鋼筋混凝土造,101年5月1日,三層,
RPPNMLKMJIHFFAW58CA,,23.35,見其他登記事項,鋼筋混凝土造,101年5月1日,三層,
RPQNMLRLJIHFFAW76DA,30,100.23,住商用,鋼筋混凝土造,71年7月15日,三層,一層 二層 三層
RPWNMLNJKIHFFAW76CA,,100.93,集合住宅,鋼筋混凝土造,101年9月18日,三層,二層 陽台
RPWNMLNJKIHFFAW76CA,,11.05,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,101年9月18日,三層,
RPVNMLNJKIHFFAW66CA,,4.99,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,101年9月18日,三層,
RPVNMLNJKIHFFAW66CA,,89.12,集合住宅,鋼筋混凝土造,101年9月18日,三層,二層 陽台
RPUNMLNJKIHFFAW56CA,,89.12,集合住宅,鋼筋混凝土造,101年9月18日,三層,一層 陽台
RPUNMLNJKIHFFAW56CA,,5.00,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,101年9月18日,三層,
RPXNMLNJKIHFFAW86CA,,91.81,集合住宅,鋼筋混凝土造,101年9月18日,三層,二層 陽台
RPXNMLNJKIHFFAW86CA,,5.08,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,101年9月18日,三層,
RPQNMLPJKIHFFAW98CA,18,163.91,住家用,鋼筋混凝土加強磚造,84年4月29日,三層,一層 二層 三層
RPPNMLOJKIHFFAW78CA,13,135.93,住家用,鋼筋混凝土造,88年5月17日,三層,一層 二層 三層 陽台 平台
RPVNMLLKKIHFFAW56CA,9,201.00,住家用,鋼筋混凝土造,92年4月23日,四層,一層 二層 三層 四層 陽台 平台
RPXNMLLKKIHFFAW76CA,,178.41,見其他登記事項,鋼筋混凝土造,101年5月1日,三層,
RPXNMLLKKIHFFAW76CA,,28.39,見其他登記事項,鋼筋混凝土造,101年5月1日,三層,
RPQOMLLKKIHFFAW78CA,14,85.94,住家用,鋼筋混凝土造,87年9月11日,五層,五層 陽台
RPQOMLLKKIHFFAW78CA,14,15.19,機房．屋頂突出物．樓梯間,鋼筋混凝土造,87年9月11日,五層,
RPPNMLNKKIHFFAW88DA,1,162.82,見其他登記事項,鋼筋混凝土造,101年5月1日,三層,
RPPNMLNKKIHFFAW88DA,1,24.74,見其他登記事項,鋼筋混凝土造,101年5月1日,三層,
RPSNMLMKKIHFFAW09DA,1,170.17,見其他登記事項,鋼筋混凝土造,101年5月1日,三層,
RPSNMLMKKIHFFAW09DA,1,27.08,見其他登記事項,鋼筋混凝土造,101年5月1日,三層,
RPQNMLSKKIHFFAW76CA,32,114.86,住商用,鋼筋混凝土造,69年10月10日,三層,一層 二層 三層 陽台
RPRNMLOKKIHFFAW09CA,6,201.75,住家用,鋼筋混凝土造,96年3月27日,三層,一層 二層 三層 陽台
RPQNMLLLKIHFFAW88DA,4,32.28,自設停車空間,鋼筋混凝土造,98年5月20日,四層,一層 陽台
RPQNMLLLKIHFFAW88DA,4,7.88,樓梯間、機械室,鋼筋混凝土造,98年5月20日,四層,
RPPOMLSKKIHFFAW76CA,,91.81,集合住宅,鋼筋混凝土造,101年9月18日,三層,三層 陽台
RPPOMLSKKIHFFAW76CA,,5.09,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,101年9月18日,三層,
RPOOMLSKKIHFFAW66CA,,91.81,集合住宅,鋼筋混凝土造,101年9月18日,三層,一層 陽台
RPOOMLSKKIHFFAW66CA,,5.09,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,101年9月18日,三層,
RPQOMLSKKIHFFAW86CA,,89.12,集合住宅,鋼筋混凝土造,101年9月18日,三層,三層 陽台
RPQOMLSKKIHFFAW86CA,,5.00,共有部分：本共有部分之項目有樓梯間１項。,鋼筋混凝土造,101年9月18日,三層,
RPPNMLOJJHIFFAW78DA,8,166.05,住家用,鋼筋混凝土造,94年4月25日,二層,
RPXOMLMLKIHFFAW17DA,18,87.92,住家用,鋼筋混凝土加強磚造,84年5月17日,三層,三層
RPQOMLOLKIHFFAW56CA,15,76.37,見使用執照,鋼筋混凝土造,86年9月13日,七層,七層 陽台
RPQOMLOLKIHFFAW56CA,15,16.56,共用部分,鋼筋混凝土造,86年9月13日,七層,
RPQNMLTJJHIFFAW66CA,,255.97,住家用,鋼筋混凝土造,101年12月7日,三層,一層 二層 三層 陽台 屋頂突出物
RPRNMLTJJHIFFAW76CA,,255.97,住家用,鋼筋混凝土造,101年12月7日,三層,一層 二層 三層 陽台 屋頂突出物
RPQNMLLKJHIFFAW58CA,3,20.92,集合住宅,鋼筋混凝土造,98年12月22日,三層,三層
RPQNMLLKJHIFFAW58CA,3,6.68,共有部分，本共有部分有走廊、樓梯間等２項。,鋼筋混凝土造,98年12月22日,三層,
RPRNMLLKJHIFFAW68CA,3,20.92,集合住宅,鋼筋混凝土造,98年12月22日,三層,三層
RPRNMLLKJHIFFAW68CA,3,6.68,共有部分，本共有部分有走廊、樓梯間等２項。,鋼筋混凝土造,98年12月22日,三層,
RPOOMLQLKIHFFAW56CA,,178.41,集合住宅,鋼筋混凝土造,101年10月30日,三層,一層 二層 三層 陽台
RPPOMLSKJHIFFAW66CA,1,255.34,集合住宅,鋼筋混凝土造,101年5月1日,三層,一層 二層 三層 陽台 見其他登記事項
RPXNMLQLKIHFFAW37CA,,178.41,集合住宅,鋼筋混凝土造,101年10月30日,三層,一層 二層 三層 陽台
RPOOMLSKJHIFFAW56CA,39,54.00,住商用,鋼筋混凝土加強磚造,62年9月20日,三層,一層 二層 三層 騎樓
RPPOMLQLKIHFFAW66CA,,168.01,集合住宅,鋼筋混凝土造,101年10月30日,二層,一層 二層 陽台 屋頂突出物
RPRNMLOLJHIFFAW09CA,3,19.67,集合住宅,鋼筋混凝土造,98年12月22日,三層,三層
RPRNMLOLJHIFFAW09CA,3,3.97,共有部分，本共有部分有走廊、樓梯間等２項。,鋼筋混凝土造,98年12月22日,三層,
RPTNMLOLJHIFFAW66CA,3,19.36,集合住宅,鋼筋混凝土造,98年12月22日,三層,三層
RPTNMLOLJHIFFAW66CA,3,3.97,共有部分，本共有部分有走廊、樓梯間等２項。,鋼筋混凝土造,98年12月22日,三層,
RPQOMLSKJHIFFAW76CA,1,255.60,集合住宅,鋼筋混凝土造,101年5月1日,三層,一層 二層 三層 陽台 見其他登記事項
RPUNMLOLJHIFFAW76CA,3,19.36,集合住宅,鋼筋混凝土造,98年12月22日,三層,三層
