編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLTJJIHFFAX86DA,光榮段,19.55,非都市： ; 非都市編定：,1,1,全筆移轉,04020000
RPVNMLTJJIHFFAX27CA,國宅段,771.45,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01290000
RPPNMLTJJIHFFAX76DA,潭邊新段,381.10,非都市：一般農業區 ; 非都市編定：農牧用地,5,4,持分移轉,03190000
RPPNMLTJJIHFFAX76DA,潭邊新段,20.50,非都市：一般農業區 ; 非都市編定：交通用地,5,4,持分移轉,03180000
RPPNMLOKJIHFFAX88CA,合界頭段,2.62,非都市：鄉村區 ; 非都市編定：乙種建築用地,120,1,持分移轉,01670000
RPPNMLOKJIHFFAX88CA,合界頭段,2.34,非都市：一般農業區 ; 非都市編定：農牧用地,120,1,持分移轉,02360000
RPPNMLOKJIHFFAX88CA,合界頭段,5.50,非都市：一般農業區 ; 非都市編定：農牧用地,120,1,持分移轉,02380000
RPPNMLOKJIHFFAX88CA,合界頭段,10.59,非都市：一般農業區 ; 非都市編定：農牧用地,120,1,持分移轉,02660000
RPPNMLOKJIHFFAX88CA,合界頭段,5.41,非都市：一般農業區 ; 非都市編定：農牧用地,120,1,持分移轉,02990000
RPPNMLOKJIHFFAX88CA,合界頭段,1.42,非都市：鄉村區 ; 非都市編定：乙種建築用地,120,1,持分移轉,03290000
RPPNMLOKJIHFFAX88CA,合界頭段,2.67,非都市：風景區 ; 非都市編定：農牧用地,120,1,持分移轉,06650000
RPPNMLOKJIHFFAX88CA,合界頭段,9.63,非都市：一般農業區 ; 非都市編定：農牧用地,120,1,持分移轉,06960000
RPPNMLOKJIHFFAX88CA,合界頭段,.07,非都市：一般農業區 ; 非都市編定：農牧用地,120,1,持分移轉,06960001
RPPNMLOKJIHFFAX88CA,合界頭段,1.62,非都市：一般農業區 ; 非都市編定：農牧用地,120,1,持分移轉,09180000
RPPNMLOKJIHFFAX88CA,竹篙灣段,.72,非都市：一般農業區 ; 非都市編定：農牧用地,120,1,持分移轉,15760000
RPPNMLOKJIHFFAX88CA,竹篙灣段,3.87,非都市：一般農業區 ; 非都市編定：農牧用地,120,1,持分移轉,16050000
RPPNMLOKJIHFFAX88CA,竹篙灣段,1.23,非都市：一般農業區 ; 非都市編定：農牧用地,120,1,持分移轉,16070000
RPPNMLOKJIHFFAX88CA,竹篙灣段,2.27,非都市：一般農業區 ; 非都市編定：農牧用地,120,1,持分移轉,16070001
RPSNMLNKJIHFFAX09CA,文澳段,51.95,非都市： ; 非都市編定：,10000,294,持分移轉,23040000
RPUNMLKLJIHFFAX09CA,赤崁西段,800.92,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,11830000
RPUNMLKLJIHFFAX09CA,赤崁中段,687.25,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13310000
RPUNMLKLJIHFFAX09CA,赤崁南段,62.11,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00250000
RPUNMLTJJIHFFAX17CA,二崁南段,1038.25,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,11790000
RPXNMLSJJIHFFAX37CA,二崁南段,1403.59,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,12220000
RPPOMLTJJIHFFAX76CA,文石段,175.56,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,12200001
RPPOMLTJJIHFFAX76CA,文石段,31.07,非都市：一般農業區 ; 非都市編定：交通用地,17,1,持分移轉,12200009
RPXNMLNKJIHFFAX96CA,興仁段,85.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01970000
