編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLLJKHIFFDA76CC,15,118.17,住家用,鋼骨鋼筋混凝土造,86年10月24日,三十層,
RPOOMLLJKHIFFDA76CC,15,15.92,住家用,鋼骨鋼筋混凝土造,86年10月24日,三十層,
RPOOMLLJKHIFFDA76CC,15,6.70,共有部分,鋼骨鋼筋混凝土造,86年10月24日,三十層,
RPOOMLLJKHIFFDA76CC,15,10.20,共有部分,鋼骨鋼筋混凝土造,86年10月24日,三十層,
RPVQMLLJKHIFFCA57CC,29,82.13,住家用,鋼筋混凝土造,73年1月13日,五層,
RPVQMLLJKHIFFCA57CC,29,12.35,住家用,鋼筋混凝土造,73年1月13日,五層,
RPVQMLLJKHIFFCA57CC,29,9.60,共有部分,鋼筋混凝土造,73年1月13日,五層,
RPWRMLLJKHIFFCA77CC,2,37.39,住家用,鋼骨造,99年9月17日,十八層,
RPWRMLLJKHIFFCA77CC,2,4.65,本共有部分之項目有梯廳、走廊等２項,鋼骨造,99年9月17日,十八層,
RPWRMLLJKHIFFCA77CC,2,1.40,本共有部分之項目有管委會使用空間、陽台、雨遮、電梯等４項,鋼骨造,99年9月17日,十八層,
RPWRMLLJKHIFFCA77CC,2,12.61,本共有部分之項目有梯廳、門廊、排煙室、排煙管道、進風管道、進氣管道、特別安全梯、緊急昇降機、行動不便電梯、中繼水箱、管委會使用空間、汽車昇降機、Ａ梯、Ｂ梯、陽台、雨遮、騎樓、機車停車空間、防災中心、電梯機坑、法定裝卸位、台電配電室、受電箱通道、發電機室、機房（供電信使用）、垃圾處理室、公共變電室、清水池、消防幫浦室、防空避難室兼停車空間等３０項,鋼骨造,99年9月17日,十八層,
RPQQMLLJKHIFFDA17CC,4,19.84,住家用,鋼筋混凝土造,98年1月23日,十四層,
RPQQMLLJKHIFFDA17CC,4,4.33,共有部分,鋼筋混凝土造,98年1月23日,十四層,
RPQQMLLJKHIFFDA17CC,4,5.42,共有部分,鋼筋混凝土造,98年1月23日,十四層,
