編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPJKHIFFAD96CA,金城段,398.00,都市：住,1,1,全筆移轉,00860025
RPQNMLSKKHIFFAD47CA,海興段,104.24,都市：住,10000,3632,持分移轉,00010032
RPRNMLKMMHIFFAD17CA,開元段,11.92,都市：商,100000,316,持分移轉,06250000
RPPNMLNJKHIFFAD76CA,金城段,102.00,都市：住,1,1,全筆移轉,00470014
RPRNMLSJKHIFFAD47CA,金華段,7.39,都市：住,10000,23,持分移轉,00840003
RPTOMLQJKHIFFAD57CA,海興段,65.05,都市：住,380160000,38641860,持分移轉,00010066
RPTOMLQJKHIFFAD57CA,海興段,366.00,都市：住,1,1,全筆移轉,00010069
RPVPMLSJKHIFFAD08CA,銀同段,52.02,都市：商,1,1,全筆移轉,09460000
RPPNMLTKKHIFFAD47CA,金華段,8.27,都市：商,10000,64,持分移轉,00010009
RPPNMLPJKHIFFBD07CA,總頭段,3.46,都市：其他:,4,1,持分移轉,02040014
RPPNMLPJKHIFFBD07CA,總頭段,3.46,都市：其他:,4,1,持分移轉,02040014
RPPNMLPJKHIFFBD07CA,總頭段,3.46,都市：其他:,4,1,持分移轉,02040014
RPPNMLPJKHIFFBD07CA,總頭段,2105.05,都市：農,3,1,持分移轉,02110000
RPPNMLPJKHIFFBD07CA,總頭段,2105.05,都市：農,3,1,持分移轉,02110000
RPPNMLPJKHIFFBD07CA,總頭段,2105.05,都市：農,3,1,持分移轉,02110000
RPPNMLPJKHIFFBD07CA,總頭段,245.68,都市：其他:,3,1,持分移轉,02140000
RPPNMLPJKHIFFBD07CA,總頭段,245.68,都市：其他:,3,1,持分移轉,02140000
RPPNMLPJKHIFFBD07CA,總頭段,245.68,都市：其他:,3,1,持分移轉,02140000
RPUNMLQJKHIFFBD67CA,海前段,107.62,都市：住,1,1,全筆移轉,12240000
RPUNMLQJKHIFFBD67CA,海前段,2.80,都市：住,1,1,全筆移轉,12290002
RPPNMLRJKHIFFBD27CA,州北段,120.00,都市：住,1,1,全筆移轉,00950000
RPPNMLRJKHIFFBD27CA,州北段,13.00,都市：其他:道路用地,1,1,全筆移轉,00950001
RPSOMLOJKHIFFCD47CA,新興段,77.00,都市：住,1,1,全筆移轉,02470010
RPSOMLLJKHIFFCD17CA,竹篙厝段,9.81,都市：住,10000,39,持分移轉,13180000
RPOPMLSJKHIFFCD57CA,鹽埕段,42.50,都市：住,10,1,持分移轉,31060025
RPTNMLSJKHIFFCD87CA,路東段,27.26,都市：住,10000,729,持分移轉,00070000
RPROMLRJKHIFFBD57CA,安西段,1286.30,都市：住,1,1,全筆移轉,20330000
RPROMLRJKHIFFBD57CA,安西段,5335.63,都市：住,1,1,全筆移轉,20340000
RPSOMLRJKHIFFCD77CA,竹篙厝段,11.24,都市：住,10000,24,持分移轉,20980000
RPPNMLSKKHIFFCD57CA,光華段,41.20,都市：住,10000,112,持分移轉,00460000
RPPNMLSKKHIFFCD57CA,光華段,.27,都市：住,10000,45,持分移轉,00460001
RPPNMLSKKHIFFCD57CA,光華段,.38,都市：住,10000,112,持分移轉,09180000
RPWNMLQJKHIFFCD97CA,公英段,36.04,都市：住,10000000,5089,持分移轉,00080000
RPWOMLKLKHIFFCD67CA,新興段,5.09,都市：住,35100,509,持分移轉,02280053
RPROMLOJKHIFFAR58CA,大公段,68.43,都市：住,1,1,全筆移轉,00150000
