編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUOMLLLKHIFFFR96EB,大同段,85.37,都市：住,1,1,全筆移轉,06470016
RPUOMLLLKHIFFFR96EB,大同段,8.85,都市：住,36,1,持分移轉,06470010
RPUOMLLLKHIFFFR96EB,大同段,12.47,都市：住,36,1,持分移轉,07460012
RPVOMLLLKHIFFFR07EB,大同段,8.85,都市：住,36,1,持分移轉,06470010
RPVOMLLLKHIFFFR07EB,大同段,12.47,都市：住,36,1,持分移轉,07460012
RPVOMLLLKHIFFFR07EB,大同段,81.82,都市：住,1,1,全筆移轉,06470005
RPTOMLLLKHIFFFR86EB,大同段,8.85,都市：住,36,1,持分移轉,06470010
RPTOMLLLKHIFFFR86EB,大同段,12.47,都市：住,36,1,持分移轉,07460012
RPTOMLLLKHIFFFR86EB,大同段,84.18,都市：住,1,1,全筆移轉,06470013
RPOPMLLLKHIFFFR09EB,大同段,8.85,都市：住,36,1,持分移轉,06470010
RPOPMLLLKHIFFFR09EB,大同段,12.47,都市：住,36,1,持分移轉,07460012
RPOPMLLLKHIFFFR09EB,大同段,81.82,都市：住,1,1,全筆移轉,06470006
RPQPMLLLKHIFFFR66EB,大同段,8.85,都市：住,36,1,持分移轉,06470010
RPQPMLLLKHIFFFR66EB,大同段,12.47,都市：住,36,1,持分移轉,07460012
RPQPMLLLKHIFFFR66EB,大同段,86.57,都市：住,1,1,全筆移轉,06470019
RPRPMLLLKHIFFFR76EB,大同段,8.85,都市：住,36,1,持分移轉,06470010
RPRPMLLLKHIFFFR76EB,大同段,12.47,都市：住,36,1,持分移轉,07460012
RPRPMLLLKHIFFFR76EB,大同段,81.82,都市：住,1,1,全筆移轉,06470002
RPUPMLLLKHIFFFR07EB,大同段,8.85,都市：住,36,1,持分移轉,06470010
RPUPMLLLKHIFFFR07EB,大同段,12.47,都市：住,36,1,持分移轉,07460012
RPUPMLLLKHIFFFR07EB,大同段,102.54,都市：住,1,1,全筆移轉,07460003
RPVPMLLLKHIFFFR17EB,大同段,8.85,都市：住,36,1,持分移轉,06470010
RPVPMLLLKHIFFFR17EB,大同段,12.47,都市：住,36,1,持分移轉,07460012
RPVPMLLLKHIFFFR17EB,大同段,122.29,都市：住,1,1,全筆移轉,07460000
RPXPMLLLKHIFFFR37EB,大同段,8.85,都市：住,36,1,持分移轉,06470010
RPXPMLLLKHIFFFR37EB,大同段,12.47,都市：住,36,1,持分移轉,07460012
RPXPMLLLKHIFFFR37EB,大同段,81.82,都市：住,1,1,全筆移轉,06470004
RPPPMLSLLHIFFBD97CB,和館段,9.00,都市：住,1,1,全筆移轉,00380021
RPPPMLSLLHIFFBD97CB,和館段,26.56,都市：住,100000,2004,持分移轉,00380000
RPPPMLSLLHIFFBD97CB,和館段,66.60,都市：住,1,1,全筆移轉,00380020
RPOPMLSLLHIFFBD87CB,和館段,9.41,都市：住,1,1,全筆移轉,00380019
RPOPMLSLLHIFFBD87CB,和館段,27.78,都市：住,100000,2096,持分移轉,00380000
RPOPMLSLLHIFFBD87CB,和館段,69.65,都市：住,1,1,全筆移轉,00380018
RPQPMLSLLHIFFBD08CB,和館段,75.60,都市：住,1,1,全筆移轉,00380022
RPQPMLSLLHIFFBD08CB,和館段,26.56,都市：住,100000,2004,持分移轉,00380000
RPWOMLLLKHIFFFR17EB,大同段,8.85,都市：住,36,1,持分移轉,06470010
RPWOMLLLKHIFFFR17EB,大同段,12.47,都市：住,36,1,持分移轉,07460012
RPWOMLLLKHIFFFR17EB,大同段,108.79,都市：住,1,1,全筆移轉,06470011
RPWPMLSLLHIFFBD68CB,和館段,76.55,都市：住,1,1,全筆移轉,00380027
RPVPMLSLLHIFFBD58CB,和館段,75.60,都市：住,1,1,全筆移轉,00380026
RPWPMLSLLHIFFBD68CB,和館段,26.90,都市：住,100000,2029,持分移轉,00380000
RPVPMLSLLHIFFBD58CB,和館段,26.56,都市：住,100000,2004,持分移轉,00380000
RPUPMLSLLHIFFBD48CB,和館段,75.60,都市：住,1,1,全筆移轉,00380025
RPUPMLSLLHIFFBD48CB,和館段,26.56,都市：住,100000,2004,持分移轉,00380000
RPSPMLSLLHIFFBD28CB,和館段,75.60,都市：住,1,1,全筆移轉,00380024
RPSPMLSLLHIFFBD28CB,和館段,26.56,都市：住,100000,2004,持分移轉,00380000
RPSOMLLLKHIFFFR76EB,大同段,8.85,都市：住,36,1,持分移轉,06470010
RPSOMLLLKHIFFFR76EB,大同段,12.47,都市：住,36,1,持分移轉,07460012
RPSOMLLLKHIFFFR76EB,大同段,86.17,都市：住,1,1,全筆移轉,06470018
RPSPMLLLKHIFFFR86EB,大同段,8.85,都市：住,36,1,持分移轉,06470010
RPSPMLLLKHIFFFR86EB,大同段,12.47,都市：住,36,1,持分移轉,07460012
RPSPMLLLKHIFFFR86EB,大同段,101.37,都市：住,1,1,全筆移轉,07460005
RPTPMLLLKHIFFFR96EB,大同段,8.85,都市：住,36,1,持分移轉,06470010
RPTPMLLLKHIFFFR96EB,大同段,12.47,都市：住,36,1,持分移轉,07460012
RPTPMLLLKHIFFFR96EB,大同段,101.95,都市：住,1,1,全筆移轉,07460004
RPRQMLSLLHIFFBD28CB,和館段,73.08,都市：住,1,1,全筆移轉,00380029
RPRQMLSLLHIFFBD28CB,和館段,26.13,都市：住,100000,1971,持分移轉,00380000
RPSQMLSLLHIFFBD38CB,和館段,73.08,都市：住,1,1,全筆移轉,00380030
RPSQMLSLLHIFFBD38CB,和館段,26.13,都市：住,100000,1971,持分移轉,00380000
RPUQMLSLLHIFFBD58CB,和館段,73.08,都市：住,1,1,全筆移轉,00380031
RPUQMLSLLHIFFBD58CB,和館段,26.13,都市：住,100000,1971,持分移轉,00380000
RPWQMLSLLHIFFBD78CB,和館段,73.08,都市：住,1,1,全筆移轉,00380032
RPWQMLSLLHIFFBD78CB,和館段,26.13,都市：住,100000,1971,持分移轉,00380000
RPPPMLLLKHIFFFR56EB,大同段,8.85,都市：住,36,1,持分移轉,06470010
RPPPMLLLKHIFFFR56EB,大同段,12.47,都市：住,36,1,持分移轉,07460012
RPPPMLLLKHIFFFR56EB,大同段,143.73,都市：住,1,1,全筆移轉,06470020
RPWPMLLLKHIFFFR27EB,大同段,8.85,都市：住,36,1,持分移轉,06470010
RPXQMLSLLHIFFBD88CB,和館段,73.08,都市：住,1,1,全筆移轉,00380033
RPWPMLLLKHIFFFR27EB,大同段,12.47,都市：住,36,1,持分移轉,07460012
RPWPMLLLKHIFFFR27EB,大同段,102.98,都市：住,1,1,全筆移轉,07460007
RPXQMLSLLHIFFBD88CB,和館段,26.13,都市：住,100000,1971,持分移轉,00380000
RPQRMLSLLHIFFBD28CB,和館段,73.08,都市：住,1,1,全筆移轉,00380035
RPQRMLSLLHIFFBD28CB,和館段,26.13,都市：住,100000,1971,持分移轉,00380000
RPORMLSLLHIFFBD08CB,和館段,73.08,都市：住,1,1,全筆移轉,00380034
RPORMLSLLHIFFBD08CB,和館段,26.13,都市：住,100000,1971,持分移轉,00380000
RPSRMLSLLHIFFBD48CB,和館段,64.38,都市：住,1,1,全筆移轉,00380036
RPSRMLSLLHIFFBD48CB,和館段,26.13,都市：住,100000,1971,持分移轉,00380000
RPSRMLSLLHIFFBD48CB,和館段,8.70,都市：住,1,1,全筆移轉,00380037
RPTRMLSLLHIFFBD58CB,和館段,65.21,都市：住,1,1,全筆移轉,00380038
RPTRMLSLLHIFFBD58CB,和館段,26.46,都市：住,100000,1996,持分移轉,00380000
RPTRMLSLLHIFFBD58CB,和館段,8.81,都市：住,1,1,全筆移轉,00380039
RPVRMLSLLHIFFBD78CB,和館段,123.78,都市：住,1,1,全筆移轉,00380005
RPVRMLSLLHIFFBD78CB,和館段,14.02,都市：住,100000,1058,持分移轉,00380000
RPRPMLSLLHIFFBD18CB,和館段,75.60,都市：住,1,1,全筆移轉,00380023
RPRPMLSLLHIFFBD18CB,和館段,26.56,都市：住,100000,2004,持分移轉,00380000
RPPQMLSLLHIFFBD08CB,和館段,76.55,都市：住,1,1,全筆移轉,00380028
RPPQMLSLLHIFFBD08CB,和館段,27.36,都市：住,100000,2064,持分移轉,00380000
RPWRMLSLLHIFFBD88CB,和館段,121.13,都市：住,1,1,全筆移轉,00380006
RPWRMLSLLHIFFBD88CB,和館段,13.72,都市：住,100000,1035,持分移轉,00380000
RPUSMLSLLHIFFBD78CB,和館段,121.13,都市：住,1,1,全筆移轉,00380013
RPUSMLSLLHIFFBD78CB,和館段,14.02,都市：住,100000,1058,持分移轉,00380000
RPXSMLSLLHIFFBD09CB,和館段,121.13,都市：住,1,1,全筆移轉,00380016
RPXSMLSLLHIFFBD09CB,和館段,13.72,都市：住,100000,1035,持分移轉,00380000
RPTSMLSLLHIFFBD68CB,和館段,123.78,都市：住,1,1,全筆移轉,00380012
RPTSMLSLLHIFFBD68CB,和館段,17.07,都市：住,100000,1288,持分移轉,00380000
RPQSMLSLLHIFFBD38CB,和館段,121.13,都市：住,1,1,全筆移轉,00380009
RPQSMLSLLHIFFBD38CB,和館段,13.72,都市：住,100000,1035,持分移轉,00380000
RPRSMLSLLHIFFBD48CB,和館段,123.78,都市：住,1,1,全筆移轉,00380010
RPRSMLSLLHIFFBD48CB,和館段,13.72,都市：住,100000,1035,持分移轉,00380000
RPPSMLSLLHIFFBD28CB,和館段,121.13,都市：住,1,1,全筆移轉,00380008
RPPSMLSLLHIFFBD28CB,和館段,13.72,都市：住,100000,1035,持分移轉,00380000
RPOSMLSLLHIFFBD18CB,和館段,121.13,都市：住,1,1,全筆移轉,00380007
RPOSMLSLLHIFFBD18CB,和館段,13.72,都市：住,100000,1035,持分移轉,00380000
RPOTMLSLLHIFFBD28CB,和館段,123.78,都市：住,1,1,全筆移轉,00380017
RPOTMLSLLHIFFBD28CB,和館段,14.02,都市：住,100000,1058,持分移轉,00380000
RPVTMLSLLHIFFBD98CB,和館段,142.32,都市：住,1,1,全筆移轉,00380077
RPVTMLSLLHIFFBD98CB,和館段,.78,都市：住,100000,59,持分移轉,00380000
RPSTMLSLLHIFFBD68CB,和館段,142.03,都市：住,1,1,全筆移轉,00380076
RPSTMLSLLHIFFBD68CB,和館段,.77,都市：住,100000,58,持分移轉,00380000
RPOUMLSLLHIFFBD38CB,和館段,164.05,都市：住,1,1,全筆移轉,00380079
RPOUMLSLLHIFFBD38CB,和館段,.90,都市：住,100000,68,持分移轉,00380000
RPXTMLSLLHIFFBD56CB,和館段,154.76,都市：住,1,1,全筆移轉,00380078
RPXTMLSLLHIFFBD56CB,和館段,.85,都市：住,100000,64,持分移轉,00380000
RPXNMLTLLHIFFBD68CB,和館段,67.43,都市：住,1,1,全筆移轉,00380040
RPXNMLTLLHIFFBD68CB,和館段,26.90,都市：住,100000,2029,持分移轉,00380000
RPXNMLTLLHIFFBD68CB,和館段,9.11,都市：住,1,1,全筆移轉,00380041
RPPOMLTLLHIFFBD97CB,和館段,66.60,都市：住,1,1,全筆移轉,00380042
RPPOMLTLLHIFFBD97CB,和館段,26.56,都市：住,100000,2004,持分移轉,00380000
RPPOMLTLLHIFFBD97CB,和館段,9.00,都市：住,1,1,全筆移轉,00380043
RPROMLTLLHIFFBD18CB,和館段,75.60,都市：住,1,1,全筆移轉,00380045
RPROMLTLLHIFFBD18CB,和館段,26.56,都市：住,100000,2004,持分移轉,00380000
RPSSMLSLLHIFFBD58CB,和館段,151.41,都市：住,1,1,全筆移轉,00380011
RPSSMLSLLHIFFBD58CB,和館段,14.10,都市：住,100000,1064,持分移轉,00380000
RPVOMLTLLHIFFBD58CB,和館段,75.60,都市：住,1,1,全筆移轉,00380048
RPVOMLTLLHIFFBD58CB,和館段,26.56,都市：住,100000,2004,持分移轉,00380000
RPTOMLTLLHIFFBD38CB,和館段,75.60,都市：住,1,1,全筆移轉,00380046
RPTOMLTLLHIFFBD38CB,和館段,26.56,都市：住,100000,2004,持分移轉,00380000
RPUOMLTLLHIFFBD48CB,和館段,75.60,都市：住,1,1,全筆移轉,00380047
RPUOMLTLLHIFFBD48CB,和館段,26.56,都市：住,100000,2004,持分移轉,00380000
RPPPMLTLLHIFFBD08CB,和館段,73.08,都市：住,1,1,全筆移轉,00380051
RPPPMLTLLHIFFBD08CB,和館段,26.13,都市：住,100000,1971,持分移轉,00380000
RPSPMLTLLHIFFBD38CB,和館段,73.08,都市：住,1,1,全筆移轉,00380053
RPSPMLTLLHIFFBD38CB,和館段,26.13,都市：住,100000,1971,持分移轉,00380000
RPQPMLTLLHIFFBD18CB,和館段,73.08,都市：住,1,1,全筆移轉,00380052
RPQPMLTLLHIFFBD18CB,和館段,26.13,都市：住,100000,1971,持分移轉,00380000
