編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLMJKHIFFAD86CC,北元段,15.73,都市：住,,,,01480000
RPXNMLMJKHIFFAD67CC,北元段,68.11,都市：住,,,,09300000
RPPOMLMJKHIFFAD07DC,濱段一小段,124.00,都市：商,,,,00070000
RPQOMLOJKHIFFAR68CC,延平段,44.15,都市：商,,,,01270000
RPQNMLMJKHIFFER78CC,中榮段,78.84,都市：住,,,,02930022
RPWOMLOJKHIFFAD97DC,北安段,89.10,都市：住,,,,02670000
RPWNMLOJKHIFFER96CC,番子寮段,82.00,都市：其他:,,,,15270007
RPPOMLOJKHIFFHR66CC,五王段,74.02,都市：住,,,,08150000
RPSOMLOJKHIFFER66CC,善成段,85.10,都市：住,,,,12640012
RPPNMLOJKHIFFER88CC,富強段,80.60,都市：住,,,,04950054
RPPOMLPJKHIFFCD57DC,竹篙厝段,11.64,都市：住,,,,19710000
RPSOMLQJKHIFFCD87CC,鹽埕段,141.00,非都市： ; 非都市編定：,,,,22780000
RPVOMLQJKHIFFCD18CC,東寧段,95.00,非都市： ; 非都市編定：,,,,00930001
RPVNMLPJKHIFFCR86DC,大埕段,121.00,都市：住,,,,09480000
RPVNMLPJKHIFFCR86DC,大埕段,118.00,都市：住,,,,09490000
RPUNMLQJKHIFFAD77CC,華興段,.00,都市：住,,,,11380000
RPUNMLQJKHIFFAD77CC,華興段,.00,都市：住,,,,11390000
RPUNMLQJKHIFFAD77CC,華興段,.00,都市：住,,,,11400000
RPOPMLQJKHIFFAD37CC,開元段,.00,都市：住,,,,05840000
RPOPMLQJKHIFFAD37CC,開元段,.00,都市：住,,,,05870000
RPTNMLQJKHIFFDR86DC,唐盟段,1329.54,非都市：工業區 ; 非都市編定：丁種建築用地,,,,09700000
RPTNMLQJKHIFFDR86DC,唐盟段,1540.27,非都市：工業區 ; 非都市編定：丁種建築用地,,,,09750000
RPTNMLQJKHIFFDR86DC,唐盟段,2545.37,非都市：工業區 ; 非都市編定：丁種建築用地,,,,09720000
RPPQMLRJKHIFFHR17CC,永信段,5.80,都市：住,,,,10700000
RPQQMLRJKHIFFHR27CC,南工段,90.27,都市：商,,,,10590000
RPXOMLQJKHIFFAD18CC,新南段,80.50,都市：其他:未調分區,,,,03430000
RPXNMLSKKHIFFCD58CC,新興段,.00,都市：住,,,,02400001
RPTPMLRJKHIFFAD08DC,濱段一小段,124.00,都市：商,,,,00070000
RPPNMLPKKHIFFAD27CC,頂美段,127.27,都市：住,,,,07530000
RPPNMLSJKHIFFCD67CC,光明段,.00,都市：住,,,,01400000
RPPNMLTJKHIFFCD77CC,東光段,.00,都市：其他:住商用,,,,05400000
RPSNMLKLKHIFFER98CC,小新營段,73.00,都市：住,,,,09150000
RPSOMLKLKHIFFCD47CC,虎尾寮段,30.54,都市：其他:未申請分區,,,,04270002
RPPOMLKLKHIFFER78CC,光文段,1360.45,都市：其他:,,,,05860000
RPVNMLKLKHIFFCD67CC,光明段,.00,都市：住,,,,05710009
RPVNMLKLKHIFFCD67CC,光明段,.00,都市：住,,,,05740005
RPVNMLKLKHIFFCD67CC,光明段,.00,都市：住,,,,05750001
RPQOMLKLKHIFFER88CC,大榮段,63.15,都市：住,,,,07050000
RPROMLKLKHIFFAD17CC,北安段,.00,都市：住,,,,08820000
RPROMLKLKHIFFAD17CC,北安段,.00,都市：住,,,,08810000
RPQNMLKLKHIFFAD96CC,金華段,7.83,都市：住,,,,00920000
RPUOMLKLKHIFFAD47CC,東豐段,.00,都市：住,,,,02800000
RPSOMLKLKHIFFAD27CC,開元段,.00,都市：商,,,,03610005
RPVOMLKLKHIFFAD57CC,金華段,.00,都市：住,,,,00850000
RPWOMLKLKHIFFAD67CC,妙壽段,61.83,都市：住,,,,00180000
RPWOMLKLKHIFFAD67CC,妙壽段,61.83,都市：住,,,,00180004
RPXOMLLLKHIFFAD87CC,北元段,1805.12,都市：其他:未申請分區,,,,01980000
RPPNMLLLKHIFFCR58CC,麻豆口段,117.00,都市：工,,,,04210073
RPPNMLLLKHIFFER78CC,華興段,78.91,都市：其他:,,,,07530000
RPQNMLLLKHIFFER88CC,南港段,94.95,都市：其他:,,,,04140000
RPWNMLLLKHIFFER86CC,富強段,67.04,都市：其他:,,,,03360000
RPQNMLNLKHIFFER09CC,七王段,67.06,都市：其他:,,,,03020000
RPUNMLMLKHIFFER76CC,茄拔段一小段,431.00,都市：其他:,,,,17050009
RPUNMLMLKHIFFER76CC,茄拔段一小段,46.00,都市：其他:,,,,17050013
RPSNMLQLKHIFFER07DC,信義段,78.04,都市：住,,,,02660000
RPVNMLRLKHIFFER37CC,大營段,85.00,都市：其他:,,,,12570007
RPUNMLRLKHIFFCD28CC,東光段,.00,都市：其他:,,,,01160003
RPQNMLSLKHIFFCD97CC,裕東段,619.30,都市：住,,,,08220000
RPQNMLLJLHIFFER78CC,港口段,88.00,都市：住,,,,33710013
RPUPMLLJLHIFFAD57CC,開元段,.00,都市：住,,,,05840000
RPUPMLLJLHIFFAD57CC,開元段,.00,都市：商,,,,05870000
RPPPMLLJLHIFFAD07CC,開元段,.00,都市：住,,,,05840000
RPPPMLLJLHIFFAD07CC,開元段,.00,都市：商,,,,05870000
RPRNMLMJLHIFFER98CC,善新段,161.00,都市：其他:,,,,01210004
RPSNMLMJLHIFFER09CC,大榮段,1545.07,都市：其他:,,,,07780000
RPSNMLMJLHIFFER09CC,大榮段,84.71,都市：其他:,,,,07790000
RPSNMLMJLHIFFER09CC,大榮段,1042.64,都市：其他:,,,,07800000
RPUNMLOJLHIFFBD77CC,幸福段,548.91,都市：其他:,,,,04670000
RPRNMLPJLHIFFCD67CC,竹篙厝段,5093.00,都市：住,,,,16780014
RPPNMLQJLHIFFCR98CC,埤頭段,140.00,都市：其他:,,,,06520019
RPPNMLQJLHIFFCR98CC,埤頭段,143.00,都市：其他:,,,,06520020
RPXNMLRJLHIFFER57DC,大營段,88.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,24270052
RPOOMLRJLHIFFER76DC,社內段,75.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,00210094
RPPOMLRJLHIFFER86DC,南港段,4752.08,都市：工,,,,09300000
RPPOMLRJLHIFFAD67DC,小北段,2.88,都市：住,,,,09690465
RPPOMLRJLHIFFAD67DC,小北段,81.89,都市：住,,,,09690455
RPPOMLRJLHIFFAD67DC,小北段,3.57,都市：住,,,,09690003
RPOPMLSKKHIFFHR17CC,大灣段,.00,都市：住,,,,39090009
RPROMLQJLHIFFHR17CC,六甲頂段,.00,都市：住,,,,13490001
RPPNMLNLKHIFFHR66CC,南工段,.00,都市：住,,,,09010000
RPPNMLNLKHIFFHR66CC,南工段,.00,都市：住,,,,09050000
RPSOMLRJLHIFFHR37CC,兵北段,.00,都市：住,,,,09240032
RPXOMLSKKHIFFHR97CC,六甲頂段,.00,都市：住,,,,11260000
RPUOMLKLKHIFFHR96CC,兵北段,.00,都市：住,,,,01220000
RPPNMLSJLHIFFER76CC,大營段,81.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,23670035
RPRNMLSJLHIFFER96CC,六分寮段,192.00,都市：其他:,,,,05600000
RPTNMLTJLHIFFDR17CC,佳化段,230.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,13560000
RPTNMLTJLHIFFDR17CC,佳化段,151.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,13570000
RPTNMLTJLHIFFDR17CC,佳化段,215.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,13580000
RPTNMLTJLHIFFDR17CC,佳化段,78.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,13590000
RPWNMLTJLHIFFAD38CC,小北段,20.32,都市：住,,,,09690156
RPTOMLRJLHIFFAD97CC,青年段,.00,都市：住,,,,01230000
RPVNMLTJLHIFFAD28CC,立人段,7.75,都市：住,,,,00650004
RPVNMLTJLHIFFAD28CC,立人段,1.01,都市：住,,,,01040000
RPVOMLRJLHIFFAD18CC,北元段,.00,都市：住,,,,02790025
RPRPMLPJLHIFFAD67CC,華興段,.00,都市：住,,,,04840000
