鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,房地(土地+建物),高雄市鼓山區中華一路29巷48弄69之11號4樓,32.49,住,,,1020201,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,0670513,76.88,2,1,2,有,無,有,9000,117,,0.0,0,,RPQNMLLJKHIFFAE96CC
前金區,建物,高雄市前金區市中一路268號,22.35,商,,,1020301,土地0建物1車位0,一層,12,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0960321,144.47,0,0,0,無,有,無,24000,166,,0.0,0,,RPQOMLLJKHIFFAE07CC
三民區,房地(土地+建物),高雄市三民區鼎瑞街106號,37.11,住,,,1020128,土地1建物1車位0,一層,14,店面(店鋪),住商用,鋼筋混凝土造,0850815,64.5,0,1,1,有,有,無,15000,233,,0.0,0,,RPSOMLLJKHIFFDE57CC
三民區,建物,高雄市三民區河堤路510之9號14樓,0.0,,,,1020115,土地0建物1車位0,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860709,104.76,3,2,2,有,有,無,12000,115,,0.0,0,,RPWPMLLJKHIFFDE08CC
左營區,建物,高雄市左營區文直路106號,0.0,住,,,1020201,土地0建物1車位0,全,3,透天厝,,鋼筋混凝土造,0661001,153.72,0,0,0,無,無,無,15000,98,,0.0,0,,RPTNMLLJKHIFFEE67CC
左營區,房地(土地+建物),高雄市左營區裕誠路164號,68.0,住,,,1020201,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0730406,156.44,2,2,4,有,無,無,50000,320,,0.0,0,,RPOOMLLJKHIFFEE27CC
左營區,房地(土地+建物),高雄市左營區忠貞街2號,63.8,商,,,1020125,土地1建物1車位0,全,2,透天厝,,鋼筋混凝土造,0760316,95.2,4,2,3,有,無,無,18000,189,,0.0,0,,RPQOMLLJKHIFFEE47CC
仁武區,建物,高雄市仁武區仁忠路17號,115.0,住,,,1020301,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0750501,134.84,4,0,3,有,無,無,26000,193,,0.0,0,,RPSOMLLJKHIFFDS98CC
路竹區,房地(土地+建物),高雄市路竹區忠孝路43巷16號,36.35,住,,,1020201,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0780125,28.48,4,2,3,有,無,無,12000,421,,0.0,0,,RPWNMLLJKHIFFES76CC
鳥松區,土地,夢裡段1054地號,363.63,農,,,1020218,土地0建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,27000,74,,0.0,0,有未登記建物。,RPSNMLMJKHIFFDS98CC
仁武區,土地,仁營段964-8地號,585.0,農,,,1020315,土地0建物0車位0,,,工廠,,,,0.0,0,0,0,無,無,無,38000,,,0.0,0,有未登記建物。,RPTNMLMJKHIFFDS09CC
左營區,房地(土地+建物),高雄市左營區南屏路279號,149.0,其他,,,1020118,土地1建物1車位0,全,2,透天厝,住商用,見使用執照,0890201,36.52,0,0,2,有,無,無,15000,411,,0.0,0,,RPPNMLMJKHIFFEE37CC
前鎮區,房地(土地+建物),高雄市前鎮區中山二路2號18樓之2,1868.0,商,,,1020101,土地1建物1車位0,十八層,28,辦公商業大樓,商業用,鋼筋混凝土造,0870714,417.67,0,0,0,無,有,無,57155,137,,0.0,0,,RPQNMLMJKHIFFCE27CC
岡山區,土地,新本洲段398地號,2644.63,農,一般農業區,農牧用地,1020201,土地0建物0車位0,,,工廠,,,,0.0,0,0,0,無,無,無,120000,,,0.0,0,,RPRNMLMJKHIFFAS58CC
三民區,土地,中華段一小段1088地號,488.0,工,,,1020125,土地3建物0車位0,,,工廠,,,,0.0,0,0,0,無,無,無,65000,,,0.0,0,有未登記建物。,RPSNMLMJKHIFFDE57CC
苓雅區,房地(土地+建物),高雄市苓雅區中正一路230號,34.61,商,,,1020129,土地1建物1車位0,一層,14,店面(店鋪),商業用,鋼筋混凝土造,0920704,121.76,0,0,0,無,無,有,113000,928,,0.0,0,,RPRNMLMJKHIFFBE27CC
苓雅區,建物,高雄市苓雅區苓雅二路41巷33號,0.0,,,,1020104,土地0建物1車位0,全,2,透天厝,,加強磚造,0550619,88.13,1,2,2,有,無,無,11000,125,,0.0,0,,RPPNMLNJKHIFFBE17CC
苓雅區,車位,高雄市苓雅區新光路62巷B2-199車位,0.0,商,,,1020127,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1700,,坡道平面,14.65,1700,,RPQNMLNJKHIFFBE27CC
新興區,建物,高雄市新興區林森一路123巷12號4樓,0.0,,,,1020104,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0740511,58.29,3,2,2,有,無,無,8000,137,,0.0,0,,RPRNMLNJKHIFFBE37CC
新興區,建物,高雄市新興區七賢一路432號10樓之1,0.0,,,,1020104,土地0建物1車位0,十層,12,辦公商業大樓,,鋼筋混凝土造,0750722,118.46,0,0,0,無,有,無,12000,101,,0.0,0,,RPSNMLNJKHIFFBE47CC
苓雅區,建物,高雄市苓雅區新光路62巷6號25樓之2,0.0,,,,1020114,土地0建物1車位0,二十五層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,137.0,3,2,2,有,有,有,14000,102,,0.0,0,,RPUNMLNJKHIFFBE67CC
苓雅區,建物,高雄市苓雅區中山二路410號3樓,0.0,,,,1020301,土地0建物1車位0,全,4,透天厝,,鋼筋混凝土造,0670802,372.93,0,0,0,無,無,無,35000,94,,0.0,0,,RPVNMLNJKHIFFBE77CC
新興區,建物,高雄市新興區興華路17號2樓,0.0,,,,1020120,土地0建物1車位0,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930116,211.65,4,2,2,有,有,無,25000,118,,0.0,0,,RPWNMLNJKHIFFBE87CC
苓雅區,建物,高雄市苓雅區中正一路320號3樓之4,0.0,,,,1020105,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0700916,125.27,3,1,2,有,有,無,8000,64,,0.0,0,,RPXNMLNJKHIFFBE97CC
