編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLNJKHIFFBE27CC,坡道平面,1700,14.65,
RPPQMLQJKHIFFAE67CC,坡道平面,0,19.52,
RPUOMLPJKHIFFDE18CC,坡道機械,0,1.62,
RPVNMLRJKHIFFEE48CC,坡道平面,0,,
RPQNMLPKKHIFFDE77CC,坡道平面,0,,
RPQOMLSKKHIFFBE97CC,坡道平面,1350,14.65,
RPPOMLLLKHIFFAE17CC,坡道平面,0,18.09,
RPXNMLTKKHIFFBE68CC,升降平面,0,13.20,
RPWNMLNLKHIFFBE08CC,坡道平面,1600,14.65,
RPOOMLNLKHIFFDE57CC,坡道平面,0,,
RPXNMLNLKHIFFBE18CC,坡道平面,2000,14.65,
RPQPMLOJLHIFFEE97CC,坡道平面,0,,
RPSOMLSLKHIFFEE58CC,坡道機械,0,,
RPWNMLQJLHIFFAE18CC,坡道機械,0,9.38,
RPSPMLSJLHIFFEE58CC,坡道平面,0,,
RPVPMLSJLHIFFEE88CC,坡道平面,0,,
RPWNMLNKLHIFFCE18CC,坡道平面,0,37.45,
RPXNMLMKLHIFFAE97CC,坡道平面,0,,
RPSNMLOKLHIFFAE67CC,坡道平面,0,13.03,
RPTOMLPKLHIFFAE97CC,坡道機械,0,7.72,
RPPOMLKLLHIFFEE57CC,坡道機械,0,,
RPXNMLLLLHIFFCE18CC,坡道平面,0,34.75,
RPQPMLMLLHIFFEE97CC,坡道平面,0,,
RPQNMLQLLHIFFAE77CC,坡道平面,0,33.09,
RPPNMLLMLHIFFDE57CC,坡道平面,0,,
RPWNMLLMLHIFFBE08CC,坡道平面,2000,14.65,
RPUNMLLMLHIFFBE87CC,坡道平面,1000,14.65,
RPXNMLLJMHIFFBE97CC,升降機械,0,,
RPVNMLLJMHIFFBE77CC,坡道平面,2000,14.65,
RPTPMLNJMHIFFEE28CC,坡道機械,0,,
RPPNMLQJMHIFFEE97CC,坡道平面,0,,
RPTNMLQJMHIFFAE97CC,升降機械,0,,
RPPNMLQJMHIFFAE57CC,坡道機械,0,5.61,
RPSNMLQJMHIFFAE87CC,升降機械,0,,
RPTNMLTJMHIFFEE68CC,坡道平面,0,28.07,
RPXNMLMKMHIFFAE08CC,坡道平面,0,,
RPVOMLQKMHIFFAE38CC,坡道平面,0,21.68,
RPROMLQKMHIFFEE38CC,坡道平面,0,16.51,
RPOQMLTKMHIFFEE58CC,坡道平面,0,,
RPVNMLKLMHIFFBE87CC,坡道平面,1500,12.65,
RPOOMLKLMHIFFBE27CC,坡道平面,1800,14.65,
RPSNMLKLMHIFFAE47CC,坡道平面,0,13.04,
RPUNMLNLMHIFFAE97CC,坡道平面,0,10.00,
RPRNMLSKMHIFFAE08CC,坡道平面,0,21.60,
RPWNMLPLMHIFFDE68CC,坡道平面,0,9.23,
RPPOMLRLMHIFFBE08CC,坡道平面,1500,12.65,
RPUNMLTLMHIFFBE68CC,坡道平面,0,,
RPOPMLTLMHIFFBE28CC,坡道平面,2000,14.65,
RPPPMLTLMHIFFBE38CC,坡道平面,1800,14.65,
RPQPMLTLMHIFFBE48CC,坡道平面,1500,14.65,
RPWNMLKMMHIFFDE28CC,坡道平面,2000,,
