鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
泰山區,房地(土地+建物)+車位,新北市新莊區信華段一小段24地號等2筆,19.26,住,,,1020204,土地2建物1車位1,二層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.74,2,2,1,有,無,12010000,102855,坡道平面,32.96,1850000,,RPQSMLQLKHIFFBF28CB
泰山區,房地(土地+建物)+車位,新北市泰山區信華段一小段0024-0000地號等2筆,19.09,住,,,1011120,土地2建物1車位1,四層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.8,2,2,1,有,無,11950000,102185,坡道平面,32.96,1850000,,RPRSMLQLKHIFFBF38CB
中和區,房地(土地+建物)+車位,新北市中和區景新街,11.4,住,,,1020117,土地1建物1車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.7,2,2,1,有,無,12100000,109424,坡道機械,13.26,1000000,,RPQPMLQLKHIFFHF58CB
中和區,房地(土地+建物)+車位,新北市中和區景新街,17.54,住,,,1011109,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,171.78,4,2,2,有,無,18250000,106296,坡道機械,13.26,1400000,,RPTPMLQLKHIFFHF88CB
中和區,房地(土地+建物)+車位,新北市中和區景新街,11.4,住,,,1011007,土地1建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,114.68,2,2,1,有,無,12700000,114376,坡道機械,13.26,1100000,,RPUPMLQLKHIFFHF98CB
中和區,房地(土地+建物)+車位,新北市中和區景新街,14.69,住,,,1010811,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.83,3,2,2,有,無,17300000,117412,坡道平面,26.52,2000000,,RPWPMLQLKHIFFHF56CB
中和區,房地(土地+建物)+車位,新北市中和區景新街,14.47,住,,,1011013,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.57,3,2,2,有,無,15000000,106669,坡道機械,13.26,1100000,售價包含裝潢62萬或家電。,RPXPMLQLKHIFFHF66CB
淡水區,房地(土地+建物)+車位,新北市淡水區義山路一段401巷68號9樓,18.2,住,,,1010924,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.98,3,2,2,有,無,9200000,61547,坡道機械,18.5,800000,,RPPPMLOJLHIFFEF97DB
淡水區,房地(土地+建物)+車位,新北市淡水區義山路一段401巷68號10樓,18.2,住,,,1011026,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,154.98,3,2,2,有,無,8750000,59716,坡道機械,18.5,600000,,RPRPMLOJLHIFFEF18DB
