編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTPMLLJKHIFFDF87CC,24,180.83,工商用,鋼筋混凝土造,78年1月14日,二層,
RPXSMLLJKHIFFHF98CC,39,70.82,住家用,加強磚造,63年5月7日,四層,
RPUQMLLJKHIFFEF18CC,23,22.10,商業用,鋼筋混凝土造,78年12月29日,五層,
RPVRMLLJKHIFFEF38CC,4,52.35,一般服務業,鋼筋混凝土造,97年12月23日,二十四層,
RPOQMLLJKHIFFEF57CC,24,23.77,住家用,鋼筋混凝土造,77年8月23日,五層,
RPPQMLLJKHIFFAF37DC,,65.00,住家用,鋼筋混凝土造,,五層,
RPXUMLLJKHIFFAF48CC,33,99.66,住家用,鋼筋混凝土造,69年7月25日,五層,
RPQNMLMJKHIFFHF87CC,32,95.29,住家用,鋼筋混凝土造,70年1月19日,五層,
RPUNMLMJKHIFFGF18CC,3,33.97,住家用,鋼筋混凝土造,99年3月4日,十七層,
RPUNMLMJKHIFFGF18CC,3,2.68,見其他登記事項,鋼筋混凝土造,99年3月4日,十七層,
RPUNMLMJKHIFFGF18CC,3,12.11,見其他登記事項,鋼筋混凝土造,99年3月4日,十七層,
RPUNMLMJKHIFFGF18CC,3,3.92,見其他登記事項,鋼筋混凝土造,99年3月4日,十七層,
RPTOMLLJKHIFFCF67CC,24,362.02,工業用,鋼筋混凝土造,78年5月13日,五層,
RPUOMLLJKHIFFCF77CC,23,889.88,工商用,鋼筋混凝土造,78年12月30日,十層,
RPXTMLLJKHIFFAF58EC,3,28.90,本共有部分之項目有：樓梯間、台電配電室、走道、車道、停車空間、電信機房、梯間、管道間、消防泵浦室、消防水箱、機房、機械室、水箱等１３項,鋼骨構造,99年7月15日,四十六層,
RPWTMLLJKHIFFAF48EC,3,28.90,本共有部分之項目有：樓梯間、台電配電室、走道、車道、停車空間、電信機房、梯間、管道間、消防泵浦室、消防水箱、機房、機械室、水箱等１３項,鋼骨構造,99年7月15日,四十六層,
RPOUMLLJKHIFFAF77EC,2,28.90,本共有部分之項目有：樓梯間、台電配電室、走道、車道、停車空間、電信機房、梯間、管道間、消防泵浦室、消防水箱、機房、機械室、水箱等１３項,鋼骨構造,99年7月15日,四十六層,
RPVTMLLJKHIFFAF38EC,3,28.90,本共有部分之項目有：樓梯間、台電配電室、走道、車道、停車空間、電信機房、梯間、管道間、消防泵浦室、消防水箱、機房、機械室、水箱等１３項,鋼骨構造,99年7月15日,四十六層,
RPWQMLOJKHIFFDF58CC,16,111.88,住家用,鋼筋混凝土造,86年7月3日,二十七層,
RPXQMLOJKHIFFDF68CC,16,120.40,住家用,鋼筋混凝土造,85年8月9日,二十三層,
RPORMLOJKHIFFDF87CC,16,112.18,住家用,鋼筋混凝土造,86年7月3日,二十七層,
RPTRMLOJKHIFFDF38CC,18,49.37,住家用,鋼筋混凝土造,84年1月26日,二十四層,
RPRUMLLJKHIFFAF08EC,3,28.90,本共有部分之項目有：樓梯間、台電配電室、走道、車道、停車空間、電信機房、梯間、管道間、消防泵浦室、消防水箱、機房、機械室、水箱等１３項,鋼骨構造,99年7月15日,四十六層,
