編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTPMLLJKHIFFDF87CC,環河段,.00,都市：工,,,,00730000
RPTPMLLJKHIFFDF87CC,環河段,.00,都市：工,,,,01380000
RPXSMLLJKHIFFHF98CC,大智段,30.15,都市：住,,,,03350000
RPTPMLLJKHIFFDF87CC,環河段,.00,都市：工,,,,01450000
RPUQMLLJKHIFFEF18CC,中正段,6.07,都市：住,,,,02510000
RPVRMLLJKHIFFEF38CC,馬偕段,.00,都市：工,,,,01960000
RPOQMLLJKHIFFEF57CC,新興段,6.26,都市：住,,,,04820000
RPPQMLLJKHIFFAF37DC,江子翠段第一崁小段,16.50,都市：住,,,,00680004
RPXUMLLJKHIFFAF48CC,忠孝段,91.00,都市：商,,,,02710000
RPQNMLMJKHIFFHF87CC,盛昌段,.00,都市：住,,,,05360000
RPUNMLMJKHIFFGF18CC,二重埔段五谷王小段,.00,都市：住,,,,00960011
RPTOMLLJKHIFFCF67CC,寶橋段,.00,非都市： ; 非都市編定：,,,,04450000
RPUOMLLJKHIFFCF77CC,復興段,.00,非都市： ; 非都市編定：,,,,03800000
RPXTMLLJKHIFFAF58EC,文化段,.01,都市：住,,,,11980000
RPWTMLLJKHIFFAF48EC,文化段,.01,都市：住,,,,11980000
RPOUMLLJKHIFFAF77EC,文化段,.01,都市：住,,,,11980000
RPVTMLLJKHIFFAF38EC,文化段,.01,都市：住,,,,11980000
RPWQMLOJKHIFFDF58CC,智興段,.00,都市：商,,,,04410000
RPXQMLOJKHIFFDF68CC,智興段,.00,都市：商,,,,05000000
RPORMLOJKHIFFDF87CC,智興段,.00,都市：商,,,,04410000
RPTRMLOJKHIFFDF38CC,智興段,5.06,都市：住,,,,00480000
RPRUMLLJKHIFFAF08EC,文化段,.01,都市：住,,,,11980000
RPQNMLOJKHIFFCF57CC,大豐段,.00,都市：住,,,,00380000
RPRNMLOJKHIFFCF67CC,復興段,.00,都市：工,,,,05350000
RPPOMLOJKHIFFCF57CC,復興段,165.00,都市：工,,,,01690000
RPOPMLOJKHIFFCF57CC,寶橋段,.00,都市：工,,,,04510000
RPROMLOJKHIFFCF77CC,復興段,90.00,都市：工,,,,01690000
RPSOMLOJKHIFFCF87CC,福園段,71.00,都市：住,,,,00240000
RPSOMLOJKHIFFCF87CC,福園段,71.00,都市：住,,,,00250000
RPTPMLOJKHIFFAF87CC,文化段,.00,都市：住,,,,11980000
RPRQMLOJKHIFFAF77CC,員和段,46.70,都市：商,,,,10020000
RPOOMLMJKHIFFBF17CC,興化段,.00,都市：商,,,,06510000
RPPOMLMJKHIFFBF27CC,中原段,.00,都市：商,,,,03290000
RPXOMLMJKHIFFBF08CC,泰山段三小段,.00,都市：住,,,,05680009
RPQOMLMJKHIFFBF37CC,富國段,.00,都市：住,,,,07680000
RPUQMLOJKHIFFAF08CC,新雅段,.00,都市：住,,,,06120000
RPWOMLOJKHIFFAF08CC,文化段,.00,都市：住,,,,11980000
RPOQMLOJKHIFFEF87CC,小八里坌段十三行小段,47.93,都市：住,,,,00410003
RPQQMLOJKHIFFAF67CC,中山段,.00,都市：其他:,,,,06680000
RPPQMLOJKHIFFEF97CC,新市段,15.15,都市：住,,,,00120000
RPSPMLPJKHIFFAF87CC,新雅段,.00,都市：住,,,,06120000
RPROMLMJKHIFFBF47CC,全安段,.00,都市：住,,,,08120000
RPWNMLMJKHIFFBF87CC,雙鳳段,.00,都市：住,,,,00760000
RPXNMLMJKHIFFBF97CC,雙鳳段,.00,都市：住,,,,01660000
RPTNMLOJKHIFFGF48EC,民生段,3746.82,都市：住,,,,04480000
RPUOMLPJKHIFFCF18CC,光明段,3154.98,都市：住,,,,00310000
RPXOMLPJKHIFFCF48CC,寶強段,.03,都市：住,,,,10660000
RPXOMLPJKHIFFCF48CC,寶強段,4.07,都市：住,,,,10680000
RPXOMLPJKHIFFCF48CC,寶強段,.01,都市：住,,,,10680002
RPXOMLPJKHIFFCF48CC,寶強段,.01,都市：住,,,,10820000
RPXOMLPJKHIFFCF48CC,寶強段,.01,都市：住,,,,11260000
RPXOMLPJKHIFFCF48CC,寶強段,.01,都市：住,,,,11330000
RPXOMLPJKHIFFCF48CC,寶強段,.04,都市：住,,,,12070000
RPXOMLPJKHIFFCF48CC,寶強段,.01,都市：住,,,,12200000
RPVPMLPJKHIFFCF38CC,莊敬段,.00,都市：工,,,,07130000
RPQQMLPJKHIFFCF97CC,順安段,.00,都市：住,,,,06650000
RPWQMLQJKHIFFCF68CC,文山段,.00,都市：住,,,,07790000
RPRRMLOJKHIFFHF58CC,捷運段,.00,都市：其他:,,,,00080000
RPUQMLOJKHIFFHF78CC,莊敬段,.00,都市：住,,,,02500000
RPUQMLOJKHIFFHF78CC,莊敬段,.00,都市：住,,,,02530000
RPQRMLOJKHIFFHF48CC,捷運段,.00,都市：其他:,,,,00080000
