鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
羅東鎮,建物,宜蘭縣羅東鎮興東路72號,0.0,商,,,1020120,土地0建物1車位0,一層,3,店面(店鋪),住家用,鋼筋混凝土加強磚造,0580430,31.91,0,0,1,無,無,無,15000,470,,0.0,0,,RPROMLOJKHIFFAG87EC
五結鄉,土地,文祥段659地號,22.85,住,,,1020201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,14000,613,,0.0,0,承租之建物未辦理保存登記承租1-3樓,RPXOMLQJKHIFFAG48CC
礁溪鄉,建物,宜蘭縣礁溪鄉德陽路62巷11號8F-3,0.0,住,,,1020203,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0981008,34.53,1,1,1,有,有,有,15000,434,,0.0,0,,RPPOMLTKKHIFFBG28DC
宜蘭市,建物,宜蘭縣宜蘭巿女中路三段327號四樓之18,0.0,住,,,1020203,土地0建物1車位0,四層,6,套房(1房1廳1衛),住家用,鋼筋混凝土造,0940914,17.39,1,0,1,有,無,無,4500,259,,0.0,0,,RPTNMLKLKHIFFBG67CC
宜蘭市,建物,宜蘭縣宜蘭巿慶和街慶和巷6弄18號,0.0,住,,,1020201,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0660314,77.64,0,0,2,無,無,無,10000,129,,0.0,0,全棟,RPPOMLKLKHIFFBG37CC
宜蘭市,建物,宜蘭縣宜蘭巿嵐峰路三段280號,0.0,住,,,1020225,土地0建物1車位0,三層,3,店面(店鋪),住商用,鋼筋混凝土造,0941227,192.54,5,1,3,有,無,無,22000,114,,0.0,0,租賃全棟,RPTNMLPLKHIFFBG18CC
羅東鎮,建物,宜蘭縣羅東鎮維揚路26巷8號6樓,0.0,住,,,1020226,土地0建物1車位0,六層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970519,43.4,1,1,1,有,有,有,10000,230,,0.0,0,,RPXNMLRLKHIFFAG88EC
羅東鎮,建物,宜蘭縣羅東鎮純精路二段1號7F之8,0.0,商,,,1020227,土地0建物1車位0,七層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850830,33.46,1,1,1,有,有,有,6500,194,,0.0,0,,RPRNMLMJLHIFFAG47CC
五結鄉,建物,宜蘭縣五結鄉五結路三段500號,0.0,工,,,1020301,土地0建物1車位0,三層,3,店面(店鋪),見其他登記事項,鋼筋混凝土造,0941130,343.84,0,0,3,無,無,無,30000,87,,0.0,0,,RPSNMLMJLHIFFAG57CC
羅東鎮,建物,宜蘭縣羅東鎮林森路156巷15號1樓,0.0,住,,,1020302,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0640123,109.59,2,2,1,有,無,無,7500,68,,0.0,0,,RPUNMLOJLHIFFAG97CC
