編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLOJKHIFFAG87EC,44,31.91,住家用,鋼筋混凝土加強磚造,58年4月30日,二層,
RPTNMLKLKHIFFBG67CC,7,17.39,住家用,鋼筋混凝土造,94年9月14日,六層,
RPTNMLPLKHIFFBG18CC,7,192.54,住商用,鋼筋混凝土造,94年12月27日,三層,
RPPOMLKLKHIFFBG37CC,36,77.64,住家用,鋼筋混凝土加強磚造,66年3月14日,二層,
RPXNMLRLKHIFFAG88EC,5,43.40,住家用,鋼筋混凝土造,97年5月19日,六層,
RPPOMLTKKHIFFBG28DC,3,34.53,集合住宅,鋼筋混凝土造,98年10月8日,十三層,
RPQNMLMKLHIFFBG57CC,,103.38,住商用,鋼筋混凝土加強磚造,,三層,
RPTNMLOJLHIFFAG08EC,17,33.12,住家用,鋼筋混凝土造,85年8月27日,二十四層,
RPROMLPJLHIFFAG87CC,16,36.72,住家用,鋼筋混凝土造,86年1月27日,六層,
RPSNMLMJLHIFFAG57CC,7,343.84,工廠,鋼筋混凝土造,94年11月30日,三層,
RPRNMLMJLHIFFAG47CC,16,33.46,住家用,鋼筋混凝土造,85年8月30日,十二層,
RPTNMLPLLHIFFBG28CC,26,156.76,住商用,鋼筋混凝土造,76年3月9日,二層,
RPQOMLMLLHIFFAG67CC,7,60.05,店舖、停車空間、住宅,鋼筋混凝土造,95年3月13日,四層,
RPPNMLTLLHIFFAG18CC,19,272.58,住家用,鋼筋混凝土造,82年11月29日,五層,
RPPNMLMJMHIFFAG37CC,17,56.68,住家用,鋼筋混凝土造,85年2月16日,七層,
RPVPMLSJMHIFFBG88CC,31,117.19,住家用,鋼筋混凝土造,71年2月27日,五層,
RPROMLOKLHIFFAG87CC,19,118.44,商業用,鋼筋混凝土造,82年10月19日,六層,
RPUNMLNKLHIFFAG97CC,18,75.32,辦公室,鋼筋混凝土造,84年3月31日,十二層,
RPWNMLOJLHIFFAG18CC,20,108.57,住家用,鋼筋混凝土造,82年8月12日,五層,
RPXNMLMKLHIFFAG18CC,16,89.88,住家用,鋼筋混凝土造,86年8月15日,五層,
RPPPMLMKMHIFFBG87DC,16,80.69,住家用,鋼筋混凝土造,86年3月24日,六層,
RPRNMLTJLHIFFAG18CC,17,30.82,住家用,鋼筋混凝土造,85年2月13日,六層,
RPUNMLOJLHIFFAG97CC,38,109.59,住家用,鋼筋混凝土加強磚造,64年1月23日,二層,
RPQOMLMKMHIFFAG67CC,19,191.52,住家用,鋼筋混凝土造,83年4月18日,三層,
RPROMLMKMHIFFAG77CC,18,216.99,住家用,鋼筋混凝土造,84年7月13日,四層,
RPROMLSKMHIFFBG48CC,2,88.40,見其他登記事項,鋼筋混凝土造,100年7月20日,三層,
RPPOMLPKMHIFFAG87CC,17,81.90,住家用,鋼筋混凝土造,84年10月20日,五層,
RPVNMLQKMHIFFAG48CC,17,26.49,住家用,鋼筋混凝土造,85年2月16日,九層,
RPVNMLMLMHIFFBG28CC,36,214.02,住商用,鋼筋混凝土加強磚造,66年5月23日,三層,
RPWNMLMLMHIFFBG38CC,17,110.96,住家用,鋼筋混凝土造,84年11月27日,七層,
RPRNMLKMMHIFFAG67CC,19,86.03,住家用,鋼筋混凝土造,83年8月19日,七層,
RPOOMLPKMHIFFAG77CC,,105.36,住商用,鋼筋混凝土造,,三層,
RPPNMLTKMHIFFBG28CC,7,192.54,住商用,鋼筋混凝土造,94年12月27日,三層,
RPUOMLKKMHIFFBG18EC,31,113.00,住家用,鋼筋混凝土加強磚造,70年12月30日,二層,
RPTOMLKKMHIFFBG08EC,3,161.99,店舖,鋼筋混凝土造,99年4月29日,九層,
RPRNMLTKLHIFFBG58EC,13,121.11,見其他登記事項,鋼筋混凝土造,89年4月27日,十二層,
RPWOMLSLLHIFFAG09EC,20,109.85,住家用,鋼筋混凝土造,82年4月26日,六層,
RPQOMLMLMHIFFAG97EC,20,177.95,住家用,鋼筋混凝土造,82年8月3日,三層,
RPPPMLKKMHIFFAG67EC,7,138.40,工廠（辦公室．單身員工宿舍）,鋼筋混凝土造,94年11月30日,三層,
RPOPMLSLLHIFFAG38EC,12,98.63,住家用,鋼筋混凝土造,89年11月24日,九層,
