編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLOJKHIFFAG87EC,中華段,.00,都市：商,,,,13500000
RPTNMLKLKHIFFBG67CC,金六結段金結小段,.00,都市：住,,,,00290000
RPTNMLPLKHIFFBG18CC,金六結段金結小段,.00,都市：住,,,,00500122
RPPOMLKLKHIFFBG37CC,乾門一段,.00,都市：住,,,,09050000
RPXNMLRLKHIFFAG88EC,維揚段,.00,都市：住,,,,03210000
RPPOMLTKKHIFFBG28DC,五峰段,.00,都市：住,,,,00820000
RPQNMLMKLHIFFBG57CC,乾門二段,.00,都市：商,,,,02180000
RPTNMLOJLHIFFAG08EC,國華段,.00,都市：住,,,,05260000
RPROMLPJLHIFFAG87CC,東安段,.00,都市：住,,,,04940000
RPSNMLMJLHIFFAG57CC,中福段,.00,都市：工,,,,11950000
RPRNMLMJLHIFFAG47CC,北成段,.00,都市：住,,,,16650000
RPRNMLMJLHIFFAG47CC,北成段,.00,都市：商,,,,16660000
RPXOMLQJKHIFFAG48CC,文祥段,22.85,都市：住,,,,06590000
RPTNMLPLLHIFFBG28CC,乾門一段,.00,都市：商,,,,05060000
RPQOMLMLLHIFFAG67CC,東光段,.00,都市：商,,,,11280003
RPPNMLTLLHIFFAG18CC,東安段,.00,都市：住,,,,07680005
RPPNMLMJMHIFFAG37CC,南昌段,.00,都市：住,,,,07600000
RPVPMLSJMHIFFBG88CC,珍子滿力段擺厘小段,.00,都市：住,,,,00360001
RPROMLOKLHIFFAG87CC,中華段,.00,都市：住,,,,02190001
RPUNMLNKLHIFFAG97CC,北成段,65.82,都市：商,,,,07150000
RPWNMLOJLHIFFAG18CC,國華段,.00,都市：商,,,,01970001
RPXNMLMKLHIFFAG18CC,東安段,.00,都市：住,,,,08600000
RPPPMLMKMHIFFBG87DC,珍子滿力段擺厘小段,.00,都市：住,,,,00010000
RPRNMLTJLHIFFAG18CC,東安段,.00,都市：住,,,,04770000
RPRNMLNKMHIFFAG77CC,山明段,66.12,都市：農,,,,04010001
RPUNMLOJLHIFFAG97CC,公正段,.00,都市：住,,,,01320000
RPQOMLMKMHIFFAG67CC,慶安段,.00,都市：住,,,,09820000
RPQOMLMKMHIFFAG67CC,慶安段,.00,都市：住,,,,09830000
RPROMLMKMHIFFAG77CC,協富段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00490005
RPROMLSKMHIFFBG48CC,金六結段金結小段,.00,都市：住,,,,00380010
RPPOMLPKMHIFFAG87CC,國華段,.00,都市：住,,,,02340000
RPVNMLQKMHIFFAG48CC,羅群段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,00770000
RPVNMLMLMHIFFBG28CC,乾門三段,.00,都市：住,,,,04780000
RPWNMLMLMHIFFBG38CC,珍子滿力段擺厘小段,.00,都市：住,,,,00230011
RPROMLNLMHIFFBG08CC,金六結段七結小段,269.00,都市：住,,,,00440008
RPRNMLKMMHIFFAG67CC,羅莊段,.00,都市：住,,,,00560000
RPOOMLPKMHIFFAG77CC,信義段,.00,都市：商,,,,10020000
RPPNMLTKMHIFFBG28CC,金六結段金結小段,.00,都市：住,,,,00500123
RPUOMLKKMHIFFBG18EC,協民段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,08780000
RPTOMLKKMHIFFBG08EC,公園段,.00,都市：其他:健康休閒專用區,,,,01160000
RPRNMLTKLHIFFBG58EC,壯一段,.00,都市：住,,,,01390002
RPWOMLSLLHIFFAG09EC,公正段,34.50,都市：住,,,,10790000
RPQOMLMLMHIFFAG97EC,學進段,.00,都市：住,,,,11420000
RPPPMLKKMHIFFAG67EC,中福段,.00,都市：工,,,,11970000
RPOPMLSLLHIFFAG38EC,東光段,30.66,都市：住,,,,16950000
