編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUQMLPJKHIFFAH18CA,31,68.85,住家用,鋼筋混凝土造,71年6月7日,五層,五層 陽台
RPOTMLOJKHIFFAH77CA,28,147.25,工業用,加強磚造,74年4月8日,二層,一層 二層
RPUNMLQJKHIFFAH97CA,33,79.97,住家用,鋼筋混凝土造,69年6月26日,五層,四層
RPWPMLPJKHIFFAH28CA,17,95.76,住商用,鋼筋混凝土造,84年12月14日,八層,一層 花台 雨遮
RPWPMLPJKHIFFAH28CA,17,14.64,共有部份,鋼筋混凝土造,84年12月14日,八層,
RPWPMLPJKHIFFAH28CA,17,75.28,共有部份,鋼筋混凝土造,84年12月14日,八層,
RPWNMLPJKHIFFAH08CA,15,94.25,住家用,鋼筋混凝土造,86年11月28日,二十五層,七層 陽台
RPWNMLPJKHIFFAH08CA,15,11.16,共有部份,鋼筋混凝土造,86年11月28日,二十五層,
RPUQMLRJKHIFFAH38CA,19,49.11,住家用,鋼筋混凝土造,83年2月5日,五層,三層 陽台
RPUQMLRJKHIFFAH38CA,19,1.12,共有部份,鋼筋混凝土造,83年2月5日,五層,
RPQRMLQJKHIFFAH97CA,8,.01,管理員室,鋼筋混凝土造,94年3月2日,十三層,一層
RPQRMLQJKHIFFAH97CA,8,79.45,住家用,鋼筋混凝土造,94年3月2日,十三層,八層 陽台 雨遮
RPQRMLQJKHIFFAH97CA,8,8.26,共有部份,鋼筋混凝土造,94年3月2日,十三層,
RPQRMLQJKHIFFAH97CA,8,20.93,共有部份,鋼筋混凝土造,94年3月2日,十三層,
RPQRMLQJKHIFFAH97CA,8,23.93,共有部份,鋼筋混凝土造,94年3月2日,十三層,
TPURMLRJKHIFFAH68CA,14,134.19,廠房,鋼筋混凝土造,87年8月28日,十五層,十層 陽台
SPURMLRJKHIFFAH58CA,14,133.01,廠房,鋼筋混凝土造,87年8月28日,十五層,十層 陽台
TPURMLRJKHIFFAH68CA,14,28.21,共有部份,鋼筋混凝土造,87年8月28日,十五層,
TPURMLRJKHIFFAH68CA,14,12.48,共有部份,鋼筋混凝土造,87年8月28日,十五層,
SPURMLRJKHIFFAH58CA,14,27.74,共有部份,鋼筋混凝土造,87年8月28日,十五層,
SPURMLRJKHIFFAH58CA,14,12.00,共有部份,鋼筋混凝土造,87年8月28日,十五層,
UPURMLRJKHIFFAH78CA,14,79.58,廠房,鋼筋混凝土造,87年8月28日,十五層,十層 陽台
