編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUQMLPJKHIFFAH18CA,東嶺段,18.82,都市：其他:鄉村區乙種建築用地,5,1,持分移轉,00270000
RPOTMLOJKHIFFAH77CA,中路段,121.00,都市：工,1,1,全筆移轉,18780059
RPUNMLQJKHIFFAH97CA,半嶺段,9.03,都市：住,390,3,持分移轉,07700000
RPUNMLQJKHIFFAH97CA,半嶺段,18.40,都市：住,5,1,持分移轉,07810000
RPWPMLPJKHIFFAH28CA,寶山段,24.03,都市：住,10000,28,持分移轉,09170000
RPWNMLPJKHIFFAH08CA,國聖段,9.79,都市：住,100000,100,持分移轉,06850000
RPUQMLRJKHIFFAH38CA,埔子段北門埔子小段,18.40,都市：住,20,4,持分移轉,00570003
RPQRMLQJKHIFFAH97CA,福元段,12.02,都市：住,10000,22,持分移轉,03320001
TPURMLRJKHIFFAH68CA,有恒段,14.59,都市：工,10000,54,持分移轉,02630000
SPURMLRJKHIFFAH58CA,有恒段,14.86,都市：工,10000,55,持分移轉,02630000
TPURMLRJKHIFFAH68CA,有恒段,.51,都市：工,10000,54,持分移轉,02630001
SPURMLRJKHIFFAH58CA,有恒段,.52,都市：工,10000,55,持分移轉,02630001
UPURMLRJKHIFFAH78CA,有恒段,8.92,都市：工,10000,33,持分移轉,02630000
UPURMLRJKHIFFAH78CA,有恒段,.31,都市：工,10000,33,持分移轉,02630001
RPTQMLSJKHIFFAH38CA,慈文段,21.10,都市：住,10000,27,持分移轉,01130000
RPTQMLSJKHIFFAH38CA,慈文段,.28,都市：住,10000,27,持分移轉,02350002
RPPRMLSJKHIFFAH08CA,迴龍段,14.55,都市：住,100000,262,持分移轉,06420000
RPWTMLSJKHIFFAH98CA,幸褔段,1.08,都市：其他:,5,1,持分移轉,02110000
RPWTMLSJKHIFFAH98CA,幸褔段,15.12,都市：其他:,5,1,持分移轉,02120000
RPVTMLRJKHIFFAH78CA,舊路坑段舊路坑小段,595.63,都市：工,1,1,全筆移轉,08780000
RPVTMLRJKHIFFAH78CA,舊路坑段舊路坑小段,3.53,都市：工,160,1,持分移轉,08800000
RPSVMLSJKHIFFAH78CA,寶山段,23.29,都市：住,10000,56,持分移轉,08720000
RPWOMLMLKHIFFAH08CA,同安段,9.33,都市：住,10000,60,持分移轉,18130000
RPQSMLLJKHIFFBH67CA,大路段,104.17,都市：住,10000,479,持分移轉,03250000
RPWNMLMJKHIFFBH87CA,光明段,1981.00,都市：其他:特定農業區農牧用地,1,1,全筆移轉,08800000
RPWNMLMJKHIFFBH87CA,光明段,1600.00,都市：其他:特定農業區農牧用地,1,1,全筆移轉,08830000
RPOQMLMJKHIFFBH37CA,青芝段,835.00,都市：住,1,1,全筆移轉,01280002
RPXPMLMJKHIFFBH18CA,青芝段,835.00,都市：住,1,1,全筆移轉,01280003
RPOPMLOJKHIFFBH47CA,聖德段,21.13,都市：農,1,1,全筆移轉,07300000
RPOPMLOJKHIFFBH47CA,聖德段,57.02,都市：農,1,1,全筆移轉,07410000
RPRPMLOJKHIFFBH77CA,三座屋段舊社小段,530.00,都市：農,1,1,全筆移轉,00440023
RPXPMLOJKHIFFBH38CA,普義段,5.28,都市：住,10000,15,持分移轉,03220001
RPUPMLOJKHIFFBH08CA,忠福段,9.40,都市：住,10000,33,持分移轉,31260000
RPVPMLOJKHIFFBH18CA,後寮段,20.65,都市：住,10000,310,持分移轉,05340006
RPXOMLPJKHIFFBH38CA,前寮段,19.22,都市：住,10000,92,持分移轉,03300002
RPRNMLPJKHIFFBH67CA,富台段,.36,都市：住,10000,1,持分移轉,07190000
RPWPMLPJKHIFFBH38CA,石頭段,54.00,都市：其他:,1,1,全筆移轉,06510000
RPPQMLPJKHIFFBH77CA,內壢段,106.00,都市：農,1,1,全筆移轉,14040002
RPPQMLPJKHIFFBH77CA,內壢段,51.00,都市：農,1,1,全筆移轉,14040003
RPPQMLPJKHIFFBH77CA,內壢段,8.00,都市：農,1,1,全筆移轉,14040004
RPVRMLPJKHIFFAH38CA,南美段,4.19,都市：其他:綠帶用地,18,7,持分移轉,00520000
RPVRMLPJKHIFFAH38CA,南美段,283.76,都市：其他:綠帶用地,18,7,持分移轉,00530000
RPXPMLQJKHIFFBH58CA,中工段,22.60,都市：工,5,1,持分移轉,12430003
RPSRMLQJKHIFFBH28CA,環東段,21.45,都市：住,70000,448,持分移轉,05130002
RPTRMLQJKHIFFBH38CA,後寮段,5.42,都市：其他:,10000,14,持分移轉,02530000
RPRTMLQJKHIFFBH38CA,興南段興南小段,31.00,都市：其他:公共設施用地--綠地用地,1,1,全筆移轉,01830003
RPRTMLQJKHIFFBH38CA,興南段興南小段,1.00,都市：其他:公共設施用地--綠地用地,1,1,全筆移轉,01830093
