編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVOMLOJKHIFFAI08CA,21,62.61,住家用,鋼筋混凝土造,81年5月13日,七層,五層 陽台
RPVOMLOJKHIFFAI08CA,21,18.68,共有部份,鋼筋混凝土造,81年5月13日,七層,
RPTNMLPJKHIFFAI87CA,5,150.45,住宅，梯間,鋼筋混凝土造,96年12月4日,三層,一層 二層 三層 陽台 見其他登記事項
RPRPMLPJKHIFFAI87CA,10,113.07,住家用,鋼筋混凝土造,92年3月17日,十四層,七層 陽台
RPRPMLPJKHIFFAI87CA,10,63.04,共有部份,鋼筋混凝土造,92年3月17日,十四層,
RPQPMLPJKHIFFAI77CA,19,41.58,住家用,鋼筋混凝土造,82年8月24日,九層,四層
RPQPMLPJKHIFFAI77CA,19,11.51,共有部份,鋼筋混凝土造,82年8月24日,九層,
RPOPMLOJKHIFFAI47CA,16,191.00,停車場、住宅、住房,鋼筋混凝土造,85年9月24日,四層,一層 二層 三層 四層 陽台
RPSPMLQJKHIFFAI08CA,41,66.06,住家用,木造,60年10月1日,二層,一層 二層
RPOPMLPJKHIFFAI57CA,,186.48,住宅、樓梯間,鋼筋混凝土構造,101年9月5日,三層,一層 二層 三層 陽台 見其他登記事項
RPTPMLSJKHIFFAI38CA,27,192.63,住商用,鋼筋混凝土造,74年8月30日,三層,
RPOOMLSJKHIFFAI77CA,9,273.64,商業用,鋼骨造,93年3月16日,一層,一層
RPTNMLOJKHIFFAI87DA,17,84.81,住家用,鋼筋混凝土造,85年2月14日,十二層,三層
RPTNMLOJKHIFFAI87DA,17,40.29,共有部份,鋼筋混凝土造,85年2月14日,十二層,
RPXNMLMLKHIFFAI18CA,17,116.22,住家用,鋼筋混凝土造,85年6月21日,三層,一層 二層 三層 陽台 電梯樓梯間
RPQNMLTKKHIFFAI18DA,23,180.67,住家用,加強磚造,78年10月19日,二層,一層 二層 夾層
RPSOMLOJKHIFFAI97EA,22,205.73,住家用,鋼筋混凝土造,79年6月28日,三層,一層 二層 三層 陽台 電梯樓梯間
RPQNMLPJKHIFFAI77EA,22,31.11,住家用,鋼筋混凝土造,79年10月23日,七層,五層 陽台
RPQNMLPJKHIFFAI77EA,22,8.89,共有部份,鋼筋混凝土造,79年10月13日,七層,
RPQNMLPJKHIFFAI77EA,22,5.32,共有部份,鋼筋混凝土造,79年10月23日,七層,
RPOOMLQJKHIFFAI77EA,41,58.71,住家用,木造,61年3月5日,二層,一層 二層
RPWNMLPJKHIFFAI28DA,17,240.62,住家用,鋼筋混凝土造,84年9月20日,四層,一層 二層 三層 四層 陽台 露台
RPOOMLPJKHIFFAI67EA,20,22.26,住家用,鋼筋混凝土造,82年3月17日,八層,八層 陽台
RPOOMLPJKHIFFAI67EA,20,9.41,共有部份,鋼筋混凝土造,82年3月17日,八層,
RPSNMLLJLHIFFAI67EA,33,84.60,住商用,鋼筋混凝土加強磚造,68年8月16日,二層,一層 二層 騎樓
RPUOMLQJKHIFFAI38EA,1,235.48,停車空間、住宅,鋼筋混凝土構造,101年10月5日,四層,一層 二層 三層 四層 陽台
RPUOMLQJKHIFFAI38EA,1,.08,本共有部分之項目有管理維護空間等一項,鋼筋混凝土構造,101年10月5日,一層,
RPRNMLRJKHIFFAI87CA,34,123.27,住家用,鋼筋混凝土加強磚造,67年9月27日,二層,一層 二層 電梯樓梯間 夾層
RPRNMLTKKHIFFAI28DA,19,103.73,住家用,鋼筋混凝土造,82年8月5日,七層,四層 陽台
RPRNMLTKKHIFFAI28DA,19,34.22,共有部份,鋼筋混凝土造,82年8月5日,七層,
RPROMLPJKHIFFAI77CA,,189.60,住家用,鋼筋混凝土構造,101年12月5日,四層,一層 二層 三層 四層 陽台
RPQOMLTKKHIFFAI18CA,17,151.85,住商用,鋼筋混凝土造,85年4月1日,十一層,一層 二層 陽台 平台 夾層 地下層
RPQOMLTKKHIFFAI18CA,17,28.85,共有部份,鋼筋混凝土造,85年4月1日,十一層,
RPPPMLPJKHIFFAI67CA,,187.26,住家用,鋼筋混凝土構造,101年12月5日,四層,一層 二層 三層 四層 陽台
RPTOMLPJKHIFFAI97CA,,189.58,住家用,鋼筋混凝土構造,101年12月5日,四層,一層 二層 三層 四層 陽台
RPXOMLPJKHIFFAI38CA,19,102.08,住家用,鋼筋混凝土造,83年6月22日,十三層,十層 陽台 花台
RPPSMLQJKHIFFAI08CA,20,183.34,見使用執照,鋼筋混凝土造,82年1月7日,十五層,十四層 陽台
RPPSMLQJKHIFFAI08CA,20,53.47,共有部份,鋼筋混凝土造,82年1月7日,十五層,
RPPSMLQJKHIFFAI08CA,20,12.43,共有部份,鋼筋混凝土造,82年1月7日,十五層,
RPXNMLPLKHIFFAI48CA,,181.72,住家用,鋼筋混凝土構造,101年9月6日,四層,一層 二層 三層 四層 陽台
RPTOMLPLKHIFFAI18CA,32,92.59,住商用,鋼筋混凝土加強磚造,69年9月23日,二層,一層 二層 電梯樓梯間
RPQNMLSLKHIFFAI08CA,19,54.78,住家用,鋼筋混凝土造,82年11月2日,八層,六層 陽台
RPQNMLSLKHIFFAI08CA,19,21.78,共有部份,鋼筋混凝土造,82年11月2日,八層,
RPRNMLSLKHIFFAI18CA,26,118.28,住家用,加強磚造,76年6月26日,二層,一層 二層
RPUNMLSLKHIFFAI48CA,29,79.72,國民住宅,鋼筋混凝土造,73年2月20日,五層,二層
RPUNMLSLKHIFFAI48CA,29,5.72,共有部份,鋼筋混凝土造,73年2月20日,五層,
RPSRMLQJKHIFFAI48EA,29,266.06,住商用,鋼筋混凝土造,72年10月7日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
RPUNMLQJKHIFFAI28EA,43,56.52,住家用,木造,59年1月3日,二層,一層 二層
RPRNMLSKKHIFFAI28EA,18,73.12,住家用,鋼筋混凝土造,83年11月9日,十二層,八層 陽台
RPRNMLSKKHIFFAI28EA,18,30.98,共有部份,鋼筋混凝土造,83年11月9日,十二層,
RPSNMLTKKHIFFAI48EA,1,253.91,住家用,鋼筋混凝土構造,101年10月5日,四層,一層 二層 三層 四層 陽台
RPSNMLTKKHIFFAI48EA,1,.08,本共有部分之項目有管理維護空間等一項,鋼筋混凝土構造,101年10月5日,一層,
RPQNMLNLKHIFFAI77EA,35,114.00,住家用,鋼筋混凝土加強磚造,66年10月5日,二層,一層 二層 騎樓 夾層
RPPNMLMJLHIFFAI27CA,43,113.60,住家用,加強磚造,58年10月1日,二層,一層 二層 騎樓
RPUNMLLJLHIFFAI67CA,21,121.50,住家用,鋼筋混凝土造,80年7月26日,六層,四層
RPRNMLLJLHIFFAI37CA,36,83.50,住商用,鋼筋混凝土加強磚造,66年1月14日,二層,一層 二層 騎樓
RPTNMLLJLHIFFAI57CA,20,66.66,住家用,鋼筋混凝土造,82年5月25日,十層,二層 陽台
RPTNMLLJLHIFFAI57CA,20,12.47,共有部份,鋼筋混凝土造,82年5月25日,十層,
RPTNMLLJLHIFFAI57CA,20,8.98,共有部份,鋼筋混凝土造,82年5月25日,十層,
RPTNMLQLKHIFFAI18CA,27,55.80,住家用,鋼筋混凝土造,75年5月22日,十層,十層
RPTNMLQLKHIFFAI18CA,27,4.75,共有部份,鋼筋混凝土造,75年5月22日,十層,
RPTNMLQLKHIFFAI18CA,27,7.56,共有部份,鋼筋混凝土造,75年5月22日,十層,
RPTNMLQLKHIFFAI18CA,27,5.71,共有部份,鋼筋混凝土造,75年5月22日,十層,
RPUNMLPLKHIFFAI18CA,19,70.89,住家用,鋼筋混凝土造,83年6月22日,十三層,十二層 陽台 花台
RPUNMLPLKHIFFAI18CA,19,21.83,共有部份,鋼筋混凝土造,83年6月22日,十三層,
RPSNMLLLKHIFFAI57CA,1,186.45,住宅、停車空間、梯間,鋼筋混凝土構造,100年11月8日,五層,一層 二層 三層 四層 五層 陽台 雨遮
RPSPMLRJKHIFFAI18CA,30,75.72,住家用,鋼筋混凝土造,72年3月31日,五層,二層
RPVPMLRJKHIFFAI48CA,26,174.67,住家用,鋼筋混凝土造,76年3月22日,二層,一層 二層 騎樓 電梯樓梯間
RPWPMLRJKHIFFAI58CA,17,66.31,住家用,鋼筋混凝土造,84年10月4日,十一層,三層 陽台
RPWPMLRJKHIFFAI58CA,17,14.58,共有部份,鋼筋混凝土造,84年10月4日,十一層,
RPWPMLRJKHIFFAI58CA,17,7.79,共有部份,鋼筋混凝土造,84年10月4日,十一層,
RPSNMLLLKHIFFAI77EA,54,96.92,住家用,木造,48年5月13日,二層,一層 二層
RPXPMLRJKHIFFAI68CA,17,31.98,住家用,鋼筋混凝土造,84年10月4日,十一層,八層
RPXPMLRJKHIFFAI68CA,17,6.27,共有部份,鋼筋混凝土造,84年10月4日,十一層,
RPXPMLRJKHIFFAI68CA,17,4.45,共有部份,鋼筋混凝土造,84年10月4日,十一層,
RPOQMLRJKHIFFAI87CA,17,33.18,住家用,鋼筋混凝土造,84年10月4日,十一層,七層 花台
RPOQMLRJKHIFFAI87CA,17,6.27,共有部份,鋼筋混凝土造,84年10月4日,十一層,
RPOQMLRJKHIFFAI87CA,17,4.45,共有部份,鋼筋混凝土造,84年10月4日,十一層,
RPUNMLOJLHIFFAI18EA,33,78.96,住商用,鋼筋混凝土加強磚造,68年10月4日,二層,一層 二層 電梯樓梯間
RPROMLSJKHIFFAI08CA,,85.98,住宅、樓梯間,鋼筋混凝土構造,101年9月5日,三層,一層 二層 三層 陽台 見其他登記事項
RPROMLSJKHIFFAI08CA,,85.98,住宅、樓梯間,鋼筋混凝土構造,101年9月5日,三層,一層 二層 三層 陽台 見其他登記事項
RPTNMLSJKHIFFAI18CA,27,102.85,住商用,加強磚造,75年6月22日,二層,一層 二層 電梯樓梯間
RPSNMLLJLHIFFAI47CA,20,308.84,見使用執照,鋼筋混凝土造,82年3月17日,五層,一層 二層 三層 四層 五層 陽台 電梯樓梯間 雨遮
RPQNMLMLKHIFFAI47CA,33,187.05,住商用,鋼筋混凝土造,69年1月12日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
RPXNMLSJKHIFFAI58CA,,171.21,住宅、樓梯間,鋼筋混凝土構造,101年9月5日,三層,一層 二層 三層 陽台 見其他登記事項
RPPNMLNJLHIFFAI37CA,20,103.50,住家用,鋼筋混凝土造,82年2月27日,十四層,十層 陽台
RPPNMLNJLHIFFAI37CA,20,27.24,共有部份,鋼筋混凝土造,82年2月27日,十四層,
RPXNMLSLKHIFFAI78CA,10,150.13,住家用,鋼筋混凝土造,92年5月23日,三層,一層 二層 三層 陽台 見其他登記事項
RPQNMLRLKHIFFAI97CA,20,81.91,住家用,鋼筋混凝土造,82年7月13日,十二層,九層 陽台 花台
RPQNMLRLKHIFFAI97CA,20,14.38,共有部份,鋼筋混凝土造,82年7月13日,十二層,
RPQNMLRLKHIFFAI97CA,20,246.36,共有部份,鋼筋混凝土造,82年7月13日,十二層,
RPWNMLOJLHIFFAI18CA,20,95.96,住家用,鋼筋混凝土造,82年5月25日,十層,六層 陽台
RPWNMLOJLHIFFAI18CA,20,11.96,共有部份,鋼筋混凝土造,82年5月25日,十層,
RPWNMLOJLHIFFAI18CA,20,11.22,共有部份,鋼筋混凝土造,82年5月25日,十層,
RPUNMLTKKHIFFAI58DA,17,113.24,住商用,鋼筋混凝土造,85年6月18日,九層,一層 二層 騎樓
RPUNMLTKKHIFFAI58DA,17,24.76,共有部份,鋼筋混凝土造,85年6月18日,九層,
RPOOMLOJLHIFFAI47CA,21,190.41,住商用,鋼筋混凝土造,80年12月27日,六層,一層 二層 陽台 平台 騎樓
RPOOMLOJLHIFFAI47CA,21,41.21,共有部份,鋼筋混凝土造,80年12月27日,六層,
RPXNMLOJLHIFFAI28CA,15,97.53,住家用,鋼筋混凝土造,87年3月19日,二十二層,十三層
RPXNMLOJLHIFFAI28CA,15,20.48,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPXNMLOJLHIFFAI28CA,15,21.97,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
SPOOMLOJLHIFFAI57CA,21,413.03,共有部份,鋼筋混凝土造,80年12月27日,六層,地下層
RPTNMLSJKHIFFAI38EA,26,116.54,住家用,加強磚造,76年1月21日,二層,一層 二層 電梯樓梯間
RPVNMLSJKHIFFAI58EA,38,87.92,住家用,鋼筋混凝土加強磚造,63年12月19日,二層,一層 二層
RPVNMLTKKHIFFAI68DA,19,102.15,住家用,鋼筋混凝土造,83年7月1日,十四層,九層 陽台 花台
RPVNMLTKKHIFFAI68DA,19,16.38,共有部份,鋼筋混凝土造,83年7月1日,十四層,
RPVNMLTKKHIFFAI68DA,19,12.33,共有部份,鋼筋混凝土造,83年7月1日,十四層,
RPUPMLRJKHIFFAI58EA,35,222.35,住商用,鋼筋混凝土加強磚造,67年3月14日,三層,一層 二層 三層 騎樓 地下層
RPOOMLMLKHIFFAI57EA,34,84.20,住家用,鋼筋混凝土造,68年4月17日,七層,三層
RPOOMLMLKHIFFAI57EA,34,12.63,共有部份,鋼筋混凝土造,68年4月17日,七層,
RPPPMLSJKHIFFAI18EA,15,104.66,住家用,鋼筋混凝土造,87年3月19日,二十二層,五層
RPPPMLSJKHIFFAI18EA,15,19.62,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPPPMLSJKHIFFAI18EA,15,23.26,共有部份,鋼筋混凝土造,87年3月19日,二十二層,
RPOOMLPJLHIFFAI77EA,34,86.74,住家用,鋼筋混凝土加強磚造,68年5月5日,二層,一層 二層
RPUNMLKLKHIFFAI67CA,35,59.69,住家用,鋼筋混凝土加強磚造,67年5月29日,一層,一層
RPWNMLNLKHIFFAI18CA,20,16.85,共有部份,鋼筋混凝土造,82年6月9日,十六層,
RPWNMLNLKHIFFAI18CA,20,11.24,共有部份,鋼筋混凝土造,82年6月9日,十六層,
RPWNMLNLKHIFFAI18CA,20,68.34,住家用,鋼筋混凝土造,82年6月9日,十六層,六層 陽台
RPPNMLKLKHIFFAI17CA,1,172.83,住商用,鋼筋混凝土構造,101年2月16日,四層,一層 二層 三層 四層 陽台
