編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVOMLOJKHIFFAI08CA,港子坪段港坪小段,10.85,都市：住,10000,109,持分移轉,01050000
RPVOMLOJKHIFFAI08CA,港子坪段港坪小段,3.05,都市：住,10000,109,持分移轉,01060000
RPWOMLOJKHIFFAI18CA,同興段,1530.00,都市：住,1,1,全筆移轉,11520000
RPTNMLPJKHIFFAI87CA,北園段,29.38,都市：住,13,1,持分移轉,01920013
RPTNMLPJKHIFFAI87CA,北園段,76.00,都市：住,1,1,全筆移轉,01920017
RPXOMLOJKHIFFAI28CA,竹村段,13.30,都市：住,160,20,持分移轉,07610000
RPXOMLOJKHIFFAI28CA,竹村段,67.31,都市：住,1,1,全筆移轉,07640000
RPXOMLOJKHIFFAI28CA,竹村段,339.00,都市：住,1,1,全筆移轉,07650000
RPRPMLPJKHIFFAI87CA,盧厝段,43.56,都市：住,100000,186,持分移轉,03020000
RPXOMLOJKHIFFAI28CA,竹村段,4.46,都市：住,24,6,持分移轉,07670000
RPQPMLPJKHIFFAI77CA,竹圍子段二小段,5.47,都市：商,10000,304,持分移轉,00520000
RPXNMLRJKHIFFAI48CA,竹圍子段,2.00,都市：住,62,2,持分移轉,00100003
RPOPMLOJKHIFFAI47CA,港子坪段,72.12,都市：住,10000,567,持分移轉,02260047
RPSPMLQJKHIFFAI08CA,下路頭段,44.00,都市：住,1,1,全筆移轉,04430078
RPOPMLPJKHIFFAI57CA,港子坪段,7.82,都市：其他:人行步道,33,1,持分移轉,00030003
RPOPMLPJKHIFFAI57CA,港子坪段,5.79,都市：住,33,1,持分移轉,00030006
RPOPMLPJKHIFFAI57CA,港子坪段,104.00,都市：住,1,1,全筆移轉,00030029
RPOPMLPJKHIFFAI57CA,港子坪段,4.76,都市：住,33,1,持分移轉,00030033
RPOPMLPJKHIFFAI57CA,港子坪段,6.03,都市：住,33,1,持分移轉,00030050
RPSNMLRLKHIFFAI18CA,同興段,291.82,都市：住,1440,324,持分移轉,07540000
RPSNMLRLKHIFFAI18CA,同興段,6.52,都市：住,2880,648,持分移轉,07660000
RPTPMLSJKHIFFAI38CA,車店段車店小段,87.00,都市：住,1,1,全筆移轉,02620000
RPTPMLSJKHIFFAI38CA,車店段車店小段,91.00,都市：住,1,1,全筆移轉,02620001
RPOOMLSJKHIFFAI77CA,民族段五小段,438.00,都市：,1,1,全筆移轉,00660002
RPTNMLOJKHIFFAI87DA,山下段,17.09,都市：住,90000,770,持分移轉,00780003
RPXNMLMLKHIFFAI18CA,陳厝段,61.06,都市：住,1,1,全筆移轉,00990000
RPXNMLMLKHIFFAI18CA,陳厝段,72.13,都市：住,57900,22700,持分移轉,01030000
RPSNMLTKKHIFFAI38DA,榮段三小段,186.00,都市：商,1,1,全筆移轉,00950000
RPSNMLTKKHIFFAI38DA,榮段三小段,98.00,都市：商,1,1,全筆移轉,00950001
RPQNMLTKKHIFFAI18DA,車店段車店小段,130.00,都市：住,1,1,全筆移轉,05990000
RPSOMLOJKHIFFAI97EA,東川段,25.26,都市：其他:道路,1984,116,持分移轉,08230011
RPSOMLOJKHIFFAI97EA,東川段,116.00,都市：住,1,1,全筆移轉,08250005
RPQNMLPJKHIFFAI77EA,車店段,10.16,都市：住,1000,10,持分移轉,01440000
RPOOMLQJKHIFFAI77EA,山下段,44.00,都市：住,1,1,全筆移轉,00390024
RPWNMLPJKHIFFAI28DA,台斗坑段,25.00,都市：住,1,1,全筆移轉,01280058
RPWNMLPJKHIFFAI28DA,台斗坑段,.22,都市：住,9,1,持分移轉,01280021
RPOOMLPJKHIFFAI67EA,竹圍子段中興小段,4.13,都市：住,61700,413,持分移轉,01150000
RPWNMLPJKHIFFAI28DA,台斗坑段,1.40,都市：住,10,2,持分移轉,01280064
RPWNMLPJKHIFFAI28DA,台斗坑段,.22,都市：住,9,1,持分移轉,01280065
RPWNMLPJKHIFFAI28DA,台斗坑段,1.40,都市：住,10,2,持分移轉,01280066
RPWNMLPJKHIFFAI28DA,台斗坑段,97.00,都市：住,1,1,全筆移轉,01280105
RPSNMLLJLHIFFAI67EA,北社尾段保安小段,70.00,都市：住,1,1,全筆移轉,00330000
