編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOPMLLJKHIFFAI37CC,15,59.97,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPPOMLTKKHIFFAI28CC,17,105.85,住家用,鋼筋混凝土造,85年2月14日,十三層,
RPWOMLLJKHIFFAI28EC,15,112.60,住家用,鋼筋混凝土造,87年3月19日,二十二層,
RPXNMLSLLHIFFAI09CC,60,49.42,住商用,木造,42年2月5日,一層,
RPWNMLTLLHIFFAI66EC,22,198.16,住商用,鋼筋混凝土造,79年10月15日,七層,
RPOOMLQLKHIFFAI08DC,21,195.67,住商用,鋼筋混凝土造,81年6月26日,十五層,
RPWNMLPKLHIFFAI58CC,48,118.68,住家用,鋼筋混凝土加強磚造,54年7月2日,三層,
RPVNMLPKLHIFFAI48CC,1,74.41,騎樓、店舖、住宅、儲藏室,鋼筋混凝土構造,101年9月19日,五層,
RPQOMLQLKHIFFAI28DC,35,96.24,住家用,鋼筋混凝土加強磚造,67年2月17日,二層,
RPUNMLSKLHIFFAI68CC,20,136.97,住家用,鋼筋混凝土造,82年7月14日,六層,
RPQOMLMLLHIFFAI87CC,32,122.43,住商用,鋼筋混凝土加強磚造,69年11月20日,二層,
RPWNMLMLLHIFFAI48DC,6,254.74,店舖，住宅，梯間，辦公室,鋼筋混凝土造,96年8月24日,四層,
RPSPMLTKMHIFFAI88CC,21,167.00,住家用,鋼筋混凝土造,81年7月28日,十四層,
RPRNMLTKMHIFFAI58CC,20,75.62,住商用,鋼筋混凝土造,82年6月15日,五層,
RPTNMLMJMHIFFAI97CC,54,46.90,商業用,木造,48年5月20日,一層,
RPVNMLPLMHIFFAI68CC,29,448.43,住商用,鋼筋混凝土造,73年6月1日,四層,
