編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLNJKHIFFBJ87CA,華城段,21.18,都市：其他:山坡地保育區,3660,61,持分移轉,07320000
RPQQMLOJKHIFFBJ97CA,文山段,7.55,都市：住,1,1,全筆移轉,09200000
RPQQMLOJKHIFFBJ97CA,文山段,131.56,都市：住,1,1,全筆移轉,09220000
RPXPMLPJKHIFFBJ68CA,隘興段,9.28,都市：住,100000,339,持分移轉,07190000
RPVQMLRJKHIFFBJ78CA,永興段,43.83,都市：住,10000,156,持分移轉,02730000
RPRRMLOJKHIFFBJ18CA,大學段,14.37,都市：商,10000,26,持分移轉,02190000
RPUQMLRJKHIFFBJ68CA,永興段,43.83,都市：住,10000,156,持分移轉,02730000
RPRQMLSJKHIFFBJ48CA,台科段,27.71,都市：住,10000,40,持分移轉,02520000
RPRQMLQJKHIFFBJ28CA,永興段,11.91,都市：商,100000,221,持分移轉,05300000
RPXQMLRJKHIFFBJ98CA,永興段,43.83,都市：住,10000,156,持分移轉,02730000
RPSNMLSKKHIFFBJ38CA,公園段,22.40,都市：住,10000,188,持分移轉,06630000
RPTRMLSJKHIFFBJ78CA,永興段,43.83,都市：住,10000,156,持分移轉,02730000
RPROMLTKKHIFFBJ48CA,台科段,27.11,都市：住,10000,45,持分移轉,00560000
RPUQMLSJKHIFFBJ78CA,台科段,14.20,都市：住,20000,41,持分移轉,02520000
RPTQMLSJKHIFFBJ68CA,台科段,18.70,都市：住,10000,27,持分移轉,02520000
RPVPMLTKKHIFFBJ98CA,新城段,1.00,都市：其他:,1,1,全筆移轉,01190005
RPVPMLTKKHIFFBJ98CA,新城段,81.00,都市：其他:,1,1,全筆移轉,01190006
RPUOMLTKKHIFFBJ78CA,翰林段,14.83,都市：住,10000,33,持分移轉,06070000
RPUOMLTKKHIFFBJ78CA,翰林段,.45,都市：住,10000,1,持分移轉,06070000
RPXPMLTKKHIFFBJ56CA,新城段,5.00,都市：其他:,1,1,全筆移轉,01260007
RPXPMLTKKHIFFBJ56CA,新城段,1.00,都市：其他:,1,1,全筆移轉,01260008
RPXPMLTKKHIFFBJ56CA,新城段,9.00,都市：其他:,1,1,全筆移轉,01260009
RPOQMLTKKHIFFBJ38CA,新城段,117.00,都市：其他:,1,1,全筆移轉,01260010
RPUNMLRJKHIFFBJ38CA,台科段,47.10,都市：住,10000,68,持分移轉,02520000
RPVRMLRJKHIFFBJ88CA,自強段,60.15,都市：住,10000,298,持分移轉,02780000
RPWQMLSJKHIFFBJ98CA,台科段,18.01,都市：住,10000,26,持分移轉,02520000
RPTNMLLJKHIFFCJ77CA,雞油凸段三叉凸小段,2148.00,都市：農,1,1,全筆移轉,00840001
RPTNMLLJKHIFFCJ77CA,雞油凸段三叉凸小段,145.00,都市：農,1,1,全筆移轉,01560000
RPUNMLLJKHIFFCJ87CA,燥樹排段,7386.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,03020000
RPQNMLNJKHIFFCJ67CA,寶斗仁段崎林小段,5839.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,02220000
RPPNMLOJKHIFFCJ67CA,內灣段,6023.36,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,12020000
RPPNMLOJKHIFFCJ67CA,油羅段,2813.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06470012
RPPNMLOJKHIFFCJ67CA,油羅段,2705.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06470022
RPSNMLOJKHIFFCJ97CA,油羅段,1894.00,都市：其他:,1,1,全筆移轉,05900000
RPSNMLOJKHIFFCJ97CA,油羅段,2514.00,都市：其他:,1,1,全筆移轉,05900003
RPSNMLOJKHIFFCJ97CA,油羅段,2514.00,都市：其他:,1,1,全筆移轉,05900004
RPWNMLOJKHIFFCJ38CA,大壢段下大壢小段,11516.00,都市：其他:,1,1,全筆移轉,00380001
RPWNMLOJKHIFFCJ38CA,大壢段下大壢小段,10904.00,都市：其他:,1,1,全筆移轉,00380003
RPWNMLOJKHIFFCJ38CA,大壢段下大壢小段,1065.00,都市：農,1,1,全筆移轉,00380005
RPWNMLOJKHIFFCJ38CA,大壢段下大壢小段,410.00,都市：農,1,1,全筆移轉,00380007
RPWNMLOJKHIFFCJ38CA,大壢段下大壢小段,247.00,都市：農,1,1,全筆移轉,00380008
RPWNMLOJKHIFFCJ38CA,大壢段下大壢小段,8103.00,都市：其他:,1,1,全筆移轉,00380013
