編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPOMLOJKHIFFFK18CA,坡道機械,0,,
RPVNMLQJKHIFFDK68CA,一樓平面,0,,
RPUNMLQJKHIFFFK88DA,坡道平面,0,,
RPPNMLRJKHIFFFK38CA,坡道平面,0,,
RPQNMLRJKHIFFFK48CA,坡道平面,0,,
RPRNMLRJKHIFFFK58CA,坡道平面,0,,
RPQNMLSKKHIFFDK48CA,升降機械,0,,
RPUNMLSJKHIFFFK98CA,坡道平面,0,,
RPXNMLSKKHIFFFK86DA,坡道平面,850000,39.37,
RPXNMLSKKHIFFFK86DA,升降機械,650000,21.28,
RPOOMLSKKHIFFFK68DA,坡道平面,900000,41.30,
RPSNMLTKKHIFFFK98CA,其他,0,,
RPVNMLTKKHIFFFK76DA,坡道平面,850000,41.30,
RPWNMLTKKHIFFFK86DA,坡道平面,950000,41.30,
RPPOMLSKKHIFFFK78DA,坡道平面,900000,41.30,
RPPOMLQLKHIFFFK58CA,坡道平面,0,,
RPPNMLQLKHIFFFK48CA,其他,0,,
RPOOMLRJLHIFFFK48CA,坡道平面,380000,20.28,
RPRNMLQLKHIFFDK48CA,坡道機械,0,,
RPQOMLQLKHIFFFK68CA,坡道平面,0,,
RPSOMLQLKHIFFFK88CA,升降機械,0,,
RPSNMLSLKHIFFFK09DA,坡道平面,850000,39.37,
RPPNMLLJLHIFFFK97DA,坡道平面,800000,39.37,
RPRNMLSLKHIFFFK98DA,坡道平面,850000,41.30,
RPTNMLSLKHIFFFK56DA,坡道平面,850000,39.37,
RPQNMLLJLHIFFFK08DA,坡道平面,900000,41.30,
RPSNMLQJLHIFFFK78DA,坡道平面,0,,
RPUNMLPJLHIFFDK58CA,升降機械,0,,
RPXNMLSLLHIFFFK96CA,坡道平面,300000,13.30,
RPQNMLSJLHIFFFK68CA,坡道平面,250000,13.56,
SPSNMLSJLHIFFFK98CA,坡道平面,300000,13.30,
SPPNMLRJLHIFFBK18CA,坡道機械,0,,
RPROMLSJLHIFFFK88CA,坡道平面,0,,
RPROMLSJLHIFFFK88CA,坡道平面,0,,
RPQOMLSJLHIFFFK78CA,坡道平面,0,,
RPTNMLNKLHIFFDK38CA,坡道機械,0,,
RPQNMLOKLHIFFAK87CA,升降機械,0,14.00,
RPUNMLPKLHIFFFK98DA,坡道平面,950000,41.30,
RPUNMLPKLHIFFFK98DA,坡道平面,900000,41.30,
RPQOMLPKLHIFFFK68DA,坡道平面,550000,21.28,
RPPOMLPKLHIFFFK58DA,坡道平面,850000,39.37,
RPROMLPKLHIFFFK78DA,坡道平面,550000,21.28,
