編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLOJKHIFFAM08CA,1,12.00,農舍,鋼鐵造有牆,100年7月25日,一層,一層
RPQNMLRJKHIFFAM18CA,32,118.92,住商用,鋼筋混凝土加強磚造,69年8月1日,二層,一層 二層 騎樓
RPPOMLSJKHIFFAM28CA,16,171.48,住商用,鋼筋混凝土造,85年7月24日,四層,一層 二層 三層 四層 陽台 平台
RPTOMLLLKHIFFAM18CA,19,148.43,住家用,鋼筋混凝土造,82年11月10日,十四層,十三層 陽台
RPUNMLPJKHIFFAM38CA,11,281.69,農舍,鋼筋混凝土造,91年1月24日,三層,一層 二層 三層 陽台
RPVNMLKLKHIFFAM18CA,24,131.18,住家用,鋼筋混凝土造,78年4月20日,二層,一層 二層 電梯樓梯間
RPWNMLOJKHIFFAM48CA,32,105.70,住商用,鋼筋混凝土加強磚造,69年8月28日,二層,一層 二層 騎樓
RPRNMLPJKHIFFAM08CA,37,75.60,住家用,鋼筋混凝土加強磚造,65年1月13日,二層,一層 二層
RPPNMLRJKHIFFAM08CA,33,128.31,住家用,鋼筋混凝土加強磚造,68年12月29日,二層,一層 二層
RPSNMLPJKHIFFBM28CA,37,122.04,住商用,鋼筋混凝土加強磚造,65年4月12日,二層,一層 二層 騎樓
RPPPMLOJKHIFFCM18CA,8,155.73,住家用,鋼骨造,93年8月18日,三層,一層 二層 三層 陽台 平台
RPVNMLPJKHIFFCM68CA,25,90.96,住商用,鋼筋混凝土造,76年12月9日,二層,一層 二層 騎樓
RPPNMLRJKHIFFCM28CA,18,79.15,集合住宅,鋼筋混凝土造,84年7月17日,七層,五層 陽台
RPRNMLOJKHIFFCM28DA,55,45.82,住家用,磚造,47年1月15日,一層,一層
RPQNMLQJKHIFFEM48CA,16,201.30,住商用,鋼筋混凝土造,86年7月12日,四層,一層 二層 三層 四層 騎樓
RPXNMLLJLHIFFCM58CA,1,690.30,農業設施﹝農業資材室﹞、農業設施﹝集貨包裝處理場﹞,鋼筋混凝土造,100年7月27日,一層,一層
RPXNMLPJKHIFFCM88CA,19,130.44,住家用,鋼筋混凝土造,82年10月28日,二層,一層 二層
RPPOMLRJKHIFFCM38CA,32,167.56,住商用,鋼筋混凝土造,69年10月23日,三層,一層 二層 三層 騎樓
RPQOMLPJKHIFFCM28CA,14,27.45,集合住宅,鋼筋混凝土造,87年12月31日,八層,六層 陽台
RPPNMLPJKHIFFBM97CA,33,114.05,住商用,鋼筋混凝土造,68年9月5日,二層,一層 二層 騎樓
RPPNMLRJKHIFFBM18CA,51,89.08,商業用,磚造,50年8月10日,二層,一層 二層 騎樓
RPPNMLQJKHIFFBM08CA,18,331.78,住商用,鋼筋混凝土造,83年12月9日,五層,一層 二層 三層 四層 五層 騎樓 花台 夾層 地下層
RPSNMLRJKHIFFBM48CA,39,62.19,住家用,加強磚造、磚石造,,二層,一層
RPPPMLLLKHIFFAM87CA,19,57.02,住家用,鋼筋混凝土造,82年8月28日,六層,四層 陽台
RPXOMLRJKHIFFAM98CA,26,2685.60,廠房、員工宿舍、員工餐廳、防空避難室,鋼筋混凝土造,76年5月27日,一層,一層
RPXOMLRJKHIFFAM98CA,31,2459.94,會客室、辦公室、廠房,鋼筋混凝土加強磚造、鐵架蓋石棉瓦,70年10月8日,二層,一層 二層 地下層 見其他登記事項
RPRNMLKLKHIFFAM77CA,18,95.78,住家用,鋼筋混凝土造,84年2月16日,十三層,十二層 陽台 花台
RPPNMLKLKHIFFCM77CA,5,86.74,農舍,鋼骨造、ＲＣ造,97年3月14日,二層,一層 二層 陽台
RPPNMLKLKHIFFCM77CA,5,86.74,農舍,鋼骨造、ＲＣ造,97年3月14日,二層,一層 二層 陽台
RPRNMLKLKHIFFDM08CA,23,151.10,住家用,鋼筋混凝土造,78年12月4日,三層,一層 二層 三層
RPQOMLTKKHIFFCM78CA,28,110.32,住家用,鋼筋混凝土造,74年3月27日,二層,一層 二層 騎樓
RPTOMLRJKHIFFCM88DA,40,55.61,住家用,鋼筋混凝土加強磚造,62年6月23日,一層,一層
RPPNMLSJKHIFFBM38DA,29,106.81,住家用,鋼筋混凝土加強磚造,73年4月30日,二層,一層 二層
RPWNMLRJKHIFFCM09DA,37,78.12,住家用,鋼筋混凝土加強磚造,64年12月1日,二層,一層 二層
RPQNMLLLKHIFFEM18CA,19,105.29,住家用,鋼筋混凝土造,83年5月3日,三層,一層 二層 三層
RPRNMLLJLHIFFCM97CA,17,63.91,集合住宅,鋼筋混凝土造,85年2月9日,十五層,六層 陽台
RPWNMLOJLHIFFCM78CA,39,94.23,住商用,鋼筋混凝土加強磚造,63年3月1日,二層,一層 二層 騎樓
RPQOMLMLKHIFFBM08CA,15,85.76,住家用,鋼筋混凝土造,87年5月20日,七層,三層 陽台
RPQOMLMLKHIFFBM08CA,15,22.08,防空避難室、停車空間、機械室、水塔、梯間,鋼筋混凝土造,87年5月20日,七層,
RPQNMLPJLHIFFCM28CA,12,230.97,住商用,鋼骨鋼筋混凝土造,90年3月27日,三層,一層 二層 三層 屋頂突出物 騎樓
RPXNMLRJKHIFFBM98CA,1,175.47,住家用,鋼筋混凝土造,101年5月16日,四層,一層 二層 三層 四層 陽台
RPTNMLSJKHIFFBM68CA,33,121.98,住家用,鋼筋混凝土加強磚造,69年1月1日,二層,一層 二層
RPPNMLTKKHIFFBM48CA,15,172.43,住家用,鋼筋混凝土造,87年4月30日,三層,一層 二層 三層 陽台 屋頂突出物
RPUNMLRJKHIFFAM58CA,20,84.26,住家用,鋼筋混凝土造,82年3月22日,八層,四層 陽台 花台
RPUNMLRJKHIFFAM58CA,20,26.60,防空避難室、人行道、電梯,鋼筋混凝土造,82年3月22日,八層,
RPUOMLRJKHIFFAM68CA,18,79.45,住家用,鋼筋混凝土造,83年7月22日,五層,四層
RPUOMLRJKHIFFAM68CA,18,8.59,梯間、通道,鋼筋混凝土造,83年7月22日,五層,
RPVNMLLLKHIFFBM38CA,20,95.02,住家用,鋼筋混凝土造,82年3月12日,七層,七層 陽台 花台
RPVNMLLLKHIFFBM38CA,20,19.54,地下室、門廳、梯間、機械室、守衛室、水箱、車道,鋼筋混凝土造,82年3月12日,七層,
RPUNMLLLKHIFFAM18CA,,225.53,住家用,鋼筋混凝土造,101年8月30日,四層,一層 二層 三層 四層 陽台
RPWNMLLLKHIFFAM38CA,,212.50,住家用,鋼筋混凝土造,101年8月30日,四層,一層 二層 三層 四層 陽台
RPWNMLSJKHIFFAM88CA,19,310.50,住家用,鋼筋混凝土造,83年4月6日,三層,一層 二層 三層
RPSPMLRJKHIFFAM58CA,5,369.95,住家用,鋼筋混凝土造,96年9月28日,四層,一層 二層 三層 四層 陽台 雨遮
