編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLLJKHIFFAN67CA,38,134.04,住商用,鋼筋混凝土加強磚造,63年11月20日,三層,一層 二層 三層
RPUOMLQLKHIFFAN88CA,,214.67,住家用,鋼筋混凝土造,101年8月27日,四層,一層 二層 三層 四層
RPQNMLSJKHIFFAN38CA,33,97.80,住家用,加強磚造,69年4月29日,二層,一層 二層
RPTNMLLLKHIFFBN28CA,,226.63,住家用,鋼筋混凝土造,101年11月16日,四層,一層 二層 三層 四層
RPRNMLQLKHIFFBN58CA,9,155.82,住家用,鋼筋混凝土造,93年4月20日,三層,一層 二層 三層 陽台
RPVNMLQJKHIFFCN88CA,16,151.50,農舍,鋼筋混凝土造,86年5月24日,三層,一層 二層 三層 電梯樓梯間
RPRNMLLJLHIFFCN08CA,20,231.11,住商用,鋼筋混凝土造,81年12月15日,四層,一層 二層 三層 四層 陽台 平台 騎樓
RPPNMLRJKHIFFDN48CA,20,264.60,住商用,鋼筋混凝土造,82年4月10日,四層,一層 二層 三層 四層 騎樓
RPOOMLRJKHIFFDN48CA,57,45.26,商業用,磚造,45年1月1日,一層,
RPSNMLOJKHIFFFN68CA,33,89.73,住商用,加強磚造,69年5月24日,二層,一層 二層
RPPNMLSJKHIFFHN98CA,,165.44,住家用,鋼筋混凝土造,101年9月7日,三層,一層 二層 三層 陽台 屋頂突出物
RPPNMLOJKHIFFAN97DA,11,62.12,辦公室,鋼筋混凝土造,90年11月9日,十四層,三層 陽台
RPPNMLOJKHIFFAN97DA,11,9.47,梯間,鋼筋混凝土造,90年11月9日,十四層,
RPPNMLOJKHIFFAN97DA,11,17.17,停車空間、防空避難室,鋼筋混凝土造,90年11月9日,十四層,
RPWPMLRJKHIFFBN66DA,,149.04,住家用,鋼筋混凝土造,101年8月27日,三層,一層 二層 三層 屋頂突出物
RPRNMLRLKHIFFBN78DA,16,126.27,住家用,鋼筋混凝土造,86年3月17日,三層,一層 二層 三層 騎樓
RPUNMLQJKHIFFAN78EA,35,186.46,住商用,鋼筋混凝土造,67年4月15日,三層,一層 二層 三層 騎樓
RPQNMLQJKHIFFCN48DA,20,69.72,住家用,鋼筋混凝土造,81年10月22日,七層,四層 陽台
RPROMLOJKHIFFAN28DA,33,87.89,住家用,鋼筋混凝土加強磚造,69年4月1日,二層,一層 二層
RPROMLSJKHIFFBN78DA,22,64.14,住家用,鋼筋混凝土造,80年4月25日,五層,四層 陽台
RPROMLSJKHIFFBN78DA,22,23.51,梯間，避難室，停車空間,鋼筋混凝土造,80年4月25日,五層,
RPROMLPJKHIFFAN38DA,33,237.91,住商用,鐵筋加強磚造鋼筋混凝土造,69年5月5日,三層,一層 二層 三層 騎樓
RPTNMLMLKHIFFHN98CA,19,180.22,住家用,鋼筋混凝土造,83年2月21日,三層,一層 二層 三層 騎樓
RPRNMLOJKHIFFHN78CA,22,363.78,住家用,鋼筋混凝土造,80年6月6日,三層,一層 二層 三層 騎樓
RPVNMLLLKHIFFFN88CA,18,149.40,住家用,鋼筋混凝土造,83年11月1日,三層,一層 二層 三層 陽台 平台
RPTNMLQJKHIFFEN88CA,14,127.81,住家用,鋼筋混凝土造,88年2月2日,三層,一層 二層 三層 陽台
RPPNMLOLKHIFFDN38CA,23,124.31,住家用,鋼筋混凝土造,79年5月23日,七層,四層 陽台
RPPNMLOLKHIFFDN38CA,23,30.00,商業用,鋼筋混凝土造,79年5月23日,七層,
RPPNMLOLKHIFFDN38CA,23,15.97,樓梯間、電梯,鋼筋混凝土造,79年5月23日,七層,
RPWNMLLJLHIFFDN68CA,,262.98,住宅、停車空間,鋼筋混凝土造,101年11月19日,四層,一層 二層 三層 四層 陽台
RPVNMLLJLHIFFDN58CA,,262.97,住宅、停車空間,鋼筋混凝土造,101年11月19日,四層,一層 二層 三層 四層 陽台
RPTNMLSJKHIFFDN98CA,,142.73,住宅,鋼筋混凝土造,101年8月8日,三層,一層 二層 三層 陽台
RPUNMLSJKHIFFDN09CA,,142.77,住宅,鋼筋混凝土造,101年8月8日,三層,一層 二層 三層 陽台
RPUNMLKLKHIFFDN48CA,31,214.20,住家用,鋼筋混凝土造,70年9月3日,四層,一層 二層 三層 四層 騎樓
RPUPMLQLKHIFFAN98CA,,174.72,住家用,鋼筋混凝土造,101年8月27日,三層,一層 二層 三層 屋頂突出物
RPWNMLQJKHIFFDN09CA,17,20.68,住家用,鋼筋混凝土造,85年2月12日,十三層,十二層 陽台 花台
RPWNMLQJKHIFFDN09CA,17,10.59,陽台、水塔、車道、機械室、梯間、機房、電梯、樓梯、受電室,鋼筋混凝土造,85年2月12日,十三層,
RPWNMLPJKHIFFDN98CA,4,66.41,集合住宅,鋼筋混凝土造,97年12月1日,五層,五層 陽台
RPQPMLQLKHIFFAN58CA,,174.69,住家用,鋼筋混凝土造,101年8月27日,三層,一層 二層 三層 屋頂突出物
RPRPMLQLKHIFFAN68CA,,178.23,住家用,鋼筋混凝土造,101年8月27日,三層,一層 二層 三層 陽台 屋頂突出物
RPPPMLQLKHIFFAN48CA,,174.72,住家用,鋼筋混凝土造,101年8月27日,三層,一層 二層 三層 屋頂突出物
RPSPMLQLKHIFFAN78CA,,174.72,住家用,鋼筋混凝土造,101年8月27日,三層,一層 二層 三層 屋頂突出物
RPVNMLRJKHIFFCN98CA,15,210.19,農舍,鋼筋混凝土造,87年7月2日,三層,一層 二層 三層 陽台 電梯樓梯間
RPWNMLPJKHIFFCN88CA,18,175.57,住家用,鋼筋混凝土造,83年12月1日,四層,一層 二層 三層 四層 陽台 平台
RPRNMLSKKHIFFAN58CA,8,165.78,住家用,鋼筋混凝土造,93年11月4日,四層,一層 二層 三層 四層 陽台 雨遮
RPXNMLSJKHIFFAN09CA,34,86.88,住家用,鋼筋混凝土加強磚造,68年4月3日,二層,一層 二層
RPWNMLQLKHIFFAN98CA,4,311.05,住宅、店舖、停車空間,鋼筋混凝土造,97年8月19日,四層,一層 二層 三層 四層 陽台 騎樓 地下一層
RPWNMLQLKHIFFAN98CA,4,33.97,配電室、消防機械室、發電機室、車道,鋼筋混凝土造,97年8月19日,四層,
