鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.35,住,,,1020124,土地0建物0車位1,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,39.79,0,0,0,有,有,1100000,,坡道平面,39.79,1100000,,RPROMLQJKHIFFAO48CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１１８號十三樓,20.64,住,,,1020124,土地2建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,137.87,3,2,2,有,有,8700000,63103,,0.0,0,,SPROMLQJKHIFFAO58CA,81.9,2.38,8.61,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.35,住,,,1020124,土地0建物0車位1,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,39.79,0,0,0,有,有,1000000,,坡道平面,39.79,1000000,,RPSOMLQJKHIFFAO58CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１１８號十四樓,20.64,住,,,1020124,土地2建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,137.87,3,2,2,有,有,8600000,62378,,0.0,0,,SPSOMLQJKHIFFAO68CA,81.9,2.38,8.61,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.35,住,,,1020124,土地0建物0車位1,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,39.79,0,0,0,有,有,1000000,,坡道平面,39.79,1000000,,RPTOMLQJKHIFFAO68CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１２０號四樓,22.74,住,,,1020124,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,151.44,3,2,2,有,有,8670000,57250,,0.0,0,,SPTOMLQJKHIFFAO78CA,90.75,2.71,8.67,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.35,住,,,1020124,土地0建物0車位1,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,39.79,0,0,0,有,有,1000000,,坡道平面,39.79,1000000,,RPUOMLQJKHIFFAO78CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１２２號三樓,22.74,住,,,1020124,土地2建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,151.71,3,2,2,有,有,10000000,65915,,0.0,0,,SPUOMLQJKHIFFAO88CA,90.14,2.86,9.25,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.35,住,,,1020124,土地0建物0車位1,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,39.79,0,0,0,有,有,1100000,,坡道平面,39.79,1100000,,RPVOMLQJKHIFFAO88CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１２２號五樓,22.74,住,,,1020124,土地2建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,151.71,3,2,2,有,有,8900000,58665,,0.0,0,,SPVOMLQJKHIFFAO98CA,90.14,2.86,9.25,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.35,住,,,1020124,土地0建物0車位1,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,39.79,0,0,0,有,有,1100000,,坡道平面,39.79,1100000,,RPXOMLQJKHIFFAO09CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１２２號八樓,22.74,住,,,1020124,土地2建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,151.71,3,2,2,有,有,9110000,60049,,0.0,0,,SPXOMLQJKHIFFAO56CA,90.14,2.86,9.25,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.35,住,,,1020124,土地0建物0車位1,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,39.79,0,0,0,有,有,1000000,,坡道平面,39.79,1000000,,RPOPMLQJKHIFFAO28CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１２２號十樓,22.74,住,,,1020124,土地2建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,151.71,3,2,2,有,有,9500000,62619,,0.0,0,,SPOPMLQJKHIFFAO38CA,90.14,2.86,9.25,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.7,住,,,1020124,土地0建物0車位2,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,79.59,0,0,0,有,有,2250000,,坡道平面,79.58,2250000,,RPPPMLQJKHIFFAO38CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１２２號十一樓,22.74,住,,,1020124,土地2建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,151.71,3,2,2,有,有,9400000,61960,,0.0,0,,SPPPMLQJKHIFFAO48CA,90.14,2.86,9.25,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.35,住,,,1020124,土地0建物0車位1,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,39.79,0,0,0,有,有,1200000,,坡道平面,39.79,1200000,,RPQPMLQJKHIFFAO48CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１２２號十三樓,22.74,住,,,1020124,土地2建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,151.71,3,2,2,有,有,10100000,66574,,0.0,0,,SPQPMLQJKHIFFAO58CA,90.14,2.86,9.25,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.35,住,,,1020124,土地0建物0車位1,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,39.79,0,0,0,有,有,1000000,,坡道平面,39.79,1000000,,RPRPMLQJKHIFFAO58CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１２６號五樓,22.39,住,,,1020124,土地2建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,149.98,3,2,2,有,有,8500000,56674,,0.0,0,,SPRPMLQJKHIFFAO68CA,88.47,3.69,8.94,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.35,住,,,1020124,土地0建物0車位2,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,39.79,0,0,0,有,有,900000,,坡道機械,39.8,900000,,RPSPMLQJKHIFFAO68CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１２６號八樓,22.39,住,,,1020124,土地2建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,149.98,3,2,2,有,有,9200000,61342,,0.0,0,,SPSPMLQJKHIFFAO78CA,88.47,3.69,8.94,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.35,住,,,1020124,土地0建物0車位2,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,39.79,0,0,0,有,有,900000,,坡道機械,39.8,900000,,RPTPMLQJKHIFFAO78CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１２８號三樓,22.39,住,,,1020124,土地2建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,150.01,3,2,2,有,有,8480000,56530,,0.0,0,,SPTPMLQJKHIFFAO88CA,88.56,3.05,9.52,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.35,住,,,1020124,土地0建物0車位2,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,39.79,0,0,0,有,有,900000,,坡道機械,39.8,900000,,RPUPMLQJKHIFFAO88CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１２８號四樓,22.39,住,,,1020124,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,150.01,3,2,2,有,有,8550000,56996,,0.0,0,,SPUPMLQJKHIFFAO98CA,88.56,3.05,9.52,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.35,住,,,1020124,土地0建物0車位2,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,39.79,0,0,0,有,有,900000,,坡道機械,39.8,900000,,RPVPMLQJKHIFFAO98CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１２８號六樓,22.39,住,,,1020124,土地2建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,150.01,3,2,2,有,有,8800000,58663,,0.0,0,,SPVPMLQJKHIFFAO09CA,88.56,3.05,9.52,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.35,住,,,1020124,土地0建物0車位1,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,39.79,0,0,0,有,有,1100000,,坡道平面,39.79,1100000,,RPWPMLQJKHIFFAO09CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１２８號十樓,22.39,住,,,1020124,土地2建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,150.01,3,2,2,有,有,9500000,63329,,0.0,0,,SPWPMLQJKHIFFAO56CA,88.56,3.05,9.52,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.35,住,,,1020124,土地0建物0車位2,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,39.79,0,0,0,有,有,900000,,坡道機械,39.8,900000,,RPXPMLQJKHIFFAO56CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１３０號三樓,20.99,住,,,1020124,土地2建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,138.16,3,2,2,有,有,9100000,65866,,0.0,0,,SPXPMLQJKHIFFAO66CA,82.76,2.34,8.02,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.35,住,,,1020124,土地0建物0車位1,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,39.79,0,0,0,有,有,1000000,,坡道平面,39.79,1000000,,RPPQMLQJKHIFFAO48CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１３０號四樓,20.99,住,,,1020124,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,138.16,3,2,2,有,有,7800000,56456,,0.0,0,,SPPQMLQJKHIFFAO58CA,82.76,2.34,8.02,,
新竹市,車位,新竹市新竹市光復路一段５４４巷１１８號,0.35,住,,,1020124,土地0建物0車位2,一層,十四層,其他,辦公室,鋼筋混凝土造,1011029,39.79,0,0,0,有,有,900000,,坡道機械,39.8,900000,,RPQQMLQJKHIFFAO58CA,0.0,0.0,0.0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５４４巷１３０號五樓,20.99,住,,,1020124,土地2建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1011029,138.16,3,2,2,有,有,8100000,58628,,0.0,0,,SPQQMLQJKHIFFAO68CA,82.76,2.34,8.02,,
