編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSOMLQJKHIFFAO58CA,,.08,辦公室,鋼筋混凝土造,101年10月29日,十四層,一層
RPSOMLQJKHIFFAO58CA,,39.71,共有部分,鋼筋混凝土造,101年10月29日,十四層,
SPROMLQJKHIFFAO58CA,,92.89,集合住宅,鋼筋混凝土造,101年10月29日,十四層,十三層 陽台 雨遮
SPROMLQJKHIFFAO58CA,,24.92,共有部分,鋼筋混凝土造,101年10月29日,十四層,
SPROMLQJKHIFFAO58CA,,20.06,共有部分,鋼筋混凝土造,101年10月29日,十四層,
RPROMLQJKHIFFAO48CA,,.08,辦公室,鋼筋混凝土造,101年10月29日,十四層,一層
RPROMLQJKHIFFAO48CA,,39.71,共有部分,鋼筋混凝土造,101年10月29日,十四層,
RPXOMLQJKHIFFAO09CA,,.08,辦公室,鋼筋混凝土造,101年10月29日,十四層,一層
RPXOMLQJKHIFFAO09CA,,39.71,共有部分,鋼筋混凝土造,101年10月29日,十四層,
SPOPMLQJKHIFFAO38CA,,102.25,集合住宅,鋼筋混凝土造,101年10月29日,十四層,十層 陽台 雨遮
SPOPMLQJKHIFFAO38CA,,27.41,共有部分,鋼筋混凝土造,101年10月29日,十四層,
SPOPMLQJKHIFFAO38CA,,22.05,共有部分,鋼筋混凝土造,101年10月29日,十四層,
SPXOMLQJKHIFFAO56CA,,102.25,集合住宅,鋼筋混凝土造,101年10月29日,十四層,八層 陽台 雨遮
SPXOMLQJKHIFFAO56CA,,27.41,共有部分,鋼筋混凝土造,101年10月29日,十四層,
SPXOMLQJKHIFFAO56CA,,22.05,共有部分,鋼筋混凝土造,101年10月29日,十四層,
RPOPMLQJKHIFFAO28CA,,.08,辦公室,鋼筋混凝土造,101年10月29日,十四層,一層
RPOPMLQJKHIFFAO28CA,,39.71,共有部分,鋼筋混凝土造,101年10月29日,十四層,
RPUOMLQJKHIFFAO78CA,,.08,辦公室,鋼筋混凝土造,101年10月29日,十四層,一層
RPUOMLQJKHIFFAO78CA,,39.71,共有部分,鋼筋混凝土造,101年10月29日,十四層,
RPVOMLQJKHIFFAO88CA,,.08,辦公室,鋼筋混凝土造,101年10月29日,十四層,一層
RPVOMLQJKHIFFAO88CA,,39.71,共有部分,鋼筋混凝土造,101年10月29日,十四層,
SPVOMLQJKHIFFAO98CA,,102.25,集合住宅,鋼筋混凝土造,101年10月29日,十四層,五層 陽台 雨遮
SPVOMLQJKHIFFAO98CA,,27.41,共有部分,鋼筋混凝土造,101年10月29日,十四層,
