編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWPNLLLLHIFFAO56DB,東明段,18.41,都市：其他:科技商務區,100000,827,持分移轉,05190000
RPTRNLLLLHIFFAO09DB,東明段,17.54,都市：其他:科技商務區,100000,788,持分移轉,05190000
RPQPNLLLLHIFFAO58DB,東明段,17.94,都市：其他:科技商務區,100000,806,持分移轉,05190000
RPQQNLLLLHIFFAO68DB,東明段,24.44,都市：其他:科技商務區,100000,1098,持分移轉,05190000
RPSPNLLLLHIFFAO78DB,東明段,18.41,都市：其他:科技商務區,100000,827,持分移轉,05190000
RPXPNLLLLHIFFAO66DB,東明段,18.41,都市：其他:科技商務區,100000,827,持分移轉,05190000
RPUPNLLLLHIFFAO98DB,東明段,18.41,都市：其他:科技商務區,100000,827,持分移轉,05190000
RPORNLLLLHIFFAO58DB,東明段,17.54,都市：其他:科技商務區,100000,788,持分移轉,05190000
RPQRNLLLLHIFFAO78DB,東明段,17.54,都市：其他:科技商務區,100000,788,持分移轉,05190000
RPSRNLLLLHIFFAO98DB,東明段,17.54,都市：其他:科技商務區,100000,788,持分移轉,05190000
RPURNLLLLHIFFAO56DB,東明段,23.46,都市：其他:科技商務區,100000,1054,持分移轉,05190000
RPVRNLLLLHIFFAO66DB,東明段,23.46,都市：其他:科技商務區,100000,1054,持分移轉,05190000
RPWRNLLLLHIFFAO76DB,東明段,27.16,都市：其他:科技商務區,100000,1220,持分移轉,05190000
RPPSNLLLLHIFFAO78DB,東明段,26.22,都市：其他:科技商務區,100000,1178,持分移轉,05190000
RPTQMLQLLHIFFAO76DB,民主段,29.83,都市：住,10000,220,持分移轉,08450000
RPQSNLLLLHIFFAO88DB,東明段,27.16,都市：其他:科技商務區,100000,1220,持分移轉,05190000
RPUQMLQLLHIFFAO86DB,民主段,32.95,都市：住,10000,243,持分移轉,08450000
RPORMLQLLHIFFAO98DB,民主段,33.22,都市：住,10000,245,持分移轉,08450000
RPWQMLQLLHIFFAO07DB,民主段,33.22,都市：住,10000,245,持分移轉,08450000
RPPRMLQLLHIFFAO09DB,民主段,29.56,都市：住,10000,218,持分移轉,08450000
RPXQMLQLLHIFFAO17DB,民主段,33.22,都市：住,10000,245,持分移轉,08450000
RPQRMLQLLHIFFAO56DB,民主段,33.22,都市：住,10000,245,持分移轉,08450000
RPSRMLQLLHIFFAO76DB,民主段,33.22,都市：住,10000,245,持分移轉,08450000
RPRRMLQLLHIFFAO66DB,民主段,32.95,都市：住,10000,243,持分移轉,08450000
RPTOMLRLLHIFFAO66DB,民主段,29.83,都市：住,10000,220,持分移轉,08450000
RPWOMLRLLHIFFAO96DB,民主段,29.56,都市：住,10000,218,持分移轉,08450000
RPWPMLRLLHIFFAO07DB,東明段,26.22,都市：其他:科技商務區,100000,1178,持分移轉,05190000
RPTRMLQLLHIFFAO86DB,民主段,29.56,都市：住,10000,218,持分移轉,08450000
RPOPMLRLLHIFFAO88DB,民主段,33.22,都市：住,10000,245,持分移轉,08450000
RPTPMLRLLHIFFAO76DB,東明段,23.46,都市：其他:科技商務區,100000,1054,持分移轉,05190000
RPRPMLRLLHIFFAO56DB,民主段,37.83,都市：住,10000,279,持分移轉,08450000
RPQPMLRLLHIFFAO09DB,民主段,42.85,都市：住,10000,316,持分移轉,08450000
RPSQMLRLLHIFFAO76DB,東明段,27.16,都市：其他:科技商務區,100000,1220,持分移轉,05190000
RPRQMLRLLHIFFAO66DB,東明段,23.46,都市：其他:科技商務區,100000,1054,持分移轉,05190000
RPVQMLRLLHIFFAO07DB,東明段,26.69,都市：其他:科技商務區,100000,1199,持分移轉,05190000
RPORMLRLLHIFFAO09DB,東明段,27.16,都市：其他:科技商務區,100000,1220,持分移轉,05190000
RPTQMLRLLHIFFAO86DB,民主段,37.83,都市：住,10000,279,持分移轉,08450000
RPXQMLRLLHIFFAO27DB,東明段,23.46,都市：其他:科技商務區,100000,1054,持分移轉,05190000
RPQQMLRLLHIFFAO56DB,東明段,26.22,都市：其他:科技商務區,100000,1178,持分移轉,05190000
RPRRMLRLLHIFFAO76DB,東明段,29.92,都市：其他:科技商務區,100000,1344,持分移轉,05190000
RPQRMLRLLHIFFAO66DB,東明段,27.16,都市：其他:科技商務區,100000,1220,持分移轉,05190000
RPTRMLRLLHIFFAO96DB,民主段,29.56,都市：住,10000,218,持分移轉,08450000
RPURMLRLLHIFFAO07DB,民主段,29.83,都市：住,10000,220,持分移轉,08450000
RPPSMLRLLHIFFAO66DB,民主段,32.95,都市：住,10000,243,持分移轉,08450000
RPQSMLRLLHIFFAO76DB,東明段,27.16,都市：其他:科技商務區,100000,1220,持分移轉,05190000
RPVRMLRLLHIFFAO17DB,東明段,27.16,都市：其他:科技商務區,100000,1220,持分移轉,05190000
RPXRMLRLLHIFFAO37DB,民主段,29.56,都市：住,10000,218,持分移轉,08450000
RPRSMLRLLHIFFAO86DB,民主段,32.95,都市：住,10000,243,持分移轉,08450000
RPWRMLRLLHIFFAO27DB,東明段,27.16,都市：其他:科技商務區,100000,1220,持分移轉,05190000
