編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLLJKHIFFAO38CC,北門段,.00,都市：住,,,,21460002
RPRNMLMJKHIFFAO18CC,成功段,.00,都市：住,,,,00880005
RPVNMLOJKHIFFAO78CC,聚吉段,.00,都市：商,,,,00120000
RPVQMLPJKHIFFAO66DC,復中段,.00,都市：商,,,,03660000
RPWQMLPJKHIFFAO76DC,聚吉段,.00,都市：商,,,,00520001
RPUNMLPJKHIFFAO78CC,舊社段,.00,都市：住,,,,01180021
RPWNMLQJKHIFFAO09CC,成功段,.00,都市：商,,,,02820000
RPVSMLQJKHIFFAO86CC,民富段,.00,都市：住,,,,14320004
RPWQMLQJKHIFFAO76CC,復中段,11.00,都市：商,,,,03660000
RPSPMLRJKHIFFAO98CC,武陵段,.00,都市：住,,,,03160003
RPRPMLRJKHIFFAO88CC,中華段,.00,都市：住,,,,03730001
RPRPMLRJKHIFFAO88CC,中華段,.00,都市：住,,,,03740000
RPRPMLRJKHIFFAO88CC,中華段,.00,都市：住,,,,03740001
RPSRMLRJKHIFFAO56CC,東明段,.00,都市：住,,,,08790000
RPTRMLRJKHIFFAO66CC,中雅段,.00,都市：住,,,,01610005
RPOPMLSJKHIFFAO68CC,柴橋段,.00,都市：其他:,,,,08260000
RPVOMLSJKHIFFAO66CC,三姓段,.00,都市：工,,,,03980000
RPVOMLSJKHIFFAO66CC,三姓段,.00,都市：工,,,,03990000
RPQPMLSKKHIFFAO98CC,光華段,.00,都市：住,,,,11540000
RPXRMLSJKHIFFAO27DC,中華段,24.68,都市：其他:科技商務區,,,,01190000
RPPSMLPJKHIFFAO88DC,民富段,.00,都市：商,,,,27210000
RPRSMLPJKHIFFAO09DC,中山段三小段,.00,都市：商,,,,00960001
RPRSMLPJKHIFFAO09DC,中山段三小段,.00,都市：商,,,,00970000
RPSRMLPJKHIFFAO09DC,南門段一小段,.00,都市：商,,,,00980000
RPSRMLPJKHIFFAO09DC,南門段一小段,.00,都市：商,,,,00980003
RPSRMLPJKHIFFAO09DC,南門段一小段,.00,都市：商,,,,00980005
RPRRMLPJKHIFFAO98DC,中山段三小段,.00,都市：商,,,,02790000
RPWRMLPJKHIFFAO86DC,南門段四小段,.00,都市：商,,,,01310002
RPORMLPJKHIFFAO68DC,聚吉段,.00,都市：商,,,,00740000
RPOSMLPJKHIFFAO78DC,復中段,.00,都市：商,,,,03660000
RPVRMLPJKHIFFAO76DC,曲溪段,.00,都市：住,,,,00380000
RPPOMLTKKHIFFAO09EC,長春段,.02,都市：住,,,,03180001
RPPOMLTKKHIFFAO09EC,長春段,.34,都市：住,,,,03210000
RPPOMLTKKHIFFAO09EC,長春段,15.83,都市：住,,,,06460000
RPUQMLQLKHIFFAO76CC,復中段,.00,都市：商,,,,06030000
RPUPMLQLKHIFFAO66CC,東門段一小段,.00,都市：住,,,,00030005
RPVOMLPLKHIFFAO56CC,自由段,.00,都市：住,,,,08880008
RPSOMLPLKHIFFAO88CC,復中段,.00,都市：住,,,,05720003
RPROMLRLKHIFFAO98CC,光鎮段,176.66,都市：住,,,,01990000
RPPPMLLLKHIFFAO28CC,曲溪段,.00,都市：住,,,,00340000
RPOPMLKLKHIFFAO08CC,中山段二小段,94.00,都市：商,,,,00190000
RPPPMLNLKHIFFAO48CC,中山段二小段,.00,非都市： ; 非都市編定：,,,,00660000
RPPOMLTKKHIFFAO88CC,和平段,.00,都市：住,,,,04500000
RPUNMLMLKHIFFAO68CC,光華段,.00,都市：商,,,,12390000
RPPNMLSLKHIFFAO78CC,民主段,.00,都市：住,,,,03790000
RPQNMLSLKHIFFAO88CC,舊社段,.00,都市：住,,,,00490003
RPUOMLRLKHIFFAO66CC,民主段,.00,都市：住,,,,02220000
RPRNMLSLKHIFFAO98CC,東門段一小段,5.07,都市：商,,,,00030005
RPPQMLLJLHIFFAO38DC,光復段,32.66,都市：住,,,,13020000
RPVPMLRJLHIFFAO86DC,中央段,.00,都市：住,,,,03210000
RPOQMLRJLHIFFAO88DC,聚吉段,.00,都市：商,,,,00520001
RPRNMLMJLHIFFAO28CC,長春段,.00,非都市： ; 非都市編定：,,,,16480001
RPQQMLRJLHIFFAO09DC,柴橋段,.00,都市：其他:甲三風,,,,08260000
RPXPMLRJLHIFFAO07DC,南湖段,.00,都市：其他:南湖,,,,04240000
RPSPMLSJLHIFFAO56CC,西門段一小段,.00,都市：住,,,,01640000
RPUPMLSJLHIFFAO76CC,東光段,.00,都市：其他:複商,,,,04150000
RPQPMLSJLHIFFAO98CC,武陵段,.00,都市：住,,,,03160000
RPRPMLSJLHIFFAO09CC,中央段,.00,都市：住,,,,00280000
RPRPMLSJLHIFFAO09CC,中央段,.00,都市：住,,,,00280001
RPVQMLSJLHIFFAO96CC,榮光段三小段,.00,都市：商,,,,00040049
RPVQMLSJLHIFFAO96CC,榮光段三小段,.00,都市：商,,,,00040050
RPVQMLSJLHIFFAO96CC,榮光段三小段,.00,都市：商,,,,00040051
RPVUMLOKLHIFFAO07CC,中山段三小段,.00,都市：商,,,,02410000
RPVUMLOKLHIFFAO07CC,中山段三小段,.00,都市：商,,,,02410001
RPOPMLLKLHIFFAO18CC,介壽段,.00,都市：住,,,,05210000
RPPPMLLKLHIFFAO28CC,中雅段,.00,都市：住,,,,00960001
RPXOMLLKLHIFFAO98CC,高翠段,.00,都市：住,,,,02000000
RPOQMLTKLHIFFAO09CC,西門段二小段,.00,都市：住,,,,01190002
RPQQNLSKLHIFFAO66CC,光復段,.00,都市：工,,,,12830001
RPPRNLLLLHIFFAO68CC,北門段,.00,都市：住,,,,11230000
RPSRMLMLLHIFFAO98CC,南華段,.00,都市：住,,,,00580033
RPTPMLTKLHIFFAO86CC,福林段,.00,都市：住,,,,06130013
RPTQMLTKLHIFFAO96CC,信義段,.00,都市：住,,,,07640000
RPTWNLKLLHIFFAO86CC,長春段,.00,都市：住,,,,16030000
RPWPMLQLLHIFFAO96CC,和平段,.00,都市：住,,,,01080000
RPORMLPLLHIFFAO88CC,東山段一小段,.00,都市：住,,,,02670000
RPQPMLQLLHIFFAO09DC,長春段,.00,非都市： ; 非都市編定：,,,,16480001
RPTQMLRJLHIFFAO76DC,聚吉段,.00,都市：商,,,,00550000
RPUQMLRJLHIFFAO76CC,自由段,.00,都市：住,,,,04530035
RPUOMLQJLHIFFAO09CC,中華段,.00,都市：其他:科技商務,,,,01190000
RPWQMLPLLHIFFAO07DC,復中段,32.65,非都市： ; 非都市編定：,,,,08300000
RPRQMLRJLHIFFAO56DC,武陵段,.00,都市：住,,,,01760007
RPSQMLRJLHIFFAO66DC,復中段,.00,都市：商,,,,03660000
RPTQMLTLLHIFFAO07CC,中央段,.00,非都市： ; 非都市編定：,,,,06870000
RPUPMLNJMHIFFAO98CC,復中段,.00,非都市： ; 非都市編定：,,,,08300000
RPSOMLNJMHIFFAO68CC,中央段,.00,非都市： ; 非都市編定：,,,,01420000
RPTRMLTLLHIFFAO17CC,武陵段,.00,都市：住,,,,11270007
RPROMLNJMHIFFAO58CC,聚吉段,.00,非都市： ; 非都市編定：,,,,00560008
RPQOMLNJMHIFFAO48CC,長春段,.00,非都市： ; 非都市編定：,,,,13410005
RPRPMLNJMHIFFAO68CC,光華段,.00,非都市： ; 非都市編定：,,,,12390000
RPSOMLMJMHIFFAO58CC,東山段一小段,.00,都市：住,,,,01750000
RPQPMLLJMHIFFAO38CC,和平段,.00,都市：住,,,,04500000
RPUQMLNJMHIFFAO09CC,國道段,.00,都市：住,,,,11170000
RPOQMLLJMHIFFAO28CC,金山段,.00,都市：住,,,,09150007
RPXPMLNJMHIFFAO76DC,復中段,.00,都市：商,,,,03660000
RPRQMLNJMHIFFAO88DC,復中段,.00,都市：商,,,,03660000
RPPQMLNJMHIFFAO68DC,復中段,.00,都市：商,,,,03660000
RPTQMLNJMHIFFAO09DC,武陵段,.00,都市：住,,,,05750000
RPXQMLNJMHIFFAO86DC,國道段,.00,都市：住,,,,10960000
RPTOMLSJMHIFFAO66CC,中央段,.00,都市：住,,,,09040000
RPRPMLLKMHIFFAO58CC,前溪段,.00,都市：住,,,,00030000
