編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLLJKHIFFBQ48CC,嘉朴段,15.20,都市：住,,,,02620000
RPQNMLLJKHIFFBQ28CC,嘉朴段,15.17,都市：住,,,,02620000
RPPNMLTJMHIFFBQ56CC,嘉朴段,5758.57,都市：住,,,,02620000
RPQNMLQJKHIFFBQ78CC,文化段,85.00,非都市： ; 非都市編定：,,,,02940000
RPSNMLTJMHIFFDQ27EC,中庄段,66.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,15260000
RPSNMLTJMHIFFDQ27EC,中庄段,37.10,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,15270000
RPVNMLKMMHIFFBQ56CC,大鄉段,88.07,都市：住,,,,05090000
RPRNMLOJLHIFFBQ78CC,嘉朴段,718.00,都市：商,,,,02350000
RPRNMLMKLHIFFBQ68CC,鎮安段,2467.10,都市：住,,,,17980001
RPUNMLTJMHIFFBQ27EC,嘉朴段,5758.57,都市：住,,,,02620000
RPQNMLOJLHIFFBQ68CC,嘉朴段,5758.57,都市：住,,,,02620000
RPQNMLTJMHIFFBQ66CC,嘉朴段,111.50,都市：住,,,,01520049
RPPNMLPKMHIFFBQ88CC,嘉朴段,5758.57,都市：住,,,,02620000
