編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLLJKHIFFCT68CC,內田段,115.18,都市：住,,,,00540000
RPPOMLLJKHIFFCT68CC,內田段,.23,都市：住,,,,00540001
RPPOMLLJKHIFFCT68CC,內田段,45.12,都市：住,,,,00550000
RPSNMLPJKHIFFAT56DC,斯文段,81.00,都市：商,,,,02120003
RPPOMLQJKHIFFAT98CC,斯文段,87.00,都市：住,,,,10880005
RPPOMLQJKHIFFAT98CC,斯文段,76.00,都市：住,,,,11070027
RPPNMLPKKHIFFDT56CC,壽元段,99.17,非都市：一般農業區 ; 非都市編定：農牧用地,,,,03660000
RPRPMLLJKHIFFAT78CC,街頭段六小段,77.00,都市：住,,,,02090000
RPRPMLLJKHIFFAT78CC,街頭段六小段,6.00,都市：住,,,,02090001
RPWPMLPJKHIFFAT17DC,忠孝段,86.57,都市：住,,,,03370000
RPTNMLPLKHIFFDT07CC,新仁段,.00,都市：住,,,,00140003
RPWOMLNLKHIFFAT07DC,新街段一小段,165.00,都市：商,,,,05660000
RPWOMLRLKHIFFAT47DC,斯文段,81.00,都市：商,,,,02120003
RPSNMLKLKHIFFAT78CC,九如段,462.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,16770001
RPSNMLRJLHIFFAT86DC,林內段,45.60,都市：住,,,,14240000
RPROMLRJLHIFFAT76CC,龍華段,1595.00,都市：農,,,,01320000
RPTNMLPKLHIFFDT07CC,東港段,17.00,都市：其他:,,,,01370000
RPTNMLSJLHIFFCT17CC,永春段,79.29,都市：其他:,,,,01070000
RPTOMLKLLHIFFCT66CC,中山段,15.54,都市：住,,,,07280000
RPSNMLSJLHIFFAT86CC,灰?段,98.00,都市：住,,,,06440000
RPPOMLKLLHIFFAT68CC,豐田段,28.21,都市：其他:,,,,03240000
RPUNMLSJLHIFFCT27CC,中山段,86.05,都市：住,,,,03030000
RPROMLKLLHIFFAT88CC,豐田段,89.03,都市：住,,,,04010002
RPWNMLKLLHIFFAT66CC,豐田段,23.37,都市：住,,,,03310000
RPUPMLQKMHIFFAT37DC,灰?段,78.00,都市：住,,,,22420022
RPRNMLSJMHIFFDT17CC,新義段,60.72,都市：住,,,,00910060
RPRNMLSJMHIFFDT17CC,新義段,5.52,都市：住,,,,00910080
RPTNMLRLLHIFFCT27CC,中洲段,38.26,都市：住,,,,00300000
RPTOMLRKMHIFFAT27DC,豐田段,1230.00,都市：住,,,,03310000
RPUNMLQLLHIFFAT07CC,水源段一小段,82.00,都市：住,,,,00180004
RPTOMLNJMHIFFAT66CC,溝美段,100.00,都市：住,,,,02150005
RPTNMLRLLHIFFAT07CC,萬年段,17.00,都市：住,,,,04960004
RPTNMLRLLHIFFAT07CC,萬年段,85.00,都市：住,,,,04960008
RPUOMLSKMHIFFCT57CC,蓬萊段,65.48,都市：住,,,,04690000
RPVOMLRJKHIFFCT37DC,新光華段,92.86,都市：其他:,,,,00670000
RPVOMLRJKHIFFCT37DC,新光華段,20.65,都市：其他:,,,,00680000
RPVOMLRJKHIFFCT37DC,新光華段,25.95,都市：其他:,,,,00690000
