編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWOMLLJKHIFFAU76DC,國風段,87.00,都市：住,,,,05520004
RPOPMLLJKHIFFAU68DC,宜昌段,77.00,都市：住,,,,07120000
RPQPMLLJKHIFFAU88DC,民孝段,139.00,都市：住,,,,00370003
RPXOMLLJKHIFFAU86DC,自強段,44.50,都市：住,,,,00450000
RPPPMLLJKHIFFAU78DC,民孝段,34.53,都市：住,,,,00610000
RPWOMLOJKHIFFAU17EC,碧雲段,113.00,都市：住,,,,00040005
RPWNMLRJKHIFFAU17CC,莊敬段,24.25,都市：住,,,,07480000
RPQNMLQJKHIFFAU09CC,國風段,18.60,都市：住,,,,05520013
RPRNMLQJKHIFFAU56CC,樹人段,45.77,都市：住,,,,06150000
RPQPMLPJKHIFFAU56CC,富國段,41.40,都市：住,,,,02760000
RPROMLMJKHIFFAU88CC,富國段,3.33,都市：商,,,,03090000
RPQOMLOJKHIFFAU98CC,莊敬段,22.37,都市：住,,,,02580000
RPPOMLOJKHIFFAU88CC,稻園段,17.13,都市：住,,,,04160002
RPPOMLOJKHIFFAU88CC,稻園段,103.07,都市：住,,,,04160000
RPVNMLRJKHIFFAU07CC,莊敬段,24.25,都市：住,,,,07480000
RPQOMLRJKHIFFAU66CC,主權段,170.00,都市：商,,,,06770000
RPQOMLLLKHIFFAU09EC,裕民段,14.23,都市：住,,,,05400000
RPWOMLOJKHIFFAU96CC,宜昌段,9.41,都市：住,,,,04550000
RPXOMLOJKHIFFAU07CC,宜昌段,9.41,都市：住,,,,04550000
RPUNMLPLKHIFFAU07DC,主權段,27.00,都市：商,,,,05660002
RPUNMLPLKHIFFAU07DC,主權段,27.00,都市：商,,,,05660003
RPVNMLPLKHIFFAU17DC,樹人段,13.01,都市：商,,,,06350000
RPXNMLPLKHIFFAU37DC,北濱段,23.42,都市：住,,,,13550000
RPPOMLPLKHIFFAU66DC,富國段,10.06,都市：商,,,,01290000
RPQOMLPLKHIFFAU76DC,民意段,23.37,都市：住,,,,08190000
RPROMLPLKHIFFAU86DC,仁禮段,16.19,都市：住,,,,02070000
RPPNMLMLKHIFFAU78CC,福祥段,69.00,都市：住,,,,08180000
RPPNMLSLKHIFFAU76CC,富國段,22.37,都市：商,,,,01690000
RPROMLLLKHIFFAU98CC,林森段,121.00,都市：商,,,,10240000
RPROMLLLKHIFFAU98CC,林森段,20.00,都市：商,,,,10240002
RPQOMLLLKHIFFAU88CC,興海段,106.51,都市：住,,,,10340001
RPSOMLLLKHIFFAU09CC,光學段,219.27,非都市：一般農業區 ; 非都市編定：甲種建築用地,,,,07500000
RPQOMLKLKHIFFAU78CC,嘉南段,406.00,都市：住,,,,06420000
RPTNMLLLKHIFFAU09CC,福安段,4.09,都市：住,,,,19340000
RPPQMLRJKHIFFAU76CC,民德段,128.00,都市：住,,,,00390046
RPQNMLSLKHIFFAU86CC,民勤段,45.72,都市：住,,,,04300000
RPSOMLRJKHIFFAU86CC,主商段,6.15,都市：住,,,,02430000
RPOOMLMLKHIFFAU78CC,吉興段,99.95,都市：住,,,,01340005
RPVNMLLKLHIFFAU86EC,國光段,2.60,都市：商,,,,00450000
RPTNMLSLKHIFFAU17CC,富國段,16.53,都市：其他:倉儲,,,,00040001
RPSNMLSLKHIFFAU07CC,富國段,9.44,都市：住,,,,01380000
RPQNMLPKLHIFFAU56CC,富國段,10.36,都市：商,,,,02170000
RPUNMLSJLHIFFAU17CC,富國段,3.11,都市：住,,,,01900003
RPUNMLSJLHIFFAU17CC,富國段,4.66,都市：住,,,,01900004
RPVNMLOKLHIFFAU96CC,富國段,10.22,都市：商,,,,00320000
RPVNMLOKLHIFFAU96CC,富國段,10.22,都市：商,,,,00320000
RPUNMLLKLHIFFAU56CC,慈濟段,2593.63,都市：農,,,,00100000
RPROMLSJLHIFFAU96CC,裕民段,18.07,都市：住,,,,04350000
RPTNMLLKLHIFFAU09CC,吉興段,93.82,都市：住,,,,01190008
RPQNMLSKLHIFFAU86CC,裕民段,20.35,都市：住,,,,03210000
RPRNMLLKLHIFFAU88CC,富國段,28.26,都市：住,,,,00400000
RPTNMLSJLHIFFAU07CC,自強段,30.69,都市：住,,,,00700000
RPXNMLSKLHIFFAU77EC,富國段,40.31,都市：商,,,,01310000
RPOOMLMLLHIFFAU98DC,莊敬段,14.07,都市：住,,,,01310000
RPWNMLMLLHIFFAU07DC,莊敬段,96.00,都市：住,,,,05550012
RPPNMLPKLHIFFAU09CC,富國段,14.76,都市：住,,,,01690000
RPUNMLMLLHIFFAU86DC,仁恥段,9.82,都市：住,,,,07100010
RPOOMLSKLHIFFAU76CC,國風段,96.00,都市：住,,,,16280007
RPPOMLMLLHIFFAU98CC,富國段,16.53,都市：其他:,,,,00040001
RPVOMLSKLHIFFAU47CC,南埔段,75.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,24380046
RPOPMLMLLHIFFAU09DC,富國段,15.04,都市：商,,,,00040001
RPSNMLSKLHIFFAU07CC,太昌段,90.00,都市：住,,,,07890008
RPQOMLMLLHIFFAU56DC,林森段,54.08,都市：住,,,,02040004
RPRPMLMLLHIFFAU66CC,自強段,103.00,都市：住,,,,01650003
RPXNMLSKLHIFFAU57CC,慶豐段,158.00,都市：商,,,,17700000
RPQNMLQLLHIFFAU76CC,福安段,21.29,都市：住,,,,05520000
RPTOMLSLLHIFFAU47DC,宜安段,22.59,都市：住,,,,07930000
RPVNMLPLLHIFFAU17CC,民意段,6.47,都市：住,,,,08690000
RPRNMLSLLHIFFAU07CC,自強段,9.29,都市：住,,,,02090000
RPVNMLSLLHIFFAU47CC,主權段,107.00,都市：商,,,,08680000
RPTNMLMJMHIFFAU56CC,林森段,1200.00,都市：商,,,,08010016
RPOOMLLJMHIFFAU68CC,裕民段,28.38,都市：住,,,,05590007
RPOOMLLJMHIFFAU68CC,裕民段,8.13,都市：住,,,,05590008
RPSOMLSLLHIFFAU27CC,民享段,110.00,都市：其他:空白,,,,09540000
RPPNMLPJMHIFFAU09CC,碧雲段,69.00,都市：住,,,,05910058
RPPNMLPJMHIFFAU09CC,碧雲段,11.94,都市：住,,,,05910051
RPSNMLMKMHIFFAU66DC,主權段,30.50,都市：商,,,,05690000
RPVNMLMKMHIFFAU96DC,主權段,43.79,都市：住,,,,13630000
RPUNMLMKMHIFFAU86DC,莊敬段,54.80,都市：住,,,,00890000
RPWNMLMKMHIFFAU07DC,福安段,12.72,都市：住,,,,19340000
RPUNMLSLLHIFFAU37CC,烏杙段,53.02,都市：農,,,,02960000
RPXNMLMKMHIFFAU17DC,北濱段,6.23,都市：商,,,,13040000
RPUOMLQLLHIFFAU47EC,自強段,13.80,都市：住,,,,04600003
RPPOMLMKMHIFFAU09DC,慈勝段,100.00,都市：住,,,,06680000
RPQNMLMKMHIFFAU09DC,仁義段,77.00,都市：住,,,,03520009
RPQOMLMKMHIFFAU56DC,明義段,67.50,都市：商,,,,09710000
RPWOMLTKMHIFFAU77CC,富國段,558.00,都市：商,,,,04760000
RPVOMLPKMHIFFAU27CC,太昌段,133.00,都市：住,,,,21120000
RPUOMLTKMHIFFAU57CC,明義段,332.00,都市：商,,,,11440000
RPUOMLTKMHIFFAU57CC,明義段,17.00,都市：商,,,,11440001
RPUOMLTKMHIFFAU57CC,明義段,345.00,都市：商,,,,11450000
RPUOMLTKMHIFFAU57CC,明義段,3.00,都市：商,,,,11450002
RPVOMLTKMHIFFAU67CC,民享段,50.00,都市：住,,,,05000000
RPUOMLPKMHIFFAU17CC,民意段,16.20,都市：住,,,,08190000
RPQPMLMKMHIFFAU56CC,慶豐段,125.00,都市：住,,,,02050003
RPVOMLMLMHIFFAU07CC,自強段,109.00,都市：住,,,,04840002
RPRPMLMKMHIFFAU66CC,慶豐段,111.00,都市：住,,,,01090009
RPVNMLSJMHIFFAU37CC,自強段,108.00,都市：住,,,,03050000
RPXOMLTKMHIFFAU08EC,國風段,184.00,都市：住,,,,13270000
RPOPMLTKMHIFFAU27EC,嘉南段,73.00,都市：商,,,,03580000
RPOPMLKMMHIFFAU56EC,民勤段,111.00,都市：住,,,,09840001
RPOOMLMLMHIFFAU98CC,德安段,64.00,都市：住,,,,03250000
RPSOMLMLMHIFFAU96EC,碧雲段,82.00,都市：住,,,,05380000
RPOPMLMLMHIFFAU09CC,民意段,10.59,都市：住,,,,08190000
RPQOMLQLMHIFFAU07DC,慶豐段,9.04,都市：住,,,,02930000
RPVPMLKMMHIFFAU27EC,主權段,156.00,都市：住,,,,03520000
RPTOMLQLMHIFFAU37DC,德安段,22.17,都市：住,,,,14880000
RPPOMLTLMHIFFAU27DC,主權段,18.24,都市：住,,,,07850000
RPVOMLQLMHIFFAU57DC,國風段,86.00,都市：住,,,,05680000
RPPNMLRLMHIFFAU86CC,主權段,133.00,都市：商,,,,08480000
RPPPMLKMMHIFFAU66EC,富國段,15.04,都市：其他:倉儲區,,,,00040001
