鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
金寧鄉,土地,寧湖三劃段214地號,1000.0,農,,,1020117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5100000,5100,,0.0,0,,RPWPMLOJKHIFFAW07CA,0.0,0.0,0.0,,
金寧鄉,土地,寧安二劃段437地號,576.0,農,,,1020114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,2778,,0.0,0,,RPOQMLOJKHIFFAW98CA,0.0,0.0,0.0,,
金城鎮,房地(土地+建物),金門縣金寧鄉大學路５３巷６弄１７號三樓,15.55,農,,,1011230,土地2建物1車位0,三層,三層,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0981222,28.29,1,1,1,有,無,1600000,56557,,0.0,0,,RPXNMLMLKHIFFAW96CA,21.55,0.0,0.0,,
金城鎮,房地(土地+建物),金門縣金寧鄉大學路５３巷６弄９號三樓,22.15,農,,,1011230,土地2建物1車位0,三層,三層,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0981222,39.7,1,1,1,有,無,1750000,44081,,0.0,0,,SPXNMLMLKHIFFAW07CA,28.39,0.0,1.66,,
金城鎮,房地(土地+建物),金門縣金寧鄉大學路５３巷６弄１７號,15.55,農,,,1011230,土地2建物1車位0,一層,三層,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,0981222,28.29,1,1,1,有,無,1600000,56557,,0.0,0,,RPOOMLMLKHIFFAW78CA,21.55,0.0,0.0,,
金湖鎮,土地,新頭段735-12地號,235.02,住,,,1011231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3760000,15999,,0.0,0,,RPQNMLLJLHIFFAW68CA,0.0,0.0,0.0,,
金湖鎮,土地,新頭段740-44地號,344.04,住,,,1011231,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,15987,,0.0,0,,RPRNMLLJLHIFFAW78CA,0.0,0.0,0.0,,
金寧鄉,土地,青山段1081地號,493.2,其他,,,1020118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4000000,8110,,0.0,0,,RPQNMLPJKHIFFAW98CA,0.0,0.0,0.0,,
金沙鎮,土地,沙宅劃段517地號,333.33,農,,,1020125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,2100,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLPJKHIFFAW09CA,0.0,0.0,0.0,,
金城鎮,土地,庵前劃測段475地號,738.5,農,,,1020125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,1760,,0.0,0,親友關係間之交易。,RPTNMLPJKHIFFAW66CA,0.0,0.0,0.0,,
金沙鎮,土地,榮湖段323地號,1066.77,農,,,1020109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1792173,1680,,0.0,0,,RPVNMLPJKHIFFAW86CA,0.0,0.0,0.0,,
金沙鎮,土地,榮湖段315地號,734.68,農,,,1020109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1234262,1680,,0.0,0,,RPWNMLPJKHIFFAW96CA,0.0,0.0,0.0,,
