編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXNMLMLKHIFFAW96CA,北一段,12.80,都市：農,30000,573,持分移轉,00230000
RPOQMLOJKHIFFAW98CA,寧安二劃段,576.00,都市：農,5,3,持分移轉,04370000
RPWPMLOJKHIFFAW07CA,寧湖三劃段,1000.00,都市：農,1,1,全筆移轉,02140000
RPXNMLMLKHIFFAW96CA,北一段,2.75,都市：農,30000,573,持分移轉,00230002
RPQNMLLJLHIFFAW68CA,新頭段,235.02,都市：住,1,1,全筆移轉,07350012
SPXNMLMLKHIFFAW07CA,北一段,18.23,都市：農,30000,816,持分移轉,00230000
SPXNMLMLKHIFFAW07CA,北一段,3.92,都市：農,30000,816,持分移轉,00230002
RPQNMLPJKHIFFAW98CA,青山段,246.60,都市：其他:自然村專用區.農業區,2,1,持分移轉,10810000
RPRNMLLJLHIFFAW78CA,新頭段,344.04,都市：住,1,1,全筆移轉,07400044
RPQNMLPJKHIFFAW98CA,青山段,246.60,都市：其他:自然村專用區.農業區,2,1,持分移轉,10810000
RPRNMLPJKHIFFAW09CA,沙宅劃段,333.33,都市：農,3,1,持分移轉,05170000
RPTNMLPJKHIFFAW66CA,庵前劃測段,738.50,都市：農,2,1,持分移轉,04750000
RPOOMLMLKHIFFAW78CA,北一段,12.80,都市：農,30000,573,持分移轉,00230000
RPOOMLMLKHIFFAW78CA,北一段,2.75,都市：農,30000,573,持分移轉,00230002
RPWNMLPJKHIFFAW96CA,榮湖段,734.68,都市：農,1,1,全筆移轉,03150000
RPXNMLPJKHIFFAW07CA,山西段,143.41,都市：其他:機關用地,1,1,全筆移轉,11520000
RPXNMLPJKHIFFAW07CA,山西段,247.39,都市：其他:機關用地,1,1,全筆移轉,11550000
RPXNMLPJKHIFFAW07CA,山西段,316.80,都市：其他:機關用地,1,1,全筆移轉,11620000
RPXNMLPJKHIFFAW07CA,山西段,308.93,都市：其他:保護區/ 機關用地,1,1,全筆移轉,11720000
RPXNMLPJKHIFFAW07CA,山西段,233.88,都市：其他:保護區/ 機關用地,1,1,全筆移轉,14830001
RPVNMLPJKHIFFAW86CA,榮湖段,1066.77,都市：農,1,1,全筆移轉,03230000
RPXNMLRJKHIFFAW27CA,歐厝村段,254.00,都市：其他:生活發展用地及歷史風貌用地,1,1,全筆移轉,01650000
RPPOMLRJKHIFFAW56CA,東珩段,1310.43,都市：農,1,1,全筆移轉,03350000
RPPOMLRJKHIFFAW56CA,東珩段,880.72,都市：農,1,1,全筆移轉,03360000
RPTNMLRJKHIFFAW86CA,北一段,520.10,都市：農,20,16,持分移轉,02530000
RPTNMLRJKHIFFAW86CA,北一段,356.82,都市：農,20,16,持分移轉,02530022
RPTNMLRJKHIFFAW86CA,北一段,38.90,都市：農,20,16,持分移轉,02530024
RPUNMLRJKHIFFAW96CA,北一段,143.18,都市：農,10,6,持分移轉,02530001
RPUNMLRJKHIFFAW96CA,北一段,229.44,都市：農,10,6,持分移轉,02530023
RPVNMLMLKHIFFAW76CA,北一段,12.60,都市：農,30000,564,持分移轉,00230000
RPVNMLMLKHIFFAW76CA,北一段,2.71,都市：農,30000,564,持分移轉,00230002
SPVNMLMLKHIFFAW86CA,北一段,12.80,都市：農,30000,573,持分移轉,00230000
SPVNMLMLKHIFFAW86CA,北一段,2.75,都市：農,30000,573,持分移轉,00230002
RPOOMLPJKHIFFAW88CA,寧湖六劃段,1000.00,都市：農,1,1,全筆移轉,01150000
RPUNMLQJKHIFFAW86CA,寧湖三劃段,920.00,都市：農,1,1,全筆移轉,07310000
RPWNMLRJKHIFFAW17CA,北八劃段,1000.00,都市：農,1,1,全筆移轉,01670000
RPPNMLQJKHIFFAW98CA,安岐村段,201.00,都市：其他:自然村專用區,1,1,全筆移轉,02770000
RPTNMLLJLHIFFAW98CA,舊金城段,428.00,都市：農,1,1,全筆移轉,06890000
RPTNMLLJLHIFFAW98CA,舊金城段,138.00,都市：農,1,1,全筆移轉,06940000
RPTNMLLJLHIFFAW98CA,舊金城段,338.00,都市：農,1,1,全筆移轉,08760000
RPTNMLLJLHIFFAW98CA,舊金城段,130.00,都市：農,1,1,全筆移轉,12350000
RPVNMLSJLHIFFAW37DA,洪門港段,15.04,都市：其他:自然村專用區,553,18,持分移轉,00180000
RPVNMLSJLHIFFAW37DA,洪門港段,2.96,都市：其他:自然村專用區,553,18,持分移轉,00180006
RPVNMLSJLHIFFAW37DA,洪門港段,82.00,都市：其他:自然村專用區,1,1,全筆移轉,00180008
RPTNMLNLKHIFFAW66CA,庵邊段,502.00,都市：其他:自然村專用區、公園用地,1,1,全筆移轉,03340000
RPTNMLNLKHIFFAW66CA,庵邊段,339.00,都市：其他:自然村專用區、農業區,1,1,全筆移轉,03380000
RPTNMLNLKHIFFAW66CA,庵邊段,383.00,都市：其他:自然村專用區,1,1,全筆移轉,04010000
RPTNMLNLKHIFFAW66CA,太湖劃測段,667.11,都市：其他:甲種工業區、道路用地,1,1,全筆移轉,09040000
RPROMLQJKHIFFAW76DA,湖尾段,1011.18,都市：農,1,1,全筆移轉,05790000
RPSOMLQJKHIFFAW76CA,洪門港段,15.04,都市：其他:自然村專用區,553,18,持分移轉,00180000
RPSOMLQJKHIFFAW76CA,洪門港段,2.96,都市：其他:自然村專用區,553,18,持分移轉,00180006
RPSOMLQJKHIFFAW76CA,洪門港段,82.00,都市：其他:自然村專用區,1,1,全筆移轉,00180008
RPVOMLLLKHIFFAW76CA,英坑段,566.61,都市：農,1,1,全筆移轉,10930000
RPUNMLLJLHIFFAW09CA,寧湖二劃測段,147.33,都市：農,3,1,持分移轉,07390000
RPUNMLLJLHIFFAW09CA,寧湖二劃測段,125.49,都市：農,3,1,持分移轉,07750000
RPWOMLLLKHIFFAW86CA,英坑段,296.80,都市：農,1,1,全筆移轉,08940000
RPOPMLLLKHIFFAW78CA,英坑段,370.00,都市：農,1,1,全筆移轉,08940001
RPQNMLSKKHIFFAW76CA,沙港劃段,909.31,都市：農,1,1,全筆移轉,06890000
RPQNMLSKKHIFFAW76CA,沙港劃段,90.72,都市：其他:道路用地,1,1,全筆移轉,06890001
RPXOMLLLKHIFFAW96CA,古坵段,494.00,都市：農,1,1,全筆移轉,06350000
RPPPMLLLKHIFFAW88CA,烈濱劃測段,495.00,都市：農,1,1,全筆移轉,02500000
RPPPMLLLKHIFFAW88CA,庵下測段,896.32,都市：農,1,1,全筆移轉,01220000
RPWPMLLLKHIFFAW96CA,祥豐段,27.32,都市：住,100000,4735,持分移轉,00240000
RPQPMLLLKHIFFAW98CA,北九劃段,454.19,都市：其他:機關用地,1,1,全筆移轉,14210000
RPQPMLLLKHIFFAW98CA,北九劃段,85.81,都市：其他:道路用地,1,1,全筆移轉,14210001
RPTNMLPJLHIFFAW76CA,寧湖二劃測段,1000.01,都市：農,1,1,全筆移轉,04370000
RPSNMLPJLHIFFAW66CA,北二三劃測段,1000.01,都市：農,1,1,全筆移轉,03780000
RPQQMLLLKHIFFAW09CA,祥豐段,24.21,都市：住,100000,4196,持分移轉,00240000
RPOQMLLLKHIFFAW88CA,祥豐段,27.32,都市：住,100000,4735,持分移轉,00240000
RPPQMLLLKHIFFAW98CA,祥豐段,24.21,都市：住,100000,4196,持分移轉,00240000
RPXPMLLLKHIFFAW07CA,祥豐段,24.21,都市：住,100000,4196,持分移轉,00240000
RPPNMLMLKHIFFAW78CA,祥豐段,27.32,都市：住,100000,4735,持分移轉,00240000
RPQNMLMLKHIFFAW88CA,祥豐段,24.21,都市：住,100000,4196,持分移轉,00240000
RPSQMLLLKHIFFAW66CA,祥豐段,24.21,都市：住,100000,4196,持分移轉,00240000
RPRNMLSJLHIFFAW96DA,中一段,107.03,都市：其他:道路,3,1,持分移轉,03410001
