編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLSKKHIFFAX27CA,五德西段,30.76,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,05910000
RPUNMLSKKHIFFAX27CA,五德西段,55.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,06270000
RPUNMLSKKHIFFAX27CA,五德西段,90.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,06280000
RPUNMLSKKHIFFAX27CA,五德西段,8.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,06290000
RPOOMLOJKHIFFAX98DA,五福段,31.10,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,09050008
RPWNMLSKKHIFFAX57DA,文石段,158.07,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01620000
RPWNMLSKKHIFFAX57DA,文石段,53.53,非都市：一般農業區 ; 非都市編定：交通用地,8,1,持分移轉,01620004
RPOOMLSKKHIFFAX86DA,文石段,124.75,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01620008
RPOOMLSKKHIFFAX86DA,文石段,53.53,非都市：一般農業區 ; 非都市編定：交通用地,8,1,持分移轉,01620004
RPVNMLSKKHIFFAX47DA,文石段,161.22,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01620005
RPVNMLSKKHIFFAX47DA,文石段,53.53,非都市：一般農業區 ; 非都市編定：交通用地,8,1,持分移轉,01620004
RPQNMLTKKHIFFAX07DA,二崁南段,83.11,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10280000
RPRNMLRJKHIFFAX86DA,文光段,25.19,非都市： ; 非都市編定：,100000,304,持分移轉,00200000
RPRNMLRJKHIFFAX86DA,文光段,3.26,非都市： ; 非都市編定：,100000,304,持分移轉,00540000
RPQOMLRKKHIFFAX96DA,東衛段,616.08,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,03390000
RPSNMLSKKHIFFAX07CA,竹篙灣段,121.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉,15440000
RPWNMLOJKHIFFAX96CA,興崁段,543.08,非都市：一般農業區 ; 非都市編定：農牧用地,3,2,持分移轉,11820000
RPPNMLQJKHIFFAX56DA,東澳段,81.78,非都市： ; 非都市編定：,1,1,全筆移轉,10240000
RPPNMLQJKHIFFAX56DA,東澳段,42.32,非都市： ; 非都市編定：,1,1,全筆移轉,08430000
RPPNMLSJKHIFFAX66CA,光華段,44.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07630000
RPPOMLRKKHIFFAX86DA,鐵線段,242.68,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06230006
RPPOMLRKKHIFFAX86DA,鐵線段,35.43,非都市：一般農業區 ; 非都市編定：交通用地,8,1,持分移轉,06230005
RPUNMLRKKHIFFAX17CA,文石段,297.32,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05320000
RPUNMLRKKHIFFAX17CA,文石段,10.69,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,05330000
RPSNMLQJKHIFFAX76CA,青螺新段,376.70,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13570000
RPXNMLSKKHIFFAX67DA,文石段,160.94,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01620006
RPXNMLSKKHIFFAX67DA,文石段,53.53,非都市：一般農業區 ; 非都市編定：交通用地,8,1,持分移轉,01620004
RPSNMLSJKHIFFAX96CA,馬公段,40.00,非都市： ; 非都市編定：,1,1,全筆移轉,13390000
RPTNMLRKKHIFFAX07CA,中衛段,1178.01,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11080000
RPQNMLSKKHIFFAX86CA,竹篙灣段,1368.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10850000
RPSNMLRJKHIFFAX96DA,山水南段,11.94,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01700000
RPSNMLRJKHIFFAX96DA,山水南段,39.20,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01710000
RPSNMLRJKHIFFAX96DA,山水南段,233.13,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01720000
RPSNMLRJKHIFFAX96DA,山水南段,260.67,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01730000
RPSOMLRKKHIFFAX17DA,東衛段,984.30,非都市：一般農業區 ; 非都市編定：農牧用地,10000,4394,持分移轉,01170001
RPROMLRKKHIFFAX07DA,東衛段,550.07,非都市：一般農業區 ; 非都市編定：農牧用地,504,225,持分移轉,03390000
RPRNMLSJKHIFFAX86CA,馬公段,57.00,非都市： ; 非都市編定：,1,1,全筆移轉,13400000
RPWNMLRKKHIFFAX37CA,山水東段,2907.35,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06420000
RPTNMLQJKHIFFAX86CA,興崁段,942.05,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11420000
RPPNMLRJKHIFFAX56CA,興崁段,2003.63,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11360000
RPTNMLSKKHIFFAX17CA,埕東段,.83,非都市： ; 非都市編定：,10000,162,持分移轉,04490000
RPQNMLSJKHIFFAX76CA,機場段,414.19,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14040000
RPQNMLSJKHIFFAX76CA,機場段,414.19,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14040002
RPTNMLSKKHIFFAX17CA,埕東段,18.44,非都市： ; 非都市編定：,10000,162,持分移轉,04500000
RPVNMLRKKHIFFAX27CA,東衛段,491.36,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,16580000
RPVNMLRKKHIFFAX27CA,東衛段,491.36,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,16580000
RPVNMLRKKHIFFAX27CA,東衛段,216.91,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,16590000
RPVNMLRKKHIFFAX27CA,東衛段,216.91,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,16590000
RPTNMLSJKHIFFAX17DA,林投南段,218.07,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,08840000
RPPNMLTKKHIFFAX96DA,湖西南段,5.06,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03850001
RPWNMLKLKHIFFAX86DA,中衛段,1634.68,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16500000
RPUNMLLLKHIFFAX76DA,埕中段,20.25,非都市： ; 非都市編定：,1,1,全筆移轉,06120000
RPRNMLTKKHIFFAX07CA,文石段,132.30,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,12200007
RPRNMLTKKHIFFAX07CA,文石段,31.07,非都市：一般農業區 ; 非都市編定：交通用地,17,1,持分移轉,12200009
RPPNMLLLKHIFFAX88DA,東衛段,1232.15,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03390000
RPRNMLRKKHIFFAX86CA,四維段,61.15,非都市：一般農業區 ; 非都市編定：農牧用地,24,5,持分移轉,11240000
RPSNMLOKLHIFFAX76CA,烏崁新段,854.52,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16480000
RPSNMLOKLHIFFAX76CA,五德東段,1130.56,非都市：風景區 ; 非都市編定：農牧用地,1,1,全筆移轉,02000000
RPTNMLOKLHIFFAX86CA,烏崁新段,1060.67,非都市：一般農業區 ; 非都市編定：農牧用地,3,2,持分移轉,16490000
RPPNMLLJLHIFFAX78DA,文光段,31.40,非都市： ; 非都市編定：,100000,720,持分移轉,00570000
RPQNMLLKLHIFFAX98DA,山水北段,90.57,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04680000
RPQNMLLKLHIFFAX98DA,山水北段,178.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04790000
RPQNMLOJLHIFFAX56DA,山水南段,441.66,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08660000
RPRNMLLLKHIFFAX98CA,五福段,310.07,非都市：一般農業區 ; 非都市編定：農牧用地,1697,310,持分移轉,01420000
RPQNMLLLKHIFFAX88CA,四維段,741.16,非都市： ; 非都市編定：,30,13,持分移轉,12470000
RPSNMLLLKHIFFAX09CA,五福段,230.05,非都市：一般農業區 ; 非都市編定：農牧用地,1697,230,持分移轉,01420000
RPPNMLRLKHIFFAX76CA,通梁中段,39.12,非都市： ; 非都市編定：,1,1,全筆移轉,04770000
RPPNMLRLKHIFFAX76CA,通梁中段,872.95,非都市： ; 非都市編定：,1,1,全筆移轉,04780000
RPWNMLNLKHIFFAX17DA,林投北段,2046.45,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05590000
RPRNMLPLKHIFFAX86DA,五福段,11.15,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,03280001
RPQNMLQLKHIFFAX86DA,中衛段,1634.68,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16500000
RPUNMLOKLHIFFAX96CA,湖東新段,812.05,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12470000
RPUNMLOKLHIFFAX96CA,湖東新段,812.05,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12470000
RPUNMLOKLHIFFAX96CA,湖東新段,27.81,非都市：一般農業區 ; 非都市編定：交通用地,2,1,持分移轉,12480000
RPUNMLOKLHIFFAX96CA,湖東新段,27.81,非都市：一般農業區 ; 非都市編定：交通用地,2,1,持分移轉,12480000
RPUNMLOKLHIFFAX96CA,湖東新段,303.74,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12490000
RPUNMLOKLHIFFAX96CA,湖東新段,303.74,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12490000
RPUNMLOKLHIFFAX96CA,湖東新段,141.72,非都市：一般農業區 ; 非都市編定：交通用地,2,1,持分移轉,12500000
RPUNMLOKLHIFFAX96CA,湖東新段,141.72,非都市：一般農業區 ; 非都市編定：交通用地,2,1,持分移轉,12500000
RPUNMLOKLHIFFAX96CA,湖東新段,586.43,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12510000
RPUNMLOKLHIFFAX96CA,湖東新段,586.43,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12510000
RPUNMLOKLHIFFAX96CA,湖東新段,145.13,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12520000
RPUNMLOKLHIFFAX96CA,湖東新段,145.13,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12520000
RPUNMLOKLHIFFAX96CA,湖東新段,85.39,非都市：一般農業區 ; 非都市編定：交通用地,2,1,持分移轉,12530000
RPUNMLOKLHIFFAX96CA,湖東新段,85.39,非都市：一般農業區 ; 非都市編定：交通用地,2,1,持分移轉,12530000
RPUNMLOKLHIFFAX96CA,湖東新段,292.06,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12540000
RPUNMLOKLHIFFAX96CA,湖東新段,292.06,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12540000
RPUNMLOKLHIFFAX96CA,湖東新段,12.12,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12550000
RPUNMLOKLHIFFAX96CA,湖東新段,12.12,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12550000
RPUNMLOKLHIFFAX96CA,湖東新段,62.17,非都市：一般農業區 ; 非都市編定：交通用地,2,1,持分移轉,12560000
RPUNMLOKLHIFFAX96CA,湖東新段,62.17,非都市：一般農業區 ; 非都市編定：交通用地,2,1,持分移轉,12560000
RPUNMLOKLHIFFAX96CA,湖東新段,704.68,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12570000
RPUNMLOKLHIFFAX96CA,湖東新段,704.68,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,12570000
RPRNMLQLKHIFFAX96DA,五福段,89.58,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,05220002
RPPNMLQLKHIFFAX76DA,興仁南段,902.00,非都市： ; 非都市編定：殯葬用地,1,1,全筆移轉,00420000
RPPNMLQLKHIFFAX76DA,興仁南段,655.00,非都市： ; 非都市編定：殯葬用地,1,1,全筆移轉,00430000
RPPNMLQLKHIFFAX76DA,興仁南段,645.00,非都市： ; 非都市編定：殯葬用地,1,1,全筆移轉,00440000
RPPNMLQLKHIFFAX76DA,興仁南段,348.21,非都市： ; 非都市編定：殯葬用地,1,1,全筆移轉,00600000
RPPNMLNKLHIFFAX09DA,埕東段,7.15,非都市： ; 非都市編定：,10000,185,持分移轉,08560000
RPPNMLNKLHIFFAX09DA,埕東段,.12,非都市： ; 非都市編定：,10000,185,持分移轉,08600000
RPPNMLNKLHIFFAX09DA,埕東段,2.18,非都市： ; 非都市編定：,10000,185,持分移轉,08610000
RPPNMLNKLHIFFAX09DA,埕東段,17.18,非都市： ; 非都市編定：,10000,185,持分移轉,08640000
RPSNMLLKLHIFFAX09CA,五福段,189.15,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01430008
RPSNMLLKLHIFFAX09CA,五福段,38.16,非都市：一般農業區 ; 非都市編定：交通用地,8,1,持分移轉,01430010
RPSNMLLKLHIFFAX09CA,五福段,19.19,非都市：一般農業區 ; 非都市編定：交通用地,16,1,持分移轉,01620004
RPTNMLLKLHIFFAX56CA,大池角段,104.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11790000
RPQNMLRJLHIFFAX76CA,文光段,28.52,非都市： ; 非都市編定：,100000,654,持分移轉,00570000
RPWNMLLKLHIFFAX86CA,安宅段,1145.02,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07510000
RPUNMLLKLHIFFAX66CA,城北段,562.64,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,09910000
RPUNMLLKLHIFFAX66CA,城北段,562.64,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,09910000
RPRNMLRJLHIFFAX86CA,許家段,470.70,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06170001
