編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMLKHIFFAZ56DA,后沃段,86.61,都市：住,1,1,全筆移轉,01800000
RPQNMLLJLHIFFAZ09DA,清水段,1412.54,都市：其他:公園區,1,1,全筆移轉,13050000
RPQNMLLJLHIFFAZ09DA,清水段,912.92,都市：其他:保護區,1,1,全筆移轉,13050001
RPRNMLMLKHIFFAZ76DA,塘岐段,228.68,都市：住,6,5,持分移轉,02800000
RPPNMLMLLHIFFAZ66DA,介壽段,32.34,都市：農,1,1,全筆移轉,08910001
RPPNMLSJMHIFFAZ07CA,塘岐段,39.20,都市：其他:,1,1,全筆移轉,01950004
RPPNMLSJMHIFFAZ07CA,塘岐段,55.37,都市：住,2,1,持分移轉,02060001
RPPNMLSJMHIFFAZ07CA,塘岐段,19.16,都市：住,2,1,持分移轉,02060003
RPPNMLKKMHIFFAZ09DA,田沃段,314.84,都市：其他:,1,1,全筆移轉,08920000
RPPNMLTKMHIFFAZ37DA,介壽段,113.01,都市：住,1,1,全筆移轉,00280002
RPPNMLTJMHIFFAZ17CA,塘岐段,55.37,都市：住,2,1,持分移轉,02060001
RPPNMLTJMHIFFAZ17CA,塘岐段,19.16,都市：住,2,1,持分移轉,02060003
RPPNMLTJMHIFFAZ17CA,塘岐段,169.51,都市：其他:,1,1,全筆移轉,02020000
RPPNMLTJMHIFFAZ17CA,塘岐段,379.89,都市：其他:,1,1,全筆移轉,02020001
RPPNMLTJMHIFFAZ17CA,塘岐段,49.55,都市：其他:,1,1,全筆移轉,02020002
RPPNMLNKNHIFFAZ86DA,清水段,229.86,都市：其他:,1,1,全筆移轉,00240000
RPPNMLNKNHIFFAZ86DA,清水段,68.09,都市：其他:,1,1,全筆移轉,00280000
