編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLQJNHIFFAA37CA,25,39.84,住家用,鋼筋混凝土造,76年12月10日,五層,三層
RPROMLQJNHIFFAA37CA,25,2.53,共有部分,鋼筋混凝土造,76年12月10日,五層,
RPRRMLPKNHIFFAA67CA,,96.69,住家用,鋼筋混凝土造,102年1月3日,十一層,三層 陽臺 雨遮
RPRRMLPKNHIFFAA67CA,,13.45,共有部分，本共有部分之項目有機車停車空間、管理員室、台電配電室、管委會辦公空間、陽台、進〈排〉風管道、〈台電〉管道間、發電機進〈排〉風管道、機械室、機械室〈供電信使用〉、消防泵浦室、緊急發電機室等１２項。,鋼筋混凝土造,102年1月3日,十一層,
RPRRMLPKNHIFFAA67CA,,42.65,共有部分，本共有部分之項目有防空避難室兼停車空間、停車空間、車道等３項。,鋼筋混凝土造,102年1月3日,十一層,
RPRRMLPKNHIFFAA67CA,,23.25,共有部分，本共有部分之項目有梯廳、供行動不使用電梯、陽台、戶外安全梯、水箱〈二〉、樓梯間、機械室、屋頂水箱等８項。,鋼筋混凝土造,102年1月3日,十一層,
RPQNMLNJNHIFFBA96CA,1,.19,一般零售業甲組,鋼筋混凝土造,101年9月18日,十二層,一層
RPQNMLNJNHIFFBA96CA,1,.04,本共有部分之項目有梯廳、排煙室、管委會使用空間、陽台、水箱、消防水箱、機車停車空間、機電設備空間（排風機房）、排風管道、機電設備空間（進風機房）、進風管道、管理員室、機電設備空間、台電配電室、電錶室、梯間、一般安全梯、消防管道、消防泵浦室、機電設備空間（供電信使用）、機電設備空間（緊急發電機房）、行動不便昇降機、戶外安全梯、緊急昇降機、進氣管道、排氣管道、電梯機械室等２７項,鋼筋混凝土造,101年9月18日,十二層,
RPQNMLNJNHIFFBA96CA,1,12.40,本共有部分之項目有汽機車坡道、進風管道、外廊等３項,鋼筋混凝土造,101年9月18日,十二層,
RPQNMLNJNHIFFBA96CA,1,63.05,本共有部分之項目有停獎出入口、陽台、停車空間、防空避難室兼停車空間、獎勵停車位編號１至４４號、法定停車位編號４５至１４２號、梯間、停獎專用昇降機等８項,鋼筋混凝土造,101年9月18日,十二層,
RPQNMLMJNHIFFBA86CA,6,80.82,住家用,鋼筋混凝土造,95年10月16日,十三層,九層 陽臺
RPQNMLMJNHIFFBA86CA,6,16.38,共有部分,鋼筋混凝土造,95年10月16日,十三層,
RPQNMLMJNHIFFBA86CA,6,12.47,共有部分,鋼筋混凝土造,95年10月16日,十三層,
RPQNMLMJNHIFFBA86CA,6,40.38,共有部分,鋼筋混凝土造,95年10月16日,十三層,
RPWPMLLJNHIFFAA47CA,17,28.16,住家用,鋼筋混凝土造,85年5月3日,六層,四層 陽臺 花台
RPWPMLLJNHIFFAA47CA,17,13.83,見使用執照,鋼筋混凝土造,85年5月3日,六層,
RPWNMLMJNHIFFAA37CA,31,19.59,住家用,鋼筋混凝土造,70年11月19日,七層,六層 陽臺
RPWNMLMJNHIFFAA37CA,31,4.70,共有部分,鋼筋混凝土造,70年11月19日,七層,
RPWNMLMJNHIFFAA37CA,31,3.34,共有部分,鋼筋混凝土造,70年11月19日,七層,
RPXOMLNJNHIFFAA67CA,7,18.82,一般事務所,鋼筋混凝土造,94年12月29日,十五層,十一層 陽臺
RPXOMLNJNHIFFAA67CA,7,6.85,共有部分,鋼筋混凝土造,94年12月29日,十五層,
RPXOMLNJNHIFFAA67CA,7,2.45,共有部分,鋼筋混凝土造,94年12月29日,十五層,
RPQOMLNKNHIFFBA17CA,,86.57,,鋼筋混凝土造,,四層,一層 騎樓
RPQRMLMJNHIFFCA37CA,37,94.91,住家用,鋼筋混凝土造,65年3月3日,四層,四層 陽臺
RPXNMLQJNHIFFBA97CA,30,45.50,商業用,鋼筋混凝土造,71年10月16日,八層,一層 平台
RPXNMLQJNHIFFBA97CA,30,6.27,共有部分,鋼筋混凝土造,71年10月16日,八層,
RPOQMLOLNHIFFBA37CA,1,55.38,一般事務所,鋼筋混凝土造,101年6月1日,七層,一層
RPOQMLOLNHIFFBA37CA,1,25.72,本共有部分有台電配電場所、發電機房、消防機房、甲梯蓄水池、防空避難室兼停車空間、汽車車道、梯廳、電信機房、供行動不便者使用電梯、梯廳、垃圾儲存空間、消防蓄水池、管委會空間、樓梯、消防水箱、機械室、機車停車空間等１７項。,鋼筋混凝土造,101年6月1日,七層,
RPOPMLNJNHIFFBA96CA,18,72.00,住家用,鋼筋混凝土造,84年2月28日,十二層,七層 陽臺
RPOPMLNJNHIFFBA96CA,18,6.97,共有部分,鋼筋混凝土造,84年2月28日,十二層,
RPOPMLNJNHIFFBA96CA,18,15.89,共有部分,鋼筋混凝土造,84年2月28日,十二層,
RPROMLRJNHIFFBA57CA,,115.14,住家用,鋼筋混凝土造,,四層,四層 陽臺
RPROMLRJNHIFFBA57CA,,6.11,見使用執照,加強磚造,,四層,
RPQNMLNJNHIFFCA07CA,5,25.43,住家用,鋼筋混凝土造,97年1月4日,十二層,五層 陽臺 雨遮
RPQNMLNJNHIFFCA07CA,5,5.23,共有部分,鋼筋混凝土造,97年1月4日,十二層,
RPQNMLNJNHIFFCA07CA,5,7.97,共有部分,鋼筋混凝土造,97年1月4日,十二層,
RPWNMLNJNHIFFCA67CA,4,215.60,工業用,鋼筋混凝土造,98年1月16日,十層,八層 雨遮
RPWNMLNJNHIFFCA67CA,4,195.03,共有部分,鋼筋混凝土造,98年1月16日,十層,
RPWNMLNJNHIFFCA67CA,4,77.76,共有部分,鋼筋混凝土造,98年1月16日,十層,
RPWNMLNJNHIFFCA67CA,4,11.38,共有部分,鋼筋混凝土造,98年1月16日,十層,
RPWNMLNJNHIFFCA67CA,4,261.49,工業用,鋼筋混凝土造,98年1月16日,十層,八層 雨遮
RPWNMLNJNHIFFCA67CA,4,191.82,共有部分,鋼筋混凝土造,98年1月16日,十層,
RPWNMLNJNHIFFCA67CA,4,92.94,共有部分,鋼筋混凝土造,98年1月16日,十層,
RPWNMLNJNHIFFCA67CA,4,13.79,共有部分,鋼筋混凝土造,98年1月16日,十層,
RPOQMLLJNHIFFCA96CA,6,23.69,住家用,鋼筋混凝土造,96年6月21日,十二層,八層 陽臺
RPOQMLLJNHIFFCA96CA,6,1.81,共有部分,鋼筋混凝土造,96年6月21日,十二層,
RPOQMLLJNHIFFCA96CA,6,7.61,共有部分,鋼筋混凝土造,96年6月21日,十二層,
RPOQMLLJNHIFFCA96CA,6,4.39,共有部分,鋼筋混凝土造,96年6月21日,十二層,
RPTOMLNJNHIFFCA47CA,29,100.66,住家用,鋼筋混凝土造,72年10月4日,五層,五層 陽臺
RPROMLNJNHIFFCA27CA,13,79.10,住家用,鋼筋混凝土造,89年6月28日,十層,六層 陽臺
RPROMLNJNHIFFCA27CA,13,14.27,共有部分,鋼筋混凝土造,89年6月28日,十二層,
RPROMLNJNHIFFCA27CA,13,49.70,共有部分,鋼筋混凝土造,89年6月28日,十二層,
RPUQMLNJNHIFFCA77CA,6,30.09,商業用,鋼筋混凝土造,96年5月3日,九層,四層 陽臺 雨遮
RPUQMLNJNHIFFCA77CA,6,15.38,共有部分,鋼筋混凝土造,96年5月3日,九層,
RPQOMLNJNHIFFCA17CA,28,92.28,住家用,鋼筋混凝土造,74年1月11日,五層,二層 陽臺
RPQOMLNJNHIFFCA17CA,28,8.33,共有部分,鋼筋混凝土造,74年1月11日,五層,
RPSSMLNJNHIFFCA77CA,15,53.94,共有部分,鋼筋混凝土造,87年5月8日,九層,
RPSSMLNJNHIFFCA77CA,15,13.27,共有部分,鋼筋混凝土造,87年5月8日,九層,
RPSSMLNJNHIFFCA77CA,15,99.80,住家用,鋼筋混凝土造,87年5月8日,九層,七層 陽臺 花台
RPRPMLNJNHIFFCA37CA,27,98.65,住家用,鋼筋混凝土造,75年1月15日,五層,四層 陽臺 雨遮
