鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南區,土地,下橋子頭段110-14地號,371.0,其他,,,1020403,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14886200,40125,,0.0,0,,RPSNMLMJNHIFFAB07CA,0.0,0.0,0.0,,
南區,土地,樹子腳段1691地號,244.57,其他,工業區,,1020412,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10727100,43861,,0.0,0,,RPUOMLMJNHIFFAB37CA,0.0,0.0,0.0,,
南區,土地,樹子腳段1688地號,219.17,其他,工業區,,1020412,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10278073,46895,,0.0,0,,RPVOMLMJNHIFFAB47CA,0.0,0.0,0.0,,
南區,房地(土地+建物)+車位,台中市南區復興路一段３１９之２０號十一樓之八,20.16,商,,,1020418,土地2建物1車位2,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0941219,195.23000000000002,3,2,2,有,有,7550000,38672,坡道平面,43.32,0,,RPUOMLNJNHIFFAB47CA,86.74,0.0,10.95,,
西區,房地(土地+建物)+車位,台中市西區華美西街一段１７５號３樓之１０,20.44,住,,,1020317,土地2建物1車位1,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860723,3467.0,3,1,2,有,有,11070000,3193,坡道平面,0.0,0,,RPSNMLOJNHIFFAB27CA,113.17,8.96,10.44,,
西區,房地(土地+建物),台中市西區五權西六街８２巷１５號,47.0,住,,,1020407,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,54.0,3,2,1,有,無,4820000,89259,,0.0,0,,RPXNMLOJNHIFFAB77CA,54.0,0.0,0.0,,
西區,房地(土地+建物),台中市西區公?頦?231號5樓之1,17.45,住,,,1020401,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700610,60.15,2,1,1,有,無,2200000,36575,,0.0,0,含增建或未登記建物。,RPUOMLPJNHIFFAB67CA,60.15,0.0,0.0,,
南區,房地(土地+建物)+車位,台中市南區福田三街２７６號四樓之三,21.32,住,工業區,,1020320,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0990316,124.57,3,2,2,有,有,6600000,52982,坡道機械,6.76,0,,RPPPMLQJNHIFFAB37CA,76.24,0.0,9.33,,
東區,房地(土地+建物),台中市東區振興路１１號,80.75,住,,,1020407,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0970627,268.56,4,3,5,有,無,14680000,54662,,0.0,0,,RPRPMLQJNHIFFAB57CA,226.3,0.0,22.71,,
