編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLNJNHIFFCL38CB,龍目井段水裡社小段,15.18,都市：住,100000,563,持分移轉,01530123
RPSNMLNJNHIFFCL48CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPTNMLNJNHIFFCL58CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPUNMLNJNHIFFCL68CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPVNMLNJNHIFFCL78CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPXNMLNJNHIFFCL98CB,龍目井段水裡社小段,15.18,都市：住,100000,563,持分移轉,01530123
RPPOMLNJNHIFFCL28CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPWNMLNJNHIFFCL88CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPOOMLNJNHIFFCL18CB,龍目井段水裡社小段,37.45,都市：住,100000,1389,持分移轉,01530123
RPVOMLNJNHIFFCL88CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPOPMLNJNHIFFCL28CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPSOMLNJNHIFFCL58CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPQOMLNJNHIFFCL38CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPUOMLNJNHIFFCL78CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPXOMLNJNHIFFCL09CB,龍目井段水裡社小段,15.18,都市：住,100000,563,持分移轉,01530123
RPPPMLNJNHIFFCL38CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPWOMLNJNHIFFCL98CB,龍目井段水裡社小段,37.45,都市：住,100000,1389,持分移轉,01530123
RPROMLNJNHIFFCL48CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPTOMLNJNHIFFCL68CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPUPMLNJNHIFFCL88CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPRPMLNJNHIFFCL58CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPQPMLNJNHIFFCL48CB,龍目井段水裡社小段,85.00,都市：住,1,1,全筆移轉,01630007
RPQPMLNJNHIFFCL48CB,龍目井段水裡社小段,1.28,都市：住,10000,125,持分移轉,01630039
RPQPMLNJNHIFFCL48CB,龍目井段水裡社小段,3.61,都市：住,100000,134,持分移轉,01530123
RPPQMLNJNHIFFCL48CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPTPMLNJNHIFFCL78CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPVPMLNJNHIFFCL98CB,龍目井段水裡社小段,3.61,都市：住,100000,134,持分移轉,01530123
RPVPMLNJNHIFFCL98CB,龍目井段水裡社小段,85.00,都市：住,1,1,全筆移轉,01630004
RPVPMLNJNHIFFCL98CB,龍目井段水裡社小段,1.28,都市：住,10000,125,持分移轉,01630039
RPSPMLNJNHIFFCL68CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPOQMLNJNHIFFCL38CB,龍目井段水裡社小段,87.00,都市：住,1,1,全筆移轉,01630010
RPOQMLNJNHIFFCL38CB,龍目井段水裡社小段,1.28,都市：住,10000,125,持分移轉,01630039
RPOQMLNJNHIFFCL38CB,龍目井段水裡社小段,3.69,都市：住,100000,137,持分移轉,01530123
RPQQMLNJNHIFFCL58CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPWPMLNJNHIFFCL09CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPWQMLNJNHIFFCL56CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPXQMLNJNHIFFCL66CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPSQMLNJNHIFFCL78CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPRQMLNJNHIFFCL68CB,龍目井段水裡社小段,3.91,都市：住,100000,145,持分移轉,01530123
RPRQMLNJNHIFFCL68CB,龍目井段水裡社小段,91.00,都市：住,1,1,全筆移轉,01630008
RPRQMLNJNHIFFCL68CB,龍目井段水裡社小段,1.28,都市：住,10000,125,持分移轉,01630039
RPTQMLNJNHIFFCL88CB,龍目井段水裡社小段,15.18,都市：住,100000,563,持分移轉,01530123
RPUQMLNJNHIFFCL98CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPORMLNJNHIFFCL48CB,龍目井段水裡社小段,30.33,都市：住,100000,1125,持分移轉,01530123
RPSNMLTKPHIFFHL27CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPSNMLTKPHIFFHL27CB,新興段,80.95,都市：住,1,1,全筆移轉,00340012
RPSNMLTKPHIFFHL27CB,新興段,1.86,都市：住,1,1,全筆移轉,00340036
RPSNMLTKPHIFFHL27CB,新興段,2.49,都市：住,1,1,全筆移轉,00340037
RPTNMLTKPHIFFHL37CB,育賢段,10.01,都市：住,10000,103,持分移轉,00520000
RPTNMLTKPHIFFHL37CB,育賢段,88.58,都市：住,1,1,全筆移轉,00520001
RPQOMLPLPHIFFHL86CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPQOMLPLPHIFFHL86CB,新興段,78.45,都市：住,1,1,全筆移轉,00340026
RPUNMLPLPHIFFHL17CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPUNMLPLPHIFFHL17CB,新興段,60.35,都市：住,1,1,全筆移轉,00340010
RPTNMLPLPHIFFHL07CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPTNMLPLPHIFFHL07CB,新興段,69.63,都市：住,1,1,全筆移轉,00340001
RPSNMLPLPHIFFHL96CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPSNMLPLPHIFFHL96CB,新興段,84.15,都市：住,1,1,全筆移轉,00340013
RPVNMLPLPHIFFHL27CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPVNMLPLPHIFFHL27CB,新興段,60.35,都市：住,1,1,全筆移轉,00340011
RPSOMLPLPHIFFHL07CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPSOMLPLPHIFFHL07CB,新興段,57.00,都市：住,1,1,全筆移轉,00340014
RPUOMLPLPHIFFHL27CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPUOMLPLPHIFFHL27CB,新興段,55.00,都市：住,1,1,全筆移轉,00340018
RPRNMLTLPHIFFHL27CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPRNMLTLPHIFFHL27CB,新興段,63.76,都市：住,1,1,全筆移轉,00340024
RPTOMLPLPHIFFHL17CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPTOMLPLPHIFFHL17CB,新興段,55.00,都市：住,1,1,全筆移轉,00340016
RPQNMLTLPHIFFHL17CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPQNMLTLPHIFFHL17CB,新興段,55.00,都市：住,1,1,全筆移轉,00340022
RPVOMLPLPHIFFHL37CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPVOMLPLPHIFFHL37CB,新興段,55.00,都市：住,1,1,全筆移轉,00340020
RPTNMLTLPHIFFHL47CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPTNMLTLPHIFFHL47CB,新興段,.02,都市：住,1,1,全筆移轉,00340035
RPTNMLTLPHIFFHL47CB,新興段,57.39,都市：住,1,1,全筆移轉,00340002
RPVNMLTLPHIFFHL67CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPVNMLTLPHIFFHL67CB,新興段,63.36,都市：住,1,1,全筆移轉,00340004
RPUNMLTLPHIFFHL57CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPUNMLTLPHIFFHL57CB,新興段,60.01,都市：住,1,1,全筆移轉,00340003
RPPOMLTLPHIFFHL17CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPPOMLTLPHIFFHL17CB,新興段,66.77,都市：住,1,1,全筆移轉,00340007
RPOOMLTLPHIFFHL07CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPOOMLTLPHIFFHL07CB,新興段,69.74,都市：住,1,1,全筆移轉,00340006
RPROMLTLPHIFFHL37CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPROMLTLPHIFFHL37CB,新興段,61.92,都市：住,1,1,全筆移轉,00340008
RPWNMLTLPHIFFHL77CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPWNMLTLPHIFFHL77CB,新興段,66.71,都市：住,1,1,全筆移轉,00340005
RPQOMLOKOHIFFGL09CB,溪南東段,103.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07470011
RPQOMLOKOHIFFGL09CB,溪南東段,7.83,非都市：鄉村區 ; 非都市編定：交通用地,6,1,持分移轉,07460000
RPQOMLOKOHIFFGL09CB,溪南東段,33.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,07470003
RPRPMLOKOHIFFGL66CB,溪南東段,88.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07470012
RPRPMLOKOHIFFGL66CB,溪南東段,33.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,07470003
RPRPMLOKOHIFFGL66CB,溪南東段,7.83,非都市：鄉村區 ; 非都市編定：交通用地,6,1,持分移轉,07460000
RPPPMLOKOHIFFGL09CB,溪南東段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07470004
RPPPMLOKOHIFFGL09CB,溪南東段,33.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,07470003
RPPPMLOKOHIFFGL09CB,溪南東段,7.83,非都市：鄉村區 ; 非都市編定：交通用地,6,1,持分移轉,07460000
RPPPMLTLPHIFFHL27CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPPPMLTLPHIFFHL27CB,新興段,61.79,都市：住,1,1,全筆移轉,00340025
RPQPMLTLPHIFFHL37CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPQPMLTLPHIFFHL37CB,新興段,75.01,都市：住,1,1,全筆移轉,00340027
RPQPMLTLPHIFFHL37CB,新興段,.06,都市：住,1,1,全筆移轉,00340038
RPWOMLTLPHIFFHL87CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPWOMLTLPHIFFHL87CB,新興段,55.00,都市：住,1,1,全筆移轉,00340019
RPUOMLTLPHIFFHL67CB,新興段,30.24,都市：住,34,1,持分移轉,00340000
RPUOMLTLPHIFFHL67CB,新興段,55.00,都市：住,1,1,全筆移轉,00340015
