編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOSMLLJNHIFFBB37CC,4,248.18,住房．店舖．人行道,鋼筋混凝土造,97年11月28日,十七層,
RPXNMLLJNHIFFBB77CC,14,112.85,住家用,鋼筋混凝土造,87年11月11日,十四層,
RPXNMLLJNHIFFBB77CC,14,36.77,共有部份,鋼筋混凝土造,87年11月11日,十四層,
RPXNMLLJNHIFFBB77CC,14,7.53,共有部份,鋼筋混凝土造,87年11月11日,十四層,
RPQNMLLJNHIFFFL48CC,21,177.02,集合住宅　人行道　店舖,鋼筋混凝土造,81年6月11日,五層,
RPPNMLLJNHIFFEL38DC,15,45.10,住商用,鋼筋混凝土造,87年8月24日,九層,
RPOPMLMJNHIFFAB17DC,,78.79,住家用,木造,,二層,
RPROMLLJNHIFFBB27CC,13,85.70,住家用,鋼筋混凝土造,89年2月18日,十四層,
RPROMLLJNHIFFBB27CC,13,30.57,共有部份,鋼筋混凝土造,89年2月18日,十四層,
RPPPMLLJNHIFFBB17CC,19,15.87,商業用,鋼筋混凝土造,83年8月25日,七層,
RPPPMLLJNHIFFBB17CC,19,4.21,共有部份,鋼筋混凝土造,83年8月25日,九層,
RPPPMLLJNHIFFCB27CC,26,208.00,住商用,鋼筋混凝土造,76年6月11日,三層,
RPPSMLLJNHIFFBB47CC,2,217.85,店舖、住宅、人行道、外廊,鋼筋混凝土造,100年9月6日,四層,
RPRPMLMJNHIFFCB67DC,41,72.03,人行道、店舖、住房,鋼筋混凝土造,61年9月1日,二層,
RPRQMLMJNHIFFAB47CC,17,43.37,集合住宅,鋼骨鋼筋混凝土造,85年1月19日,二十二層,
RPTQMLMJNHIFFAB67CC,17,43.37,集合住宅,鋼骨鋼筋混凝土造,85年1月19日,二十二層,
RPURMLMJNHIFFCB08CC,7,67.78,住家用,鋼筋混凝土造,95年8月16日,二十二層,
RPURMLMJNHIFFCB08CC,7,10.81,住家用,鋼筋混凝土造,95年8月16日,二十二層,
RPURMLMJNHIFFCB08CC,7,30.50,共用,鋼筋混凝土造,95年8月16日,二十二層,
RPPOMLMJNHIFFCB27CC,6,71.02,住家用,鋼筋混凝土造,96年10月12日,十五層,
RPPOMLMJNHIFFCB27CC,6,13.55,共用,鋼筋混凝土造,96年10月12日,十五層,
RPPOMLMJNHIFFCB27CC,6,21.51,共用,鋼筋混凝土造,96年10月12日,十五層,
RPXOMLMJNHIFFCB08CC,4,25.45,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPTRMLMJNHIFFCB97CC,1,101.16,住家用,鋼筋混凝土造,101年8月8日,十五層,
RPTRMLMJNHIFFCB97CC,1,18.65,本共有部份之項目有：停車空間、機械室、排煙室、樓梯間、防空避難室兼停車空間、台電配電室、電信室、水箱等八項。,鋼筋混凝土造,101年8月8日,十五層,
