編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLQJNHIFFCC38DC,源遠段,17.01,都市：住,,,,13710000
RPTOMLPKNHIFFCC18CC,工建段,6389.00,都市：工,,,,09010000
RPQNMLPJNHIFFCC77DC,大武崙段內寮小段,244.50,都市：住,,,,07780000
RPSOMLPKNHIFFCC08CC,工建段,6389.00,都市：工,,,,09010000
RPSOMLLMNHIFFCC87CC,源遠段,20.53,都市：住,,,,13710000
RPXNMLTJNHIFFCC88DC,大華段,.00,都市：商,,,,13650000
RPRNMLKLNHIFFCC47CC,安國段,31.50,都市：住,,,,00680001
RPQNMLOKOHIFFBC67CC,光明段,25.96,都市：住,,,,01820000
RPTNMLKMNHIFFCC77CC,安國段,28.26,都市：住,,,,00620000
RPRNMLPKOHIFFBC87CC,復興段二小段,.00,都市：商,,,,01960000
RPSNMLSKOHIFFBC28CC,忠義段三小段,.00,都市：商,,,,00010010
RPSNMLSKOHIFFBC28CC,忠義段三小段,.00,都市：商,,,,00010013
RPRNMLOKOHIFFBC77CC,長潭段,15.24,都市：住,,,,08450003
RPRNMLOKOHIFFBC77CC,長潭段,1.52,都市：住,,,,08450000
RPTNMLSKOHIFFCC48CC,源遠段,.00,都市：住,,,,12550002
RPWNMLSKOHIFFCC78CC,八德段,.00,都市：住,,,,00650000
RPSNMLQLOHIFFBC18CC,成功段,5.00,都市：住,,,,02860000
RPTNMLKMOHIFFBC77CC,長潭段,14.20,都市：住,,,,08920000
RPPNMLQLNHIFFBC87DC,海濱段二小段,74.10,都市：商,,,,00960000
RPPNMLQLNHIFFBC87DC,海濱段二小段,5.70,都市：商,,,,00970000
RPWNMLSKPHIFFBC78CC,調和段,13.57,都市：住,,,,14140000
RPUNMLSLNHIFFCC68DC,源遠段,11.15,都市：住,,,,13710000
RPPNMLTJOHIFFCC18DC,新會段,.00,都市：住,,,,04580000
RPOOMLMLNHIFFCC57DC,麥金段,64.81,都市：住,,,,07470000
RPTOMLSKOHIFFCC68DC,工建段,.00,都市：住,,,,05180005
RPSNMLSKPHIFFCC48CC,工建段,.00,都市：工,,,,09130000
RPUPMLTJPHIFFCC88CC,溪頭段,2331.57,都市：工,,,,02770000
RPOOMLPLOHIFFCC87CC,代天府段,17.15,都市：住,,,,08370000
RPQNMLKMOHIFFCC57CC,暖暖段暖暖小段,180.00,都市：住,,,,03960000
RPQNMLKMOHIFFCC57CC,暖暖段暖暖小段,266.00,都市：住,,,,03970000
RPVPMLLMPHIFFCC48CC,保定段,23.75,都市：住,,,,05340000
RPTOMLPLOHIFFCC38CC,大華段,.00,都市：其他:保護區,,,,13630025
RPTOMLPLOHIFFCC38CC,大華段,.00,都市：商,,,,17800000
