編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPOMLNJNHIFFAE27CA,龍中段,30.08,都市：住,10000,215,持分移轉,02080000
RPOSMLLJNHIFFAE37CA,青海段,21.85,都市：住,100000,299,持分移轉,05450000
RPVOMLMJNHIFFAE77CA,青海段,24.72,都市：住,10000,108,持分移轉,00440000
RPOPMLMJNHIFFAE17CA,青海段,24.72,都市：住,10000,108,持分移轉,00440000
RPXOMLMJNHIFFAE97CA,青海段,18.54,都市：住,10000,81,持分移轉,00440000
RPWOMLNJNHIFFAE97CA,青海段,8.41,都市：商,100000,556,持分移轉,01450000
RPVOMLSJNHIFFAE38CA,龍華段二小段,17.17,都市：住,10000,78,持分移轉,07750000
RPUOMLSJNHIFFAE28CA,龍華段一小段,27.80,都市：住,10,1,持分移轉,02830000
RPRPMLSJNHIFFAE08CA,龍中段,12.29,都市：住,100000,628,持分移轉,01150000
RPPOMLPJNHIFFAE47CA,青海段,6.09,都市：商,10000,12,持分移轉,02090001
RPQOMLTJNHIFFAE97CA,博孝段,20.00,都市：商,1,1,全筆移轉,11760000
RPQOMLTJNHIFFAE97CA,博孝段,32.00,都市：商,1,1,全筆移轉,11770000
RPWOMLTJNHIFFAE58CA,青海段,14.91,都市：住,100000,443,持分移轉,05520000
RPSOMLKKNHIFFAE37CA,鼓南段三小段,32.00,都市：商,1,1,全筆移轉,09740000
RPUNMLMKNHIFFAE67CA,龍華段八小段,17.91,都市：商,10000,227,持分移轉,22460000
RPVNMLOKNHIFFAE97CA,龍華段八小段,9.60,都市：商,10000,53,持分移轉,24060000
RPTOMLKKNHIFFAE47CA,大榮段,67.00,都市：住,1,1,全筆移轉,00600000
RPTOMLKKNHIFFAE47CA,大榮段,8.00,都市：其他:道路用地,1,1,全筆移轉,00600001
RPVOMLOKNHIFFAE08CA,龍華段八小段,10.40,都市：商,10000,57,持分移轉,23250000
RPQOMLPJNHIFFAE57CA,龍華段一小段,35.12,都市：住,8,1,持分移轉,02250000
RPVNMLMKNHIFFAE77CA,龍華段八小段,15.15,都市：商,10000,192,持分移轉,22460000
RPQNMLQJNHIFFAE57CA,龍華段八小段,2.66,都市：商,10000,41,持分移轉,23070000
RPWOMLNLNHIFFAE18CA,青海段,11.92,都市：住,10000,64,持分移轉,00120000
RPPNMLQKNHIFFAE57CA,龍華段八小段,12.64,都市：住,10000,81,持分移轉,21900000
RPPNMLTKNHIFFAE87CA,青海段,14.97,都市：住,10000,69,持分移轉,02030000
RPVNMLRJNHIFFAE18CA,前金段,13.67,都市：商,10000,394,持分移轉,00960001
RPQPMLRLNHIFFAE08CA,龍華段八小段,6.27,都市：商,10000,61,持分移轉,23920000
RPVNMLSKNHIFFAE38CA,龍華段八小段,12.07,都市：住,10000,104,持分移轉,22200000
RPTOMLMLNHIFFAE77CA,龍華段八小段,12.04,都市：住,10000,66,持分移轉,23250000
RPRNMLNJNHIFFBE47CA,苓洲段,76.00,都市：商,1,1,全筆移轉,14670000
RPVOMLMJNHIFFBE87CA,苓洲段,44.00,都市：住,1,1,全筆移轉,12880000
RPPOMLNJNHIFFBE37CA,武聖段,46.00,都市：住,1,1,全筆移轉,25830000
RPUPMLNJNHIFFBE97CA,苓東段,12.64,都市：商,10000,25,持分移轉,01280000
RPUPMLNJNHIFFBE97CA,苓東段,23.90,都市：住,10000,25,持分移轉,01290000
RPTOMLOJNHIFFBE87CA,苓中段,12.80,都市：商,100,20,持分移轉,02940000
RPTOMLOJNHIFFBE87CA,苓中段,3.80,都市：其他:,100,20,持分移轉,02940001
