編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQPMLQKNHIFFEE38CB,,23.59,都市：住,100000,1545,持分移轉,00200000
RPWPMLQKNHIFFEE98CB,,23.59,都市：住,100000,1545,持分移轉,00200000
RPPQMLQKNHIFFEE38CB,,30.82,都市：住,100000,2019,持分移轉,00200000
RPXOMLQKNHIFFEE98CB,,23.59,都市：住,100000,1545,持分移轉,00200000
RPPPMLQKNHIFFEE28CB,,23.71,都市：住,100000,1553,持分移轉,00200000
RPWOMLQKNHIFFEE88CB,,23.71,都市：住,100000,1553,持分移轉,00200000
RPOPMLQKNHIFFEE18CB,,23.43,都市：住,100000,1535,持分移轉,00200000
RPUOMLQKNHIFFEE68CB,,23.59,都市：住,100000,1545,持分移轉,00200000
RPTPMLQKNHIFFEE68CB,,23.71,都市：住,100000,1553,持分移轉,00200000
RPVOMLQKNHIFFEE78CB,,23.59,都市：住,100000,1545,持分移轉,00200000
RPOQMLRKNHIFFEE38CB,,30.84,都市：住,100000,2020,持分移轉,00200000
RPQQMLRKNHIFFEE58CB,,23.59,都市：住,100000,1545,持分移轉,00200000
RPXPMLRKNHIFFEE56CB,,23.56,都市：住,100000,1543,持分移轉,00200000
RPVQMLRKNHIFFEE09CB,,23.71,都市：住,100000,1553,持分移轉,00200000
RPVPMLRKNHIFFEE98CB,,23.56,都市：住,100000,1543,持分移轉,00200000
RPSQMLRKNHIFFEE78CB,,30.84,都市：住,100000,2020,持分移轉,00200000
RPTQMLRKNHIFFEE88CB,,23.59,都市：住,100000,1545,持分移轉,00200000
RPWQMLRKNHIFFEE56CB,,30.68,都市：住,100000,2010,持分移轉,00200000
RPXQMLRKNHIFFEE66CB,,30.84,都市：住,100000,2020,持分移轉,00200000
RPORMLRKNHIFFEE48CB,,31.13,都市：住,100000,2039,持分移轉,00200000
RPPQMLRKNHIFFEE48CB,,23.71,都市：住,100000,1553,持分移轉,00200000
RPPOMLMLNHIFFEE87CB,,23.71,都市：住,100000,1553,持分移轉,00200000
RPQRMLRKNHIFFEE68CB,,23.71,都市：住,100000,1553,持分移轉,00200000
RPRRMLRKNHIFFEE78CB,,23.71,都市：住,100000,1553,持分移轉,00200000
RPXNMLMLNHIFFEE58CB,,30.84,都市：住,100000,2020,持分移轉,00200000
RPQOMLMLNHIFFEE97CB,,23.71,都市：住,100000,1553,持分移轉,00200000
RPOOMLMLNHIFFEE77CB,,30.84,都市：住,100000,2020,持分移轉,00200000
RPROMLMLNHIFFEE08CB,,23.59,都市：住,100000,1545,持分移轉,00200000
RPUOMLMLNHIFFEE38CB,,23.71,都市：住,100000,1553,持分移轉,00200000
RPPPMLMLNHIFFEE97CB,,30.84,都市：住,100000,2020,持分移轉,00200000
RPXOMLMLNHIFFEE68CB,,30.84,都市：住,100000,2020,持分移轉,00200000
RPSOMLMLNHIFFEE18CB,,30.97,都市：住,100000,2029,持分移轉,00200000
RPWOMLMLNHIFFEE58CB,,23.43,都市：住,100000,1535,持分移轉,00200000
RPOPMLMLNHIFFEE87CB,,30.82,都市：住,100000,2019,持分移轉,00200000
RPQPMLMLNHIFFEE08CB,,31.13,都市：住,100000,2039,持分移轉,00200000
RPVOMLMLNHIFFEE48CB,,23.56,都市：住,100000,1543,持分移轉,00200000
RPTOMLMLNHIFFEE28CB,,23.59,都市：住,100000,1545,持分移轉,00200000
RPSPMLMLNHIFFEE28CB,,31.13,都市：住,100000,2039,持分移轉,00200000
RPRPMLMLNHIFFEE18CB,,30.84,都市：住,100000,2020,持分移轉,00200000
RPUPMLMLNHIFFEE48CB,,22.84,都市：住,100000,1496,持分移轉,00200000
RPOQMLMLNHIFFEE97CB,,30.97,都市：住,100000,2029,持分移轉,00200000
RPTPMLMLNHIFFEE38CB,,30.68,都市：住,100000,2010,持分移轉,00200000
RPXPMLMLNHIFFEE78CB,,30.97,都市：住,100000,2029,持分移轉,00200000
RPRQMLMLNHIFFEE28CB,,23.59,都市：住,100000,1545,持分移轉,00200000
RPTQMLMLNHIFFEE48CB,,30.68,都市：住,100000,2010,持分移轉,00200000
RPPQMLMLNHIFFEE08CB,,30.97,都市：住,100000,2029,持分移轉,00200000
RPSQMLMLNHIFFEE38CB,,30.68,都市：住,100000,2010,持分移轉,00200000
RPVPMLMLNHIFFEE58CB,,23.43,都市：住,100000,1535,持分移轉,00200000
RPUQMLMLNHIFFEE58CB,,31.13,都市：住,100000,2039,持分移轉,00200000
RPWPMLMLNHIFFEE68CB,,30.82,都市：住,100000,2019,持分移轉,00200000
RPXNMLRKOHIFFEE09CB,新庄段七小段,.45,都市：住,100000,2187,持分移轉,09860000
RPUPMLRKOHIFFEE98CB,新庄段七小段,.23,都市：住,100000,1549,持分移轉,09860000
RPOOMLRKOHIFFEE28CB,新庄段七小段,.45,都市：住,100000,2187,持分移轉,09860000
RPPOMLRKOHIFFEE38CB,新庄段七小段,.45,都市：住,100000,2187,持分移轉,09860000
