編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLLJNHIFFBE47CC,35,100.20,,鋼筋混凝土造,67年8月21日,十四層,
RPPOMLLJNHIFFEE67CC,11,54.25,住家用,見使用執照,90年12月14日,十三層,
RPPOMLLJNHIFFEE67CC,11,2.47,住家用,見使用執照,90年12月14日,十三層,
RPPOMLLJNHIFFEE67CC,11,2.12,住家用,見使用執照,90年12月14日,十三層,
RPPOMLLJNHIFFEE67CC,11,49.04,住家用,見使用執照,90年12月14日,十三層,
RPROMLMJNHIFFAE57CC,1,92.32,住家用,鋼筋混凝土造,101年7月10日,十四層,
RPOOMLLJNHIFFDE57DC,7,90.45,住家用,鋼筋混凝土造,95年6月21日,十五層,
RPOOMLLJNHIFFDE57DC,7,3443.27,：避難室兼停車空間，樓梯間，機械房，水箱,鋼筋混凝土造,95年6月21日,十五層,
RPVNMLNJNHIFFBE08CC,9,82.99,住家用,鋼筋混凝土造,93年3月3日,十四層,
RPUOMLNJNHIFFAE97CC,36,158.77,,鋼筋混凝土造,65年5月10日,三層,
RPPOMLNJNHIFFDE77CC,23,118.49,,鋼筋混凝土造,79年7月25日,十八層,
RPOPMLNJNHIFFDE77CC,10,48.27,住商用,鋼筋混凝土造,92年5月29日,四層,
RPROMLNJNHIFFDE97CC,3,74.11,住家用,鋼筋混凝土造,99年6月4日,五層,
RPXOMLNJNHIFFDE58CC,20,237.48,住商用,鋼筋混凝土造,82年11月23日,二十層,
RPXOMLNJNHIFFDE58CC,20,20.24,見使用執照,鋼筋混凝土造,82年11月23日,二十層,
RPQOMLNJNHIFFDE87CC,3,74.11,住家用,鋼筋混凝土造,99年6月4日,五層,
RPPQMLNJNHIFFDE97CC,,189.25,商業用,鋼骨構造,101年12月11日,二層,
RPVOMLNJNHIFFBE18CC,41,43.67,,加強磚造,60年11月17日,三層,
RPSOMLNJNHIFFBE87CC,54,85.54,,加強磚造,48年7月30日,三層,
RPTNMLOJNHIFFAE87CC,7,67.31,住家用,鋼筋混凝土造,95年8月9日,十五層,
RPTNMLOJNHIFFAE87CC,7,30.35,住家用,鋼筋混凝土造,95年8月9日,十五層,
RPSNMLQJNHIFFAE97CC,27,109.83,,鋼筋混凝土造,75年4月16日,七層,
RPPNMLOJNHIFFBE57CC,19,107.63,住家用,鋼筋混凝土造,83年9月10日,二十二層,
RPOOMLQJNHIFFBE77CC,34,144.07,,鋼筋混凝土造,67年11月11日,七層,
RPWNMLQJNHIFFDE68CC,15,68.76,住商用,鋼筋混凝土造,87年11月13日,十四層,
RPXOMLRJNHIFFBE78CC,32,252.95,,鋼筋混凝土造,70年10月20日,十一層,
RPPOMLQJNHIFFDE08CC,6,151.56,住商用,鋼筋混凝土造,96年5月24日,四層,
RPRPMLRJNHIFFBE28CC,16,73.27,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPRPMLRJNHIFFBE28CC,16,40.61,見使用執照,鋼筋混凝土造,86年4月21日,三十五層,
RPVNMLSJNHIFFBE58CC,41,62.05,,鋼筋混凝土造,60年11月29日,四層,
RPRNMLSJNHIFFDE38CC,17,120.03,住家用,鋼筋混凝土造,85年4月10日,十三層,
RPSNMLMJNHIFFCE77CC,7,74.36,商業用,鋼筋混凝土造,95年3月13日,二層,
RPROMLQJNHIFFCE18CC,20,351.93,住商用,鋼筋混凝土造,82年7月30日,二十四層,
RPUNMLSJNHIFFCE58CC,16,127.15,國民住宅,鋼筋混凝土造,86年4月30日,十層,
RPPPMLNJNHIFFEE97CC,14,78.01,住家用,鋼筋混凝土結構造,88年10月20日,二十三層,
RPPOMLNJNHIFFCE67CC,34,173.00,,鋼筋混凝土造,68年6月12日,五層,
RPQNMLOJNHIFFEE97CC,14,109.21,住家用,鋼筋混凝土造,87年11月30日,十四層,
RPXOMLNJNHIFFEE68CC,6,92.47,住商用,鋼筋混凝土造,96年7月6日,五層,
RPQNMLTJNHIFFBE18CC,43,57.52,,加強磚造,59年11月6日,二層,
RPVNMLSJNHIFFCE68CC,20,156.08,住家用,鋼筋混凝土造,82年4月17日,四層,
RPOOMLMJNHIFFEE67CC,6,74.02,住家用,鋼筋混凝土造,96年5月24日,十五層,
RPOOMLSJNHIFFAE87CC,31,96.47,,鋼筋混凝土造,70年12月3日,十二層,
RPOOMLTJNHIFFDE28CC,17,323.18,商業用,見使用執照,85年8月20日,二層,
RPTNMLTJNHIFFAE38CC,14,109.14,住家用,鋼筋混凝土造,88年4月29日,九層,
RPWOMLKKNHIFFBE08CC,22,29.94,,鋼筋混凝土造,79年11月30日,十二層,
RPXOMLKKNHIFFBE18CC,16,113.38,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPOPMLKKNHIFFBE37CC,16,94.04,住家用,鋼筋混凝土造,86年4月21日,三十五層,
RPVOMLKKNHIFFDE18CC,39,91.00,住商用,鋼筋混凝土造,63年4月6日,四層,
RPVOMLKKNHIFFDE18CC,39,91.00,住商用,鋼筋混凝土造,63年4月6日,四層,
RPQOMLKKNHIFFEE77CC,9,19.90,住商用,見使用執照,93年10月14日,五層,
RPSOMLKKNHIFFEE97CC,9,19.90,住商用,見使用執照,93年10月14日,五層,
RPVOMLKKNHIFFEE28CC,9,36.70,住商用,見使用執照,93年10月14日,五層,
RPPOMLKKNHIFFEE67CC,9,19.90,住商用,見使用執照,93年10月14日,五層,
RPTNMLOKNHIFFAE97CC,14,46.55,住家用,鋼筋混凝土造,88年9月30日,十四層,
RPTNMLOKNHIFFAE97CC,14,17.41,共有部份,鋼筋混凝土造,88年9月30日,十四層,
RPXNMLNKNHIFFAE28CC,5,142.34,住家用,鋼筋混凝土造,97年1月3日,十四層,
RPWOMLNKNHIFFAE28CC,11,77.02,住家用,鋼筋混凝土造,91年6月18日,二十二層,
RPXNMLTJNHIFFAE78CC,31,99.32,,鋼筋混凝土造,70年12月3日,十二層,
RPPOMLKKNHIFFAE27CC,6,125.76,住家用,鋼筋混凝土造,95年12月5日,十九層,
RPTNMLKKNHIFFAE57CC,18,170.30,住商用,鋼筋混凝土造,84年5月3日,二十二層,
RPWPMLNKNHIFFEE78CC,5,100.14,住家用,鋼筋混凝土造,97年11月5日,十四層,
RPTOMLNKNHIFFEE38CC,1,87.53,住家用,鋼筋混凝土造,101年3月16日,十五層,
RPTOMLNKNHIFFEE38CC,1,41.36,本共有部分之項目有防空避難室兼停車空間、停車空間、頂蓋型廣場式開放空間、公共服務空間、梯間、樓梯間、水箱、機械室共８項。,鋼筋混凝土造,101年3月16日,十五層,
RPXPMLNKNHIFFEE88CC,12,78.61,住家用,見使用執照,90年2月22日,十二層,
RPPOMLOKNHIFFAE67CC,4,213.56,商業用,鋼筋混凝土造,97年11月4日,十九層,
RPROMLOKNHIFFAE87CC,6,267.44,住商用,鋼筋混凝土造,96年1月19日,五層,
RPVOMLOKNHIFFBE38CC,29,117.13,,鋼筋混凝土造,72年12月16日,十二層,
RPVNMLOKNHIFFBE28CC,23,160.00,,鋼筋混凝土造,79年4月18日,十二層,
RPUOMLOKNHIFFCE38CC,7,224.64,商業用,鋼筋混凝土造,95年3月14日,十四層,
RPOOMLPKNHIFFEE08CC,2,94.20,住家用,鋼筋混凝土造,100年6月28日,十五層,
RPUOMLPKNHIFFEE68CC,2,76.25,住家用,鋼筋混凝土造,100年10月28日,十五層,
RPUNMLPKNHIFFBE28CC,27,111.88,,鋼筋混凝土造,75年10月23日,七層,
RPUNMLPKNHIFFBE28CC,27,13.73,,鋼筋混凝土造,75年10月23日,七層,
RPUNMLPKNHIFFBE28CC,27,23.69,,鋼筋混凝土造,75年10月23日,七層,
RPUNMLPKNHIFFBE28CC,27,3.41,,鋼筋混凝土造,75年10月23日,七層,
RPPPMLPKNHIFFEE28CC,19,263.70,住商用,鋼筋混凝土造,83年9月24日,七層,
RPWNMLPKNHIFFBE48CC,43,99.35,,加強磚造,59年10月2日,二層,
RPQOMLPKNHIFFAE87CC,9,120.10,住家用,鋼筋混凝土造,93年10月18日,十四層,
RPOOMLQKNHIFFAE77CC,8,167.23,商業用,鋼筋混凝土造,94年5月13日,十五層,
RPPOMLQKNHIFFAE87CC,8,93.69,住家用,鋼筋混凝土造,94年8月2日,十四層,
RPPOMLQKNHIFFAE87CC,8,29.42,共有部份,鋼筋混凝土造,94年8月2日,十四層,
RPROMLQKNHIFFAE08CC,29,151.26,,鋼筋混凝土造,73年6月26日,四層,
RPWNMLQKNHIFFBE58CC,50,105.82,,加強磚造,52年4月26日,三層,
RPSOMLQKNHIFFBE28CC,53,49.06,住商用,加強磚造,49年7月13日,三層,
