編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPUNMLOKNHIFFAG08CA,坪林段,106.71,都市：住,1,1,全筆移轉,07380004
RPWOMLMJNHIFFAG08CA,季新段,53.40,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,65,持分移轉,05390000
RPSPMLTJNHIFFBG58CA,五峰段,8.88,都市：住,100000,1030,持分移轉,05820000
RPVNMLNJNHIFFBG08CA,五峰段,20.21,都市：住,200000,2090,持分移轉,11380000
RPQNMLNJNHIFFAG47CA,羅群段,800.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02470000
RPSOMLRJNHIFFAG18CA,新西安段,1455.05,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08320000
RPUOMLMJNHIFFAG87CA,維揚段,221.25,都市：其他:道路用地,4,3,持分移轉,02110000
RPXOMLRJNHIFFAG68CA,行健段,1598.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01410000
RPSNMLPJNHIFFBG97CA,宜蘭段坤門小段,108.00,都市：住,1,1,全筆移轉,02580370
RPUOMLQJNHIFFBG38CA,枕山段,1139.95,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01680009
RPWQMLTJNHIFFBG09CA,金六結段七結小段,19.54,都市：住,10000,124,持分移轉,01140000
RPWQMLTJNHIFFBG09CA,金六結段七結小段,.76,都市：住,10000,124,持分移轉,01140001
RPPNMLMJNHIFFAG37DA,大埔段,2677.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08140000
RPROMLKKNHIFFBG57CA,義結段,20.30,都市：住,11290,203,持分移轉,02450000
RPXNMLPKNHIFFBG58CA,新張段,15.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,205,15,持分移轉,05890020
RPXNMLPKNHIFFBG58CA,新張段,76.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,05910001
RPXPMLQJNHIFFAG78DA,國華段,35.40,都市：住,1000,53,持分移轉,04090000
RPVNMLNKNHIFFAG28EA,國民一段,57.44,非都市：特定農業區 ; 非都市編定：甲種建築用地,19100,697,持分移轉,01420000
RPWNMLNKNHIFFAG38EA,國民一段,254.38,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,00170000
RPWNMLNKNHIFFAG38EA,國民一段,324.65,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,00180000
RPTPMLNKNHIFFAG08CA,北成段,33.06,都市：住,10000,672,持分移轉,10580000
RPSOMLKLNHIFFAG87EA,萬貴段,792.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,09320000
RPPOMLNJNHIFFBG77EA,宜蘭段坤門小段,41.33,都市：住,24,1,持分移轉,02190001
RPWNMLMJNHIFFBG28EA,宜商段,11.78,都市：住,288,12,持分移轉,04120000
RPQOMLNJNHIFFBG87EA,拔雅林段拔雅林小段,19.45,都市：住,10000,140,持分移轉,00220001
RPVPMLTJNHIFFBG88CA,大坑罟段,104.00,都市：住,1,1,全筆移轉,02180028
RPSNMLNKNHIFFBG08EA,拔雅林段拔雅林小段,35.00,都市：住,1,1,全筆移轉,01200012
RPSNMLNKNHIFFBG08EA,拔雅林段拔雅林小段,90.00,都市：住,1,1,全筆移轉,01200015
