編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXVMLOLPHIFFBG07CB,公園段,15.71,都市：其他:健康休閒專用區三,100000,716,持分移轉,01390000
RPSVMLOLPHIFFBG56CB,公園段,19.26,都市：其他:健康休閒專用區三,100000,878,持分移轉,01390000
RPUVMLOLPHIFFBG76CB,公園段,19.26,都市：其他:健康休閒專用區三,100000,878,持分移轉,01390000
RPWVMLOLPHIFFBG96CB,公園段,15.71,都市：其他:健康休閒專用區三,100000,716,持分移轉,01390000
RPRVMLOLPHIFFBG09CB,公園段,19.26,都市：其他:健康休閒專用區三,100000,878,持分移轉,01390000
RPSWMLOLPHIFFBG66CB,公園段,19.44,都市：其他:健康休閒專用區三,100000,886,持分移轉,01390000
RPVVMLOLPHIFFBG86CB,公園段,19.26,都市：其他:健康休閒專用區三,100000,878,持分移轉,01390000
RPQVMLOLPHIFFBG98CB,公園段,19.26,都市：其他:健康休閒專用區三,100000,878,持分移轉,01390000
RPQWMLOLPHIFFBG09CB,公園段,15.69,都市：其他:健康休閒專用區三,100000,715,持分移轉,01390000
RPWUMLOLPHIFFBG86CB,公園段,19.26,都市：其他:健康休閒專用區三,100000,878,持分移轉,01390000
RPTWMLOLPHIFFBG76CB,公園段,19.44,都市：其他:健康休閒專用區三,100000,886,持分移轉,01390000
RPUWMLOLPHIFFBG86CB,公園段,19.44,都市：其他:健康休閒專用區三,100000,886,持分移轉,01390000
RPWWMLOLPHIFFBG07CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPXWMLOLPHIFFBG17CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPVNNLOLPHIFFBG78CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPWNNLOLPHIFFBG88CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPXNNLOLPHIFFBG98CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPRNNLOLPHIFFBG38CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPQNNLOLPHIFFBG28CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPONNLOLPHIFFBG08CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPPONLOLPHIFFBG28CB,公園段,16.91,都市：其他:健康休閒專用區三,100000,771,持分移轉,01390000
RPSNNLOLPHIFFBG48CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPUNNLOLPHIFFBG68CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPTONLOLPHIFFBG68CB,公園段,16.91,都市：其他:健康休閒專用區三,100000,771,持分移轉,01390000
RPSONLOLPHIFFBG58CB,公園段,16.91,都市：其他:健康休閒專用區三,100000,771,持分移轉,01390000
RPQONLOLPHIFFBG38CB,公園段,16.91,都市：其他:健康休閒專用區三,100000,771,持分移轉,01390000
RPPNNLOLPHIFFBG18CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPWONLOLPHIFFBG98CB,公園段,16.91,都市：其他:健康休閒專用區三,100000,771,持分移轉,01390000
RPVONLOLPHIFFBG88CB,公園段,16.91,都市：其他:健康休閒專用區三,100000,771,持分移轉,01390000
RPQPNLOLPHIFFBG48CB,公園段,16.91,都市：其他:健康休閒專用區三,100000,771,持分移轉,01390000
RPPPNLOLPHIFFBG38CB,公園段,16.91,都市：其他:健康休閒專用區三,100000,771,持分移轉,01390000
RPOPNLOLPHIFFBG28CB,公園段,16.91,都市：其他:健康休閒專用區三,100000,771,持分移轉,01390000
RPXONLOLPHIFFBG09CB,公園段,16.91,都市：其他:健康休閒專用區三,100000,771,持分移轉,01390000
RPVPNLOLPHIFFBG98CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPRPNLOLPHIFFBG58CB,公園段,16.91,都市：其他:健康休閒專用區三,100000,771,持分移轉,01390000
RPWPNLOLPHIFFBG09CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPTPNLOLPHIFFBG78CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPXPNLOLPHIFFBG56CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPOQNLOLPHIFFBG38CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPSPNLOLPHIFFBG68CB,公園段,16.91,都市：其他:健康休閒專用區三,100000,771,持分移轉,01390000
RPUPNLOLPHIFFBG88CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPPQNLOLPHIFFBG48CB,公園段,19.22,都市：其他:健康休閒專用區三,100000,876,持分移轉,01390000
RPUOMLKMPHIFFBG38CB,公園段,16.91,都市：其他:健康休閒專用區三,100000,771,持分移轉,01390000
