鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,土地,龍鳳段38地號,4.45,其他,,,1020418,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,174700,39258,,0.0,0,,RPXSMLMJNHIFFAH68CA,0.0,0.0,0.0,,
桃園區,房地(土地+建物),桃園縣桃園市德華街220號五樓,24.69,住,,,1020415,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720516,127.49000000000001,4,2,1,有,有,3700000,29022,,0.0,0,,RPTRMLNJNHIFFAH28CA,106.61,0.0,15.54,,
桃園區,房地(土地+建物),桃園縣桃園市民安路１１之２號,37.7,住,,,1020420,土地4建物1車位0,一層，騎樓,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0860527,434.87,0,0,0,無,有,12300000,28284,,0.0,0,,RPQTMLNJNHIFFAH18CA,105.6,9.13,0.0,,
桃園區,房地(土地+建物),桃園縣桃園市安慶街１３３巷１８號九樓　,12.84,住,,,1020402,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830411,109.53,3,2,2,有,有,5380000,49119,,0.0,0,,RPUUMLNJNHIFFAH68CA,85.98,1.87,9.86,,
桃園區,房地(土地+建物)+車位,桃園縣桃園市國強十三街９０號地下二樓,18.9,住,,,1020415,土地1建物1車位1,五層,十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950913,67.99,3,2,1,有,有,5420000,79718,坡道平面,7.01,0,,RPPNMLOJNHIFFAH57CA,64.36,0.81,2.76,,
桃園區,房地(土地+建物)+車位,桃園縣桃園市國強十三街９６號五樓,18.9,住,,,1020415,土地0建物1車位0,五層,十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950913,67.93,3,2,1,有,有,5420000,79788,坡道平面,7.01,0,,SPPNMLOJNHIFFAH67CA,64.36,0.81,2.76,,
桃園區,土地,中山段138地號,145.5,住,,,1020416,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13500000,92784,,0.0,0,,RPQNMLOJNHIFFAH67CA,0.0,0.0,0.0,,
桃園區,房地(土地+建物),桃園縣桃園市敬二街９之２號十四樓,14.94,住,,,1020403,土地1建物1車位0,十四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830713,156.19,3,2,2,有,有,7960000,50964,,0.0,0,,RPPNMLPJNHIFFAH67CA,115.66,1.91,12.28,,
桃園區,房地(土地+建物),桃園縣桃園市建豐街5號,66.9,住,,,1020418,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0601203,132.86,1,1,2,有,無,13460000,101310,,0.0,0,,RPUNMLQJNHIFFAH28CA,132.86,0.0,0.0,,
桃園區,土地,慈文段983-2地號,282.0,其他,,,1020321,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18434056,65369,,0.0,0,,RPTSMLLJNHIFFAH18CA,0.0,0.0,0.0,,
桃園區,土地,雙龍段165地號,992.35,農,,,1020422,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,12093,,0.0,0,,RPQRMLMJNHIFFAH87CA,0.0,0.0,0.0,,
桃園區,房地(土地+建物)+車位,桃園縣桃園市中埔二街190號九樓,40.44,住,,,1020319,土地1建物1車位2,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981005,294.64,3,2,3,有,有,28480000,96660,坡道平面,0.0,0,,RPOTMLQJNHIFFAH28CA,153.82,14.7,17.19,,
龜山區,房地(土地+建物),桃園縣龜山鄉文二一街22號7樓之6,5.03,商,,,1020324,土地1建物1車位0,七層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920820,46.56,1,1,1,有,有,4700000,100945,,0.0,0,夾層增建,RPQTMLQJNHIFFAH48CA,26.72,0.0,6.38,,
桃園區,房地(土地+建物)+車位,桃園縣桃園市中正路１０９８號十八樓,42.98,商,,,991216,土地1建物1車位3,十八層,三十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011102,499.62,4,2,4,有,有,50000000,105251,坡道平面,70.17,4800000,3個車位土地持分60/10萬＄270萬。,RPPNMLRJNHIFFAH87CA,283.04,7.96,27.05,,
桃園區,房地(土地+建物)+車位,桃園縣桃園市中正路１１３２號十樓,57.79,商,,,991229,土地1建物1車位2,十層,三十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011102,712.47,5,2,6,有,有,71880000,103171,坡道平面,46.78,3200000,1.所有權人2人。2.  3個車位土地持分60/10萬＄180萬。,RPVNMLRJNHIFFAH48CA,436.49,15.75,34.21,,
桃園區,土地,法政段1032地號,130.0,住,,,1020417,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,115385,,0.0,0,,RPXNMLRJNHIFFAH68CA,0.0,0.0,0.0,,
桃園區,房地(土地+建物)+車位,桃園縣桃園市中正路１１３２號十一樓,61.05,商,,,991223,土地1建物1車位3,十一層,三十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011102,735.86,5,2,6,有,有,71350000,99521,坡道平面,70.17,5100000,3個車位土地持分60/10萬＄300萬。,RPOOMLRJNHIFFAH87CA,436.49,15.75,34.21,,
桃園區,房地(土地+建物)+車位,桃園縣桃園市中正路１１３２號十二樓,61.05,商,,,991223,土地1建物1車位3,十二層,三十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1011102,735.86,5,2,6,有,有,71350000,99521,坡道平面,70.17,5100000,3個車位土地持分60/10萬＄300萬。,RPPOMLRJNHIFFAH97CA,436.49,15.75,34.21,,
