編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVQMLTJNHIFFEH86CB,公埔段,19.21,都市：住,10000,62,持分移轉,08690000
RPTQMLTJNHIFFEH66CB,公埔段,19.21,都市：住,10000,62,持分移轉,08690000
RPROMLPKNHIFFEH58CB,公埔段,23.24,都市：住,10000,75,持分移轉,08690000
RPOOMLQKNHIFFEH38CB,公埔段,19.21,都市：住,10000,62,持分移轉,08690000
RPROMLQKNHIFFEH68CB,公埔段,19.21,都市：住,10000,62,持分移轉,08690000
RPSOMLQKNHIFFEH78CB,公埔段,19.21,都市：住,10000,62,持分移轉,08690000
RPTOMLQKNHIFFEH88CB,公埔段,19.21,都市：住,10000,62,持分移轉,08690000
RPROMLRKNHIFFEH98EB,大興段,30.05,都市：住,10000,84,持分移轉,00390000
RPQOMLRKNHIFFEH88EB,大興段,30.05,都市：住,10000,84,持分移轉,00390000
RPPOMLRKNHIFFEH78EB,大興段,30.05,都市：住,10000,84,持分移轉,00390000
RPTOMLRKNHIFFEH56EB,大興段,30.05,都市：住,10000,84,持分移轉,00390000
RPWOMLRKNHIFFEH86EB,大興段,29.70,都市：住,10000,83,持分移轉,00390000
RPUOMLRKNHIFFEH66EB,大興段,30.05,都市：住,10000,84,持分移轉,00390000
RPVOMLRKNHIFFEH76EB,大興段,29.70,都市：住,10000,83,持分移轉,00390000
RPSOMLRKNHIFFEH09EB,大興段,30.05,都市：住,10000,84,持分移轉,00390000
RPXOMLRKNHIFFEH96EB,大興段,28.26,都市：住,10000,79,持分移轉,00390000
RPPPMLRKNHIFFEH88EB,大興段,30.05,都市：住,10000,84,持分移轉,00390000
RPRPMLRKNHIFFEH09EB,大興段,30.05,都市：住,10000,84,持分移轉,00390000
RPUPMLRKNHIFFEH76EB,大興段,30.05,都市：住,10000,84,持分移轉,00390000
RPOPMLRKNHIFFEH78EB,大興段,21.82,都市：住,10000,61,持分移轉,00390000
RPQPMLRKNHIFFEH98EB,大興段,30.05,都市：住,10000,84,持分移轉,00390000
RPSPMLRKNHIFFEH56EB,大興段,30.05,都市：住,10000,84,持分移轉,00390000
RPVPMLRKNHIFFEH86EB,大興段,30.05,都市：住,10000,84,持分移轉,00390000
RPTPMLRKNHIFFEH66EB,大興段,30.05,都市：住,10000,84,持分移轉,00390000
RPWPMLRKNHIFFEH96EB,大興段,30.05,都市：住,10000,84,持分移轉,00390000
RPXPMLRKNHIFFEH07EB,大興段,27.19,都市：住,10000,76,持分移轉,00390000
RPSQMLRKNHIFFEH66EB,大興段,27.19,都市：住,10000,76,持分移轉,00390000
RPRQMLRKNHIFFEH56EB,大興段,27.19,都市：住,10000,76,持分移轉,00390000
RPOQMLRKNHIFFEH88EB,大興段,27.19,都市：住,10000,76,持分移轉,00390000
RPTQMLRKNHIFFEH76EB,大興段,27.19,都市：住,10000,76,持分移轉,00390000
RPPQMLRKNHIFFEH98EB,大興段,27.19,都市：住,10000,76,持分移轉,00390000
RPVQMLRKNHIFFEH96EB,大興段,27.55,都市：住,10000,77,持分移轉,00390000
RPQQMLRKNHIFFEH09EB,大興段,27.55,都市：住,10000,77,持分移轉,00390000
RPXQMLRKNHIFFEH17EB,大興段,26.83,都市：住,10000,75,持分移轉,00390000
RPUQMLRKNHIFFEH86EB,大興段,27.55,都市：住,10000,77,持分移轉,00390000
RPPRMLRKNHIFFEH09EB,大興段,27.19,都市：住,10000,76,持分移轉,00390000
RPORMLRKNHIFFEH98EB,大興段,27.19,都市：住,10000,76,持分移轉,00390000
RPQRMLRKNHIFFEH56EB,大興段,27.19,都市：住,10000,76,持分移轉,00390000
RPWQMLRKNHIFFEH07EB,大興段,27.19,都市：住,10000,76,持分移轉,00390000
RPVRMLRKNHIFFEH07EB,大興段,27.55,都市：住,10000,77,持分移轉,00390000
RPWRMLRKNHIFFEH17EB,大興段,27.55,都市：住,10000,77,持分移轉,00390000
RPURMLRKNHIFFEH96EB,大興段,27.19,都市：住,10000,76,持分移轉,00390000
