編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLLJNHIFFFH38EC,麻園段,56.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,02680000
RPTPMLMJNHIFFEH58CC,水尾段,352.88,都市：工,,,,13320000
RPTPMLMJNHIFFEH58CC,水尾段,266.76,都市：工,,,,13330000
RPRPMLLJNHIFFEH28CC,河底段,.00,都市：住,,,,06000000
RPUQMLMJNHIFFEH78CC,水尾段,917.16,都市：工,,,,21770000
RPUPMLLJNHIFFEH58CC,河底段,.00,都市：住,,,,02590000
RPUPMLMJNHIFFEH68CC,水尾段,299.75,都市：工,,,,11120000
RPQOMLNJNHIFFBH08DC,仁愛段,12.37,都市：住,,,,00080000
RPSOMLNJNHIFFBH28DC,自立段,33.68,都市：住,,,,06670000
RPRPMLMJNHIFFDH38DC,頭重溪段,19.11,非都市： ; 非都市編定：,,,,00390187
RPQPMLMJNHIFFDH28DC,楊梅段,6.93,非都市： ; 非都市編定：,,,,02090009
RPWOMLMJNHIFFDH78DC,高山段,77.96,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,,02750000
RPSTMLNJNHIFFAH58CC,同安段,14.35,都市：住,,,,18350000
RPPUMLNJNHIFFAH38CC,富國段,32.29,都市：住,,,,01270000
RPWPMLNJNHIFFBH68CC,中壢埔頂段,.00,都市：住,,,,13170000
RPPQMLNJNHIFFEH38CC,河底段,16.57,都市：其他:,,,,04010000
RPOPMLNJNHIFFBH97DC,中工段,10.93,都市：住,,,,07440006
RPOPMLNJNHIFFBH97DC,中工段,5.50,都市：住,,,,07440013
RPVOMLNJNHIFFBH58DC,自立段,92.00,都市：工,,,,07600000
RPRPMLNJNHIFFBH28DC,中工段,141.00,都市：住,,,,07070007
RPTOMLNJNHIFFBH38DC,自立段,12.95,都市：住,,,,17990000
RPRQMLNJNHIFFBH28CC,三座屋段舊社小段,.00,都市：住,,,,00810000
RPQQMLNJNHIFFEH48CC,河底段,14.71,都市：其他:,,,,04010000
RPUQMLNJNHIFFBH58CC,普義段,.00,都市：住,,,,15840006
RPQRMLNJNHIFFBH38DC,忠福段,26.18,都市：住,,,,31280000
RPQRMLNJNHIFFBH48EC,普義段,26.92,都市：工,,,,05370000
RPPQMLNJNHIFFBH08CC,中壢埔頂段,.00,都市：住,,,,13640000
RPRNMLOJNHIFFAH97CC,幸褔段,79.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,,01520000
RPPNMLOJNHIFFCH08DC,武漢段,80.45,都市：住,,,,07560000
RPWPMLNJNHIFFEH56EC,水尾段,10038.62,都市：工,,,,19190000
RPUNMLOJNHIFFEH68CC,六福段,9.67,非都市： ; 非都市編定：,,,,08140000
RPWNMLQJNHIFFBH78CC,榮民段,98.00,都市：農,,,,12130014
RPPNMLQJNHIFFAH08DC,桃鶯段,12.06,都市：住,,,,01160000
RPRRMLQJNHIFFAH58CC,慈文段,5290.00,都市：住,,,,02350000
RPWOMLQJNHIFFFH86EC,大智段,24.16,都市：住,,,,04200000
RPROMLQJNHIFFBH48DC,新街段,27.23,都市：住,,,,08720000
RPTOMLRJNHIFFGH66DC,廣豐段,86.60,都市：住,,,,00810000
RPUOMLRJNHIFFBH78CC,三座屋段舊社小段,5.78,都市：其他:,,,,01170000
RPWNMLRJNHIFFAH78CC,新埔段,19.45,都市：住,,,,14890000
RPXNMLQJNHIFFBH88CC,忠孝段,81.00,都市：住,,,,06510000
RPSOMLRJNHIFFAH48CC,延平段,1071.30,都市：住,,,,00120000
RPTOMLRJNHIFFAH58CC,忠義段,3230.58,都市：住,,,,07000000
RPOPMLRJNHIFFFH68CC,大華段,47.30,都市：住,,,,00100000
RPOPMLRJNHIFFFH68CC,大興段,4.33,都市：住,,,,01180000
RPWPMLRJNHIFFEH76CC,河底段,22.52,都市：住,,,,03700000
RPUNMLSJNHIFFEH09CC,河底段,.00,都市：住,,,,04010000
RPWNMLSJNHIFFEH66CC,河底段,.00,都市：住,,,,04400000
RPROMLSJNHIFFEH88CC,河底段,.00,都市：住,,,,03850000
RPTQMLSJNHIFFEH66CC,河底段,.00,非都市： ; 非都市編定：,,,,04010000
RPOOMLSJNHIFFFH68CC,茄明段,17.81,都市：住,,,,00310000
RPPQMLSJNHIFFAH58DC,慈文段,7.42,都市：住,,,,00370000
RPTNMLSJNHIFFBH78DC,石頭段,6.60,都市：商,,,,00370002
RPUPMLRJNHIFFBH88CC,忠福段,21.41,都市：住,,,,32460000
RPVPMLSJNHIFFAH98CC,大樹林段,30.19,都市：住,,,,19050000
RPWOMLSJNHIFFAH98CC,興華段,3.37,都市：住,,,,00610002
RPVNMLSJNHIFFAH78CC,興華段,2.80,都市：住,,,,00870000
