編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPROMLLJNHIFFAI08EC,港子坪段港坪小段,21.01,都市：住,,,,02160000
RPVOMLPKNHIFFAI78CC,竹圍子段一小段,114.00,都市：住,,,,00450000
RPPOMLOKNHIFFAI08CC,埤子頭段,109.00,都市：商,,,,01580016
RPPOMLOKNHIFFAI08CC,埤子頭段,11.00,都市：商,,,,01580017
RPPOMLPLOHIFFAI38CC,車店段車店小段,83.00,都市：住,,,,00450030
RPTOMLLJNHIFFAI28EC,白川段,34.24,都市：住,,,,00160000
RPUNMLRKNHIFFAI98EC,黑金段,14.00,都市：商,,,,00250005
RPUNMLRKNHIFFAI98EC,黑金段,6.00,都市：商,,,,00260005
RPSOMLLJNHIFFAI18EC,埤子頭段,35.50,都市：住,,,,03760028
RPSNMLTLNHIFFAI88CC,太平段,13.68,都市：住,,,,00210000
RPTOMLSJPHIFFAI98CC,彌陀段,28.50,都市：其他:空白,,,,05170000
RPUOMLQKNHIFFAI78CC,北門段六小段,25.00,都市：商,,,,00400003
RPUOMLQKNHIFFAI78CC,北門段六小段,57.00,都市：商,,,,00400004
RPPOMLPKPHIFFAI38CC,中山段三小段,54.00,都市：商,,,,00350004
RPTNMLTKPHIFFAI56DC,太平段,18.49,都市：住,,,,00210000
RPUNMLQKPHIFFAI98DC,遠東段,19.60,都市：住,,,,00680007
RPRNMLNJOHIFFAI28EC,北社尾段,23.83,都市：住,,,,04650018
RPTNMLMLPHIFFAI48CC,東川段,6.06,都市：住,,,,09500000
RPTOMLOLPHIFFAI88DC,太平段,9.65,都市：住,,,,00210000
RPQOMLPKPHIFFAI48CC,遠東段,105.78,都市：住,,,,00680007
RPQPMLOLPHIFFAI68DC,太平段,14.47,都市：住,,,,00210000
RPQOMLKMPHIFFAI28DC,太平段,18.49,都市：住,,,,00210000
RPXNMLQKPHIFFAI76EC,竹圍子段中興小段,154.00,都市：商,,,,01590000
RPPOMLLKPHIFFAI18EC,車店段,64.00,都市：住,,,,03950039
RPRNMLMJPHIFFAI28EC,白川段,148.00,都市：住,,,,00470032
