編號,土地位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPXUMLSLOHIFFBJ57CB,水瀧段,3.33,都市：住,100000,409,持分移轉,01190000
RPXUMLSLOHIFFBJ57CB,水瀧段,.70,都市：住,100000,409,持分移轉,01760000
RPXUMLSLOHIFFBJ57CB,水瀧段,6.13,都市：住,100000,409,持分移轉,01180000
RPVUMLSLOHIFFBJ37CB,水瀧段,3.33,都市：住,100000,409,持分移轉,01190000
RPVUMLSLOHIFFBJ37CB,水瀧段,.70,都市：住,100000,409,持分移轉,01760000
RPVUMLSLOHIFFBJ37CB,水瀧段,6.13,都市：住,100000,409,持分移轉,01180000
RPOVMLSLOHIFFBJ76CB,水瀧段,3.33,都市：住,100000,409,持分移轉,01190000
RPOVMLSLOHIFFBJ76CB,水瀧段,.70,都市：住,100000,409,持分移轉,01760000
RPOVMLSLOHIFFBJ76CB,水瀧段,6.13,都市：住,100000,409,持分移轉,01180000
RPSUMLSLOHIFFBJ07CB,水瀧段,3.33,都市：住,100000,409,持分移轉,01190000
RPSUMLSLOHIFFBJ07CB,水瀧段,.70,都市：住,100000,409,持分移轉,01760000
RPSUMLSLOHIFFBJ07CB,水瀧段,6.13,都市：住,100000,409,持分移轉,01180000
RPTUMLSLOHIFFBJ17CB,水瀧段,3.29,都市：住,100000,404,持分移轉,01190000
RPTUMLSLOHIFFBJ17CB,水瀧段,.69,都市：住,100000,404,持分移轉,01760000
RPTUMLSLOHIFFBJ17CB,水瀧段,6.06,都市：住,100000,404,持分移轉,01180000
RPWTMLSLOHIFFBJ37CB,水瀧段,4.34,都市：住,100000,532,持分移轉,01190000
RPWTMLSLOHIFFBJ37CB,水瀧段,.91,都市：住,100000,532,持分移轉,01760000
RPWTMLSLOHIFFBJ37CB,水瀧段,7.97,都市：住,100000,532,持分移轉,01180000
RPPVMLSLOHIFFBJ86CB,水瀧段,3.33,都市：住,100000,409,持分移轉,01190000
RPPVMLSLOHIFFBJ86CB,水瀧段,.70,都市：住,100000,409,持分移轉,01760000
RPPVMLSLOHIFFBJ86CB,水瀧段,6.13,都市：住,100000,409,持分移轉,01180000
RPTVMLSLOHIFFBJ27CB,水瀧段,3.33,都市：住,100000,409,持分移轉,01190000
RPTVMLSLOHIFFBJ27CB,水瀧段,.70,都市：住,100000,409,持分移轉,01760000
RPTVMLSLOHIFFBJ27CB,水瀧段,6.13,都市：住,100000,409,持分移轉,01180000
RPRVMLSLOHIFFBJ07CB,水瀧段,3.33,都市：住,100000,409,持分移轉,01190000
RPRVMLSLOHIFFBJ07CB,水瀧段,.70,都市：住,100000,409,持分移轉,01760000
RPRVMLSLOHIFFBJ07CB,水瀧段,6.13,都市：住,100000,409,持分移轉,01180000
RPVVMLSLOHIFFBJ47CB,水瀧段,3.33,都市：住,100000,409,持分移轉,01190000
RPVVMLSLOHIFFBJ47CB,水瀧段,.70,都市：住,100000,409,持分移轉,01760000
RPVVMLSLOHIFFBJ47CB,水瀧段,6.13,都市：住,100000,409,持分移轉,01180000
RPWVMLSLOHIFFBJ57CB,水瀧段,3.33,都市：住,100000,409,持分移轉,01190000
RPWVMLSLOHIFFBJ57CB,水瀧段,.70,都市：住,100000,409,持分移轉,01760000
RPWVMLSLOHIFFBJ57CB,水瀧段,6.13,都市：住,100000,409,持分移轉,01180000
RPOUMLSLOHIFFBJ66CB,水瀧段,3.35,都市：住,100000,411,持分移轉,01190000
RPOUMLSLOHIFFBJ66CB,水瀧段,.71,都市：住,100000,411,持分移轉,01760000
RPOUMLSLOHIFFBJ66CB,水瀧段,6.16,都市：住,100000,411,持分移轉,01180000
RPQUMLSLOHIFFBJ86CB,水瀧段,3.33,都市：住,100000,409,持分移轉,01190000
RPQUMLSLOHIFFBJ86CB,水瀧段,.70,都市：住,100000,409,持分移轉,01760000
RPQUMLSLOHIFFBJ86CB,水瀧段,6.13,都市：住,100000,409,持分移轉,01180000
RPRUMLSLOHIFFBJ96CB,水瀧段,3.33,都市：住,100000,409,持分移轉,01190000
RPRUMLSLOHIFFBJ96CB,水瀧段,.70,都市：住,100000,409,持分移轉,01760000
RPRUMLSLOHIFFBJ96CB,水瀧段,6.13,都市：住,100000,409,持分移轉,01180000
RPONNLSLOHIFFBJ68CB,水瀧段,3.37,都市：住,100000,413,持分移轉,01190000
RPONNLSLOHIFFBJ68CB,水瀧段,.71,都市：住,100000,413,持分移轉,01760000
RPONNLSLOHIFFBJ68CB,水瀧段,6.19,都市：住,100000,413,持分移轉,01180000
RPRWMLSLOHIFFBJ17CB,水瀧段,3.33,都市：住,100000,409,持分移轉,01190000
RPRWMLSLOHIFFBJ17CB,水瀧段,.70,都市：住,100000,409,持分移轉,01760000
RPRWMLSLOHIFFBJ17CB,水瀧段,6.13,都市：住,100000,409,持分移轉,01180000
RPQNNLSLOHIFFBJ88CB,水瀧段,3.37,都市：住,100000,413,持分移轉,01190000
RPQNNLSLOHIFFBJ88CB,水瀧段,.71,都市：住,100000,413,持分移轉,01760000
RPQNNLSLOHIFFBJ88CB,水瀧段,6.19,都市：住,100000,413,持分移轉,01180000
RPXVMLSLOHIFFBJ67CB,水瀧段,3.29,都市：住,100000,404,持分移轉,01190000
RPXVMLSLOHIFFBJ67CB,水瀧段,.69,都市：住,100000,404,持分移轉,01760000
RPXVMLSLOHIFFBJ67CB,水瀧段,6.06,都市：住,100000,404,持分移轉,01180000
RPQWMLSLOHIFFBJ07CB,水瀧段,3.33,都市：住,100000,409,持分移轉,01190000
RPQWMLSLOHIFFBJ07CB,水瀧段,.70,都市：住,100000,409,持分移轉,01760000
RPQWMLSLOHIFFBJ07CB,水瀧段,6.13,都市：住,100000,409,持分移轉,01180000
RPPWMLSLOHIFFBJ96CB,水瀧段,3.33,都市：住,100000,409,持分移轉,01190000
RPPWMLSLOHIFFBJ96CB,水瀧段,.70,都市：住,100000,409,持分移轉,01760000
RPPWMLSLOHIFFBJ96CB,水瀧段,6.13,都市：住,100000,409,持分移轉,01180000
RPPNNLSLOHIFFBJ78CB,水瀧段,3.37,都市：住,100000,413,持分移轉,01190000
RPPNNLSLOHIFFBJ78CB,水瀧段,.71,都市：住,100000,413,持分移轉,01760000
RPPNNLSLOHIFFBJ78CB,水瀧段,6.19,都市：住,100000,413,持分移轉,01180000
RPXWMLSLOHIFFBJ77CB,水瀧段,3.37,都市：住,100000,413,持分移轉,01190000
RPXWMLSLOHIFFBJ77CB,水瀧段,.71,都市：住,100000,413,持分移轉,01760000
RPXWMLSLOHIFFBJ77CB,水瀧段,6.19,都市：住,100000,413,持分移轉,01180000
RPUONLSLOHIFFBJ76CB,水瀧段,3.37,都市：住,100000,413,持分移轉,01190000
RPUONLSLOHIFFBJ76CB,水瀧段,.71,都市：住,100000,413,持分移轉,01760000
RPUONLSLOHIFFBJ76CB,水瀧段,6.19,都市：住,100000,413,持分移轉,01180000
RPTONLSLOHIFFBJ66CB,水瀧段,3.37,都市：住,100000,413,持分移轉,01190000
